membership	membership.1	membership.2	membership.3	membership.4	membership.5
TCGA-27-2528-01A-01R-0789-01	3	3	5	4	5	4
TCGA-28-1745-01B-01R-0596-01	1	1	4	5	3	5
TCGA-28-1746-01A-01R-0596-01	2	4	2	2	2	2
TCGA-28-1747-01C-01R-0789-01	2	4	4	4	4	5
TCGA-28-1749-01A-01R-0596-01	3	3	5	4	5	4
TCGA-28-1750-01A-01R-0596-01	1	1	3	3	3	3
TCGA-28-1751-01A-02R-0596-01	1	1	3	3	3	3
TCGA-28-1752-01A-01R-0596-01	1	1	4	6	7	5
TCGA-28-1753-01A-01R-0789-01	2	2	2	2	6	2
TCGA-28-1755-01A-01R-0596-01	3	3	5	3	5	4
TCGA-28-1756-01C-01R-0789-01	2	4	4	2	2	2
TCGA-28-1757-01A-02R-0596-01	3	3	5	4	5	4
TCGA-28-1760-01A-01R-0596-01	3	3	3	3	5	4
TCGA-28-2502-01B-01R-0789-01	1	1	3	5	3	8
TCGA-28-2506-01A-02R-0789-01	2	4	4	4	4	7
TCGA-28-2509-01A-01R-0789-01	1	1	1	3	3	3
TCGA-28-2513-01A-01R-0789-01	1	1	3	5	3	3
TCGA-28-2514-01A-02R-0789-01	2	4	2	2	2	7
TCGA-28-5204-01A-01R-1482-01	2	4	1	1	1	1
TCGA-28-5207-01A-01R-1482-01	1	1	1	1	1	1
TCGA-28-5208-01A-01R-1482-01	1	2	1	1	1	1
TCGA-28-5209-01A-01R-1482-01	1	1	1	1	1	1
TCGA-28-5213-01A-01R-1482-01	1	2	1	1	1	1
TCGA-28-5214-01A-01R-1482-01	1	2	1	1	1	1
TCGA-28-5215-01A-01R-1482-01	1	1	1	1	1	1
TCGA-28-5216-01A-01R-1482-01	1	2	1	1	1	1
TCGA-28-5218-01A-01R-1482-01	1	2	1	1	1	1
TCGA-28-5219-01A-01R-1482-01	3	3	5	3	5	4
TCGA-28-5220-01A-01R-1482-01	3	3	5	4	4	4
TCGA-32-1970-01A-01R-0789-01	3	3	4	4	4	5
TCGA-32-1973-01A-01R-1230-01	2	2	2	2	2	2
TCGA-32-1976-01A-01R-0789-01	2	4	2	2	2	2
TCGA-32-1977-01A-01R-1230-01	3	1	3	3	3	3
TCGA-32-1978-01A-01R-1230-01	3	3	5	4	5	4
TCGA-32-1982-01A-01R-0789-01	1	1	4	4	7	4
TCGA-32-1986-01A-01R-0789-01	1	1	3	3	5	4
TCGA-32-1987-01A-01R-1230-01	1	1	3	5	3	8
TCGA-32-1991-01A-01R-1230-01	3	3	5	4	5	4
TCGA-32-2491-01A-01R-1230-01	1	1	3	3	3	1
TCGA-32-2494-01A-01R-1230-01	1	1	3	5	3	8
TCGA-32-2495-01A-01R-1230-01	3	3	5	4	4	4
TCGA-32-2498-01A-01R-1230-01	1	1	1	1	1	1
TCGA-32-2615-01A-01R-0916-01	1	1	3	1	1	5
TCGA-32-2616-01A-01R-0916-01	3	2	1	6	4	5
TCGA-32-2632-01A-01R-0916-01	1	1	4	6	4	5
TCGA-32-2634-01A-01R-0916-01	2	4	2	2	2	2
TCGA-32-2638-01A-01R-0916-01	3	3	5	4	5	4
TCGA-32-4208-01A-01R-1230-01	1	1	2	2	2	2
TCGA-32-4209-01A-01R-1230-01	1	1	3	1	1	1
TCGA-32-4210-01A-01R-1230-01	2	4	2	2	2	2
TCGA-32-4211-01A-01R-1230-01	1	4	4	2	3	5
TCGA-32-4213-01A-01R-1230-01	1	1	3	5	3	8
TCGA-32-4719-01A-01R-1230-01	3	3	5	4	4	5
TCGA-32-5222-01A-01R-1482-01	2	2	2	2	6	6
TCGA-41-2571-01A-01R-0916-01	2	4	2	2	2	2
TCGA-41-2572-01A-01R-1230-01	3	3	5	4	5	4
TCGA-41-2573-01A-01R-0916-01	2	4	2	2	2	7
TCGA-41-2575-01A-01R-0916-01	2	4	2	2	6	6
TCGA-41-3392-01A-01R-0916-01	3	3	4	4	4	5
TCGA-41-3393-01A-01R-1230-01	1	1	3	3	3	2
TCGA-41-3915-01A-01R-1230-01	1	1	3	5	3	3
TCGA-41-4097-01A-01R-1230-01	1	1	4	3	1	7
TCGA-76-4925-01A-01R-1482-01	2	4	2	2	2	2
TCGA-76-4926-01B-01R-1482-01	3	3	3	3	3	3
TCGA-76-4927-01A-01R-1482-01	3	3	1	6	7	5
TCGA-76-4928-01B-01R-1482-01	3	3	5	3	5	4
TCGA-76-4929-01A-01R-1482-01	2	2	2	2	6	6
TCGA-76-4931-01A-01R-1482-01	3	3	5	4	4	5
TCGA-76-4932-01A-01R-1482-01	2	2	2	2	2	2
TCGA-76-4934-01A-01R-1482-01	2	4	2	2	2	2
TCGA-76-4935-01A-01R-1482-01	2	4	2	2	2	2
