membership	membership.1	membership.2	membership.3	membership.4	membership.5
TCGA-06-0129-01A-01R-0219-01	2	4	2	2	2	2
TCGA-06-0130-01A-01R-0219-01	1	1	1	1	1	1
TCGA-06-0132-01A-02R-0233-01	1	4	4	2	2	7
TCGA-06-0133-01A-02R-0219-01	2	4	4	6	4	5
TCGA-06-0137-01B-02R-0219-01	3	3	5	3	5	4
TCGA-06-0138-01A-02R-0233-01	2	4	4	2	2	7
TCGA-06-0139-01A-01R-0219-01	1	1	3	5	3	1
TCGA-06-0140-01A-01R-0219-01	1	1	3	3	3	5
TCGA-06-0141-01A-01R-0219-01	1	1	3	5	3	1
TCGA-06-0142-01A-01R-0219-01	2	4	4	2	2	7
TCGA-06-0143-01A-01R-0219-01	1	1	3	3	3	3
TCGA-06-0145-01A-06R-0219-01	3	3	4	6	4	5
TCGA-06-0146-01A-01R-0280-01	2	4	2	2	2	2
TCGA-06-0147-01A-01R-0219-01	1	1	3	5	3	1
TCGA-06-0148-01A-05R-0233-01	3	3	5	3	5	4
TCGA-06-0149-01A-05R-0280-01	1	1	3	5	3	5
TCGA-06-0152-01A-02R-0306-01	3	1	3	5	5	4
TCGA-06-0154-01A-03R-0233-01	3	3	5	3	5	4
TCGA-06-0155-01B-01R-0522-01	1	1	3	3	1	1
TCGA-06-0156-01A-03R-0233-01	1	1	1	5	6	6
TCGA-06-0157-01A-01R-0233-01	3	3	5	4	4	5
TCGA-06-0158-01A-01R-0233-01	3	3	4	4	4	5
TCGA-06-0160-01A-01R-0233-01	2	4	4	2	2	7
TCGA-06-0162-01A-01R-0280-01	1	4	4	6	7	7
TCGA-06-0164-01A-01R-0280-01	1	1	3	3	3	1
TCGA-06-0166-01A-01R-0233-01	2	4	2	2	2	2
TCGA-06-0167-01A-01R-0233-01	2	4	4	2	2	7
TCGA-06-0168-01A-02R-0233-01	1	1	4	5	7	7
TCGA-06-0169-01A-01R-0219-01	1	1	3	3	3	3
TCGA-06-0171-01A-02R-0233-01	2	4	4	6	7	7
TCGA-06-0173-01A-01R-0233-01	2	4	2	2	2	3
TCGA-06-0174-01A-01R-0233-01	2	2	2	2	2	2
TCGA-06-0175-01A-01R-0280-01	1	1	3	3	3	3
TCGA-06-0176-01A-03R-0233-01	1	1	1	1	1	1
TCGA-06-0177-01A-01R-0280-01	2	4	2	2	2	2
TCGA-06-0178-01A-01R-0233-01	2	4	2	2	2	2
TCGA-06-0179-01A-02R-0280-01	1	4	4	6	7	7
TCGA-06-0182-01A-01R-0280-01	3	3	1	6	6	6
TCGA-06-0184-01A-01R-0233-01	1	1	3	5	7	8
TCGA-06-0185-01A-01R-0233-01	3	3	4	4	4	5
TCGA-06-0187-01A-01R-0233-01	3	3	5	4	5	5
TCGA-06-0188-01A-01R-0233-01	2	4	2	2	2	2
TCGA-06-0189-01A-05R-0233-01	1	1	3	3	3	1
TCGA-06-0190-01A-01R-0233-01	1	1	3	3	3	3
TCGA-06-0192-01B-01R-0338-01	1	1	3	3	3	3
TCGA-06-0194-01A-01R-0280-01	1	1	3	5	3	3
TCGA-06-0195-01B-01R-0233-01	2	4	4	2	2	7
TCGA-06-0197-01A-02R-0233-01	1	1	3	5	3	3
TCGA-06-0201-01A-01R-0233-01	1	1	3	5	7	8
TCGA-06-0206-01A-01R-0233-01	1	1	1	1	1	1
TCGA-06-0208-01B-01R-0233-01	3	3	4	4	4	5
TCGA-06-0210-01A-01R-0233-01	1	1	3	3	3	3
TCGA-06-0211-01B-01R-0233-01	3	3	5	4	5	4
TCGA-06-0213-01A-01R-0233-01	1	1	1	5	7	5
TCGA-06-0214-01A-02R-0233-01	2	4	4	6	7	8
TCGA-06-0216-01B-01R-0338-01	3	3	5	4	4	5
TCGA-06-0219-01A-01R-0233-01	2	4	4	6	7	7
TCGA-06-0221-01A-01R-0233-01	2	4	4	2	2	7
TCGA-06-0237-01A-02R-0233-01	2	4	4	6	4	5
TCGA-06-0238-01A-02R-0306-01	2	4	2	2	2	2
TCGA-06-0240-01A-02R-0233-01	2	4	4	2	2	7
TCGA-06-0241-01A-02R-0233-01	2	2	2	2	2	2
TCGA-06-0394-01A-01R-0280-01	3	3	5	3	5	4
TCGA-06-0397-01A-01R-0280-01	1	1	3	3	1	3
