Identifier 	HCC_06	NNL_05	NNL_02	NNL_03	NNL_01	NNL_04	HCC_10	HCC_14	SK_TC_1	SK_TC_2	SK_SC_1	SK_SC_2	HUH7_TC_1	HUH7_TC_2	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	H3B_TC_1	H3B_TC_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_Ortho_1	H3B_Ortho_2	
NM_000893	1494.9	1643.45	1651.62	1822.98	1383.89	1673.0	1047.43	3318.82	2.52	1.2	3.06	0.23	25.67	51.39	3.99	12.86	23.11	20.92	45.02	46.45	12.54	12.19	14.63	82.17	100.98	
NM_000040	5358.67	1955.07	4338.2	6032.95	2945.43	4230.6	971.5	4084.74	0.57	0.63	2.39	0.53	50.27	35.91	47.85	65.99	72.12	85.66	35.06	28.48	91.11	113.64	152.3	577.94	1190.31	
NM_000638	1266.26	1080.64	2586.89	1340.44	735.5	1350.36	1009.85	1394.18	1.65	2.4	2.5	0.53	374.68	222.23	120.65	204.95	348.12	459.73	159.47	145.45	134.25	191.33	170.23	255.29	214.66	
NM_000062	1460.03	1069.57	1365.91	756.78	677.27	1084.68	587.66	1366.85	3.22	1.95	2.61	1.66	137.13	319.81	41.25	60.14	63.04	92.68	50.98	130.54	129.66	171.12	139.53	240.73	213.06	
NM_000690	3249.99	1283.51	2461.32	2487.93	1297.53	2007.46	786.21	613.59	3.03	3.1	9.74	5.18	173.47	191.49	63.59	62.86	126.6	123.21	158.58	216.43	237.01	221.6	181.11	237.84	266.84	
NM_000509	4230.63	2738.33	3573.14	2596.55	4088.39	2476.29	1843.65	443.44	0.48	0.93	8.64	0.33	226.1	236.23	93.07	135.81	323.67	270.74	88.75	78.55	641.63	376.49	512.62	599.65	348.03	
NM_021871	3932.92	3358.7	3246.82	2920.8	3609.69	2561.97	2132.41	475.75	0.59	0.21	9.58	0.63	251.73	177.61	121.28	169.01	405.68	324.12	135.2	358.68	630.01	509.5	581.92	575.87	448.12	
NM_000096	222.1	759.21	812.21	572.39	756.81	1059.7	168.19	621.83	1.2	0.77	0.79	0.26	26.73	47.64	12.89	41.78	32.78	74.43	71.85	276.33	295.24	335.8	547.99	239.67	300.13	
NM_004964	582.22	590.61	1024.89	690.86	387.7	575.28	224.03	213.86	0.38	0.95	0.53	0.48	301.68	342.17	150.89	124.65	191.77	233.55	122.92	421.34	146.58	1801.36	1773.87	1227.47	1567.08	
NM_000029	321.17	263.63	245.55	323.4	157.73	193.05	118.34	537.56	0.45	0.24	1.17	2.58	112.52	149.27	138.66	186.59	319.57	347.85	186.72	335.02	213.24	426.94	610.84	395.26	357.34	
NM_000029	271.23	216.02	260.63	239.34	191.7	281.66	169.56	440.06	0.71	0.45	0.86	0.23	111.07	102.23	96.31	173.5	292.3	318.03	210.54	230.34	182.43	293.43	406.3	420.0	377.96	
NM_005796	84.16	503.68	1311.84	2525.56	1826.38	1520.71	24.16	109.56	529.37	245.74	64.89	74.77	113.05	5.79	56.77	66.42	101.3	116.11	9.66	24.48	27.17	20.47	9.16	12.02	13.7	
NM_001908	196.85	379.95	413.2	366.14	446.64	275.68	178.47	235.29	621.1	445.2	121.68	379.31	95.24	106.44	55.5	61.56	95.17	99.83	19.24	30.16	23.4	64.95	79.51	77.22	67.14	
NM_020300	350.66	151.56	359.96	273.91	189.3	241.96	352.0	190.83	60.44	68.9	11.85	15.22	207.67	144.3	36.91	35.42	69.77	67.75	57.26	52.53	3.0	23.43	34.43	36.65	26.83	
NM_020300	505.97	296.88	546.31	546.9	376.9	431.63	597.81	267.85	81.08	85.0	15.53	24.44	303.51	210.83	56.77	51.28	121.34	97.51	81.47	76.87	3.42	43.0	56.97	47.62	43.14	
NM_000064	629.15	1282.68	1875.61	1455.48	1190.53	1293.94	886.76	1952.05	110.48	58.68	19.47	12.29	77.77	90.13	8.62	4.07	3.99	5.31	139.17	161.62	52.85	220.59	221.4	175.5	235.22	
NM_004048	1089.75	985.13	710.74	696.06	1059.87	894.28	1077.77	596.48	380.18	633.21	491.32	482.84	230.41	186.66	32.08	35.21	57.73	68.63	194.76	203.57	288.45	220.14	266.73	247.85	224.96	
NM_002567	923.07	504.54	950.19	901.61	634.65	761.34	811.69	637.09	112.6	150.47	39.8	59.8	301.44	197.95	64.09	89.86	164.86	160.95	280.49	190.87	466.69	262.95	247.92	277.03	272.35	
NM_000454	1658.34	597.3	1030.69	1132.9	1037.49	907.89	1140.57	685.16	194.55	306.71	120.36	148.06	357.7	399.18	75.79	95.99	202.24	180.56	303.66	279.7	366.99	316.36	339.81	412.35	330.95	
NM_001872	831.36	338.08	670.21	627.29	509.86	634.66	242.55	811.32	0.64	0.44	0.71	0.2	68.1	40.02	24.58	34.75	57.98	61.79	13.05	8.48	14.96	32.44	51.24	58.66	51.06	
NM_000185	239.39	155.45	334.56	292.59	145.01	217.81	205.51	555.45	1.8	0.97	0.44	0.7	42.69	24.25	30.82	28.5	39.39	54.83	42.3	40.97	26.72	19.69	31.6	29.85	48.52	
NM_000506	275.59	239.11	320.03	385.43	223.27	226.18	95.08	468.74	0.3	0.78	0.32	0.42	95.24	100.22	54.43	70.79	100.68	112.68	26.2	45.75	11.69	34.93	59.97	71.69	52.82	
NM_000689	354.85	210.64	252.81	215.41	163.27	157.42	531.02	125.13	0.34	0.45	1.31	0.8	357.37	155.4	26.44	32.26	66.42	63.19	132.67	71.93	87.57	27.21	38.09	17.67	19.07	
NM_000187	496.05	76.38	226.68	148.81	175.12	182.57	48.35	15.43	0.62	1.3	0.25	0.5	102.18	67.89	14.73	15.0	32.77	25.47	26.53	28.94	13.71	29.27	36.93	40.61	44.74	
NM_002413	141.81	111.17	135.78	149.93	116.59	109.87	88.75	99.28	1.28	2.55	1.19	0.59	113.14	111.52	44.1	42.09	95.95	68.69	52.86	66.82	31.17	48.95	68.15	52.53	35.35	
NM_000277	403.56	78.99	244.67	162.78	109.06	143.46	145.78	68.1	1.18	0.92	1.09	0.37	44.05	56.27	23.49	26.1	55.19	48.0	40.06	51.79	32.58	70.14	80.49	77.93	63.21	
NM_001609	194.04	88.34	244.38	225.01	156.15	204.69	185.36	41.63	2.09	5.21	3.16	3.56	40.33	46.83	39.71	74.17	145.15	154.66	8.28	24.03	78.33	29.3	36.99	38.43	39.27	
NM_006895	136.49	47.8	103.11	46.78	29.12	47.13	35.37	47.74	0.7	1.99	2.25	5.0	63.96	55.15	29.73	25.13	41.17	31.65	13.43	20.22	3.76	25.4	27.87	30.17	15.2	
NM_001054	113.78	72.33	139.84	129.47	100.69	136.67	159.26	82.54	4.25	4.05	3.44	4.66	46.95	64.24	13.24	22.27	52.41	41.11	30.88	28.76	9.11	10.32	10.9	17.33	29.06	
NM_000313	80.71	84.32	108.86	113.18	91.81	114.26	46.18	69.56	5.32	5.36	2.17	3.18	370.37	91.53	21.99	39.94	66.97	72.75	15.54	23.55	9.37	15.5	16.99	16.84	13.68	
NM_001607	67.79	67.43	153.72	148.62	102.64	112.14	39.29	61.27	3.87	3.27	1.59	2.89	65.25	31.52	57.27	57.18	69.93	91.66	11.92	14.86	14.19	15.54	20.59	15.77	18.15	
NM_006111	76.46	64.75	369.88	114.63	130.1	189.9	25.44	78.36	6.92	6.86	2.57	1.78	30.32	20.4	8.32	7.73	13.02	14.32	24.2	26.88	24.6	20.88	20.43	17.88	25.45	
NM_003748	164.65	106.61	121.51	127.51	82.7	96.15	48.66	86.36	9.18	9.22	4.74	1.67	29.91	36.32	12.68	18.31	38.98	37.27	20.52	21.5	10.05	8.39	11.38	14.6	13.03	
NM_001979	57.21	59.97	122.85	138.72	99.48	96.3	33.37	86.76	5.52	6.17	1.72	1.28	31.18	28.17	10.63	12.97	21.58	18.02	8.18	12.93	14.33	12.23	8.4	12.67	16.74	
NM_000504	103.9	96.07	72.94	95.66	59.09	65.68	99.34	209.9	7.57	10.34	1.8	1.82	17.17	27.36	12.32	14.8	19.93	21.58	19.44	16.95	76.12	64.65	58.11	65.98	95.05	
NM_004753	95.89	141.21	93.21	178.27	141.11	156.78	81.44	185.84	22.52	22.2	0.54	0.15	48.24	34.98	24.42	31.99	38.61	48.12	19.36	24.47	34.78	35.93	42.16	24.75	22.62	
NM_000312	78.05	61.78	162.68	91.5	62.03	93.78	80.86	146.76	0.75	0.82	2.07	0.3	11.52	12.12	21.51	26.6	45.74	49.57	11.19	8.03	13.49	7.59	6.59	27.43	23.48	
NM_000934	103.63	77.37	122.91	175.25	86.46	103.93	65.0	50.45	0.7	0.52	0.6	0.17	15.93	12.08	18.71	31.47	40.87	49.27	20.34	21.41	59.88	44.97	34.82	27.1	48.49	
NM_001735	141.71	105.8	138.02	110.37	131.81	96.87	79.98	101.9	0.52	0.25	0.49	0.37	27.48	39.92	8.34	11.46	12.38	16.86	21.75	24.34	9.54	18.01	18.0	19.23	22.62	
NM_000236	28.5	45.31	49.07	139.08	55.81	59.24	46.05	142.4	0.5	0.59	0.18	0.36	32.8	29.1	12.39	16.72	25.23	25.89	16.89	16.38	12.42	31.4	22.02	31.29	38.18	
NM_000120	151.08	44.21	146.38	91.41	33.39	57.78	182.4	249.97	1.79	0.81	1.15	1.66	7.38	8.37	7.71	8.24	6.71	7.67	11.5	7.43	7.73	4.84	6.93	8.35	10.89	
NM_001249	73.82	32.47	92.91	47.49	49.74	67.67	73.37	92.17	1.54	1.72	1.58	1.81	12.42	9.72	6.03	11.55	17.23	19.97	10.05	5.93	7.56	7.37	7.58	11.29	7.55	
NM_005589	168.34	77.86	143.66	113.93	67.4	90.61	18.58	55.85	2.39	2.33	1.51	1.38	11.37	14.83	6.21	5.84	13.08	11.2	8.11	9.38	7.83	6.04	7.1	10.05	12.94	
NM_000240	48.98	43.16	75.36	69.72	66.8	63.21	32.07	40.84	4.72	3.3	1.14	0.39	6.09	5.8	4.64	5.8	8.23	10.62	11.89	12.51	9.48	8.85	9.21	9.88	8.0	
NM_020998	94.11	85.1	69.91	77.68	89.45	65.05	32.74	79.49	4.01	1.67	1.06	2.49	14.63	15.92	11.73	21.43	15.54	19.67	8.59	14.25	11.22	15.32	31.4	30.59	46.31	
NM_000131	75.98	44.56	75.02	71.34	29.88	30.6	50.69	53.51	3.21	3.91	1.28	1.82	7.91	11.22	4.73	9.49	8.69	12.08	14.67	12.39	2.44	16.75	15.84	21.24	28.14	
NM_145262	70.9	34.1	96.45	73.41	26.2	48.23	21.14	51.05	2.08	0.93	1.85	2.11	41.78	18.26	7.35	9.37	18.35	17.93	11.75	8.15	10.84	11.86	11.39	14.75	24.08	
NM_001054	62.4	44.77	76.85	77.93	46.22	68.59	75.33	36.15	3.2	1.25	2.32	1.22	61.06	33.38	6.79	11.16	24.21	19.73	16.46	14.54	7.81	7.42	7.46	9.28	15.24	
NM_001054	72.63	58.13	93.87	109.91	62.01	84.16	85.74	45.56	2.72	2.08	1.05	2.79	29.68	41.38	10.22	12.66	32.46	25.74	22.25	20.17	7.49	11.74	10.92	12.6	22.2	
NM_003500	42.72	23.88	76.23	63.59	28.67	40.06	28.32	47.79	0.6	0.64	0.33	0.55	10.1	5.17	3.27	5.27	13.94	14.08	2.95	14.42	2.62	37.78	52.36	53.46	34.0	
NM_138316	33.82	25.88	102.82	58.86	56.43	57.78	41.98	17.06	2.25	0.37	0.71	0.89	10.97	16.58	5.33	6.95	13.44	12.98	9.62	11.25	16.75	8.8	9.56	9.62	12.12	
NM_003713	24.38	41.77	57.34	34.04	31.06	20.14	17.25	68.69	0.66	1.02	2.15	1.07	10.9	11.5	5.3	7.68	10.09	10.43	8.41	11.52	15.13	22.53	19.52	20.19	16.83	
NM_001482	79.59	48.11	143.89	170.98	75.27	76.19	131.09	322.92	0.86	1.2	0.85	1.15	5.61	6.91	3.03	6.05	8.4	8.95	1.44	5.49	16.53	19.82	20.75	39.9	43.37	
NM_000446	141.39	105.55	201.88	119.4	120.68	159.25	28.83	120.45	0.61	0.96	1.0	1.59	6.01	9.02	1.83	2.28	3.44	5.49	8.61	11.81	22.28	33.91	34.88	45.15	30.42	
NM_001872	271.09	96.72	233.89	176.36	160.56	193.05	60.23	297.13	1.76	2.96	0.95	0.74	27.12	17.31	10.11	10.47	22.35	18.32	3.72	5.87	2.52	12.09	21.27	23.43	16.96	
NM_000505	89.28	58.02	59.75	148.86	65.8	85.1	74.04	227.93	1.94	2.42	1.53	2.32	5.0	1.36	12.86	16.02	21.86	22.34	2.3	2.45	5.8	16.68	25.79	31.13	28.04	
NM_021154	24.77	39.87	167.97	93.39	94.06	72.45	41.27	4.14	1.73	0.58	0.5	0.37	173.25	190.66	71.5	80.75	128.99	136.89	138.57	147.74	35.38	44.11	55.05	58.01	47.23	
NM_021154	41.98	67.9	288.15	157.4	141.31	111.39	62.39	4.71	0.4	0.2	0.2	0.17	286.63	272.38	101.41	119.06	181.4	222.69	236.17	197.71	56.44	56.94	83.53	88.54	70.5	
NM_000050	275.09	65.44	247.6	146.69	111.61	212.02	21.06	28.95	3.81	1.99	1.17	0.49	6.27	8.67	5.39	5.07	8.6	7.07	46.86	108.14	148.23	221.68	277.81	272.44	202.46	
NM_002193	38.77	38.73	69.89	57.55	20.47	38.33	5.3	21.07	0.85	0.7	11.91	17.04	5.1	0.57	1.39	5.25	3.58	3.65	33.71	36.12	14.21	54.08	44.79	76.56	59.89	
NM_005045	8.94	33.4	16.6	27.75	22.2	20.4	19.14	1.57	0.38	0.66	1.04	0.72	14.92	1.32	0.45	0.3	0.93	1.11	31.97	37.7	39.65	153.67	186.76	181.76	83.76	
NM_000463	373.65	361.57	314.65	309.77	237.08	260.88	344.2	255.33	0.74	1.07	1.07	0.37	1.79	1.13	0.33	0.31	1.08	0.38	1.42	2.79	0.56	11.97	78.59	84.53	9.87	
NM_000769	158.3	227.07	823.54	441.62	425.43	423.82	61.81	65.03	0.79	0.3	2.23	0.99	0.78	0.47	1.45	0.43	0.62	0.27	1.04	1.2	3.19	16.03	17.39	11.24	13.41	
NM_002150	1757.3	236.42	591.66	173.6	144.52	320.38	246.23	412.98	0.54	1.28	0.78	0.38	2.41	0.51	0.65	0.23	0.42	1.19	9.17	6.35	20.15	26.74	26.87	190.88	71.26	
NM_002591	108.35	223.63	385.75	147.58	107.13	105.17	31.9	68.21	1.19	0.6	0.53	0.46	0.69	0.29	0.37	0.35	0.37	0.44	4.1	17.6	17.53	117.98	124.75	125.99	125.61	
NM_001875	557.53	177.87	335.82	285.95	170.23	191.65	100.54	79.09	1.25	0.22	0.68	0.18	1.4	0.62	1.64	1.09	2.61	1.75	5.61	18.43	4.29	53.15	107.58	56.53	98.1	
NM_020133	24.27	4.77	14.53	35.41	38.42	17.49	11.21	6.11	3.82	3.06	836.26	1170.57	4.62	5.52	728.27	1299.31	221.97	1259.83	9.07	6.37	9.99	105.38	273.23	43.76	196.76	
NM_032525	5.66	6.09	7.03	4.59	4.7	2.84	2.87	2.66	277.99	215.64	145.91	208.14	162.66	115.4	19.35	20.98	47.08	32.49	17.25	24.54	7.12	35.5	28.52	40.37	28.25	
NM_003029	54.26	23.33	12.0	10.98	13.18	15.54	17.96	13.62	118.19	107.76	37.26	47.88	53.01	58.33	8.83	13.27	23.44	24.01	25.45	43.85	29.22	30.3	43.52	29.54	32.28	
NM_005494	37.07	20.19	17.15	14.69	16.41	14.19	9.82	13.1	173.8	269.94	72.88	93.87	71.93	73.9	11.26	15.21	30.1	23.46	20.66	26.63	31.42	16.04	20.91	18.33	16.5	
NM_001102	35.34	20.41	20.44	10.25	7.87	12.53	11.8	6.08	189.64	182.82	84.08	94.44	78.46	39.85	8.33	12.7	22.29	21.03	40.69	51.47	23.62	35.48	40.23	31.41	25.67	
NM_001102	53.55	23.68	19.6	20.9	19.81	19.4	15.11	8.21	202.54	271.13	101.98	184.59	52.96	38.59	11.24	17.35	25.78	22.22	52.09	54.86	36.04	60.58	54.29	34.96	26.87	
NM_005494	18.39	8.65	9.15	11.21	14.72	11.78	7.15	7.41	120.74	162.43	46.58	73.38	46.19	40.73	6.85	10.45	14.96	14.67	17.86	17.15	19.8	11.25	14.64	12.0	10.06	
NM_003651	10.07	10.73	2.24	6.33	8.59	6.18	2.47	4.18	196.1	208.41	68.39	79.72	79.47	68.12	10.61	13.49	14.48	16.05	22.43	36.06	16.49	26.9	21.28	19.35	17.22	
NM_001456	6.2	8.17	12.3	4.57	2.32	8.27	6.5	8.78	181.68	186.67	80.52	101.15	48.26	55.69	10.67	25.02	17.65	20.14	25.68	25.75	12.59	21.42	15.03	29.95	22.52	
NM_003290	12.98	7.79	9.36	6.02	4.22	2.93	6.9	10.18	46.76	28.58	28.6	46.74	75.1	29.67	6.0	5.79	8.38	7.94	46.06	39.94	15.21	76.6	85.07	45.02	52.83	
NM_003373	16.9	15.68	20.06	11.08	11.03	12.9	9.7	6.76	84.38	114.26	52.55	65.04	74.51	29.17	8.8	9.06	16.19	13.76	31.03	42.97	90.72	56.35	59.4	32.25	27.91	
NM_003379	7.0	15.43	12.12	12.64	10.22	7.91	4.36	3.83	29.81	27.26	53.92	70.69	67.65	46.84	10.97	10.34	22.98	18.53	30.18	30.16	52.12	27.74	32.67	24.67	19.76	
NM_001064	33.85	20.64	12.66	7.83	6.23	9.55	112.68	11.89	179.65	226.51	52.6	67.52	78.24	97.92	26.86	27.2	56.62	49.2	37.7	59.56	49.27	49.78	60.23	55.48	32.87	
NM_002211	51.43	49.28	29.45	18.56	19.2	18.42	25.19	35.63	187.42	168.73	51.26	60.34	75.68	73.8	17.27	26.96	36.45	36.78	39.72	59.6	53.47	52.22	59.91	28.29	22.58	
NM_023079	19.19	19.39	19.07	17.46	15.37	14.84	25.43	17.19	88.98	108.18	53.35	62.93	61.26	68.79	19.7	26.49	46.35	36.39	35.96	44.7	61.52	54.59	53.96	35.53	35.98	
NM_003334	26.5	23.91	28.8	20.61	8.18	18.95	27.83	25.64	85.2	74.42	30.88	39.74	109.69	67.72	16.16	26.32	37.93	38.83	40.59	57.4	47.69	53.02	49.66	47.56	40.7	
NM_005500	18.36	16.26	6.16	11.34	9.39	8.24	27.41	24.74	51.91	51.6	38.08	49.77	164.0	133.94	35.12	41.84	76.37	69.45	80.99	60.8	42.59	36.52	40.06	38.55	24.72	
NM_001536	17.6	16.93	14.59	8.22	10.58	12.36	19.87	19.08	82.74	82.91	43.66	52.07	204.24	154.5	49.04	63.49	99.47	94.41	66.39	70.54	45.85	48.72	60.42	48.88	34.13	
NM_198576	18.81	26.04	9.0	12.04	10.28	10.25	14.19	11.92	44.87	103.58	56.28	72.78	224.67	120.58	23.96	39.87	51.53	66.52	50.52	46.99	67.29	55.28	40.7	65.43	48.67	
NM_005805	24.16	16.68	11.68	10.99	16.11	13.52	11.66	16.53	44.59	49.63	38.92	37.02	135.55	88.97	23.34	31.41	66.33	44.76	62.89	79.26	56.18	44.82	47.76	43.32	29.38	
NM_015972	10.7	15.53	15.72	15.48	4.36	14.88	12.22	18.99	126.11	110.04	23.43	28.82	59.57	87.67	37.57	29.11	50.96	49.26	47.86	78.08	63.02	39.26	54.11	38.86	26.1	
NM_005569	25.04	14.96	11.04	10.11	8.4	11.11	18.36	18.33	99.17	83.9	52.22	54.67	64.85	66.91	17.09	27.71	40.52	36.89	70.42	69.1	59.91	68.37	62.21	60.8	50.63	
NM_000884	13.35	12.74	10.05	11.94	5.32	9.19	18.97	12.4	142.23	111.57	39.48	45.28	98.32	88.93	39.16	42.92	54.08	54.2	40.86	55.57	66.17	70.87	78.44	72.93	71.84	
NM_004462	12.03	25.12	25.37	45.66	24.82	32.85	31.39	9.01	101.48	131.72	52.94	65.24	119.39	160.01	25.9	28.76	54.53	45.29	76.98	60.48	16.61	28.2	30.65	33.32	22.34	
NM_001672	20.89	7.67	30.08	19.27	11.46	18.33	18.47	20.56	115.01	115.4	87.47	74.73	54.16	66.85	63.07	58.49	33.53	41.76	34.2	30.88	34.5	35.08	29.96	36.5	28.4	
NM_002840	27.39	20.27	27.3	25.55	18.06	18.41	27.54	42.6	113.22	77.92	29.61	53.53	78.24	66.33	16.51	26.76	41.16	37.25	24.98	27.22	19.96	20.04	18.92	27.48	20.08	
NM_004069	20.3	19.32	21.29	19.3	15.37	15.0	21.7	43.24	128.7	88.14	27.72	26.58	61.32	89.89	16.97	27.68	54.02	43.16	36.76	39.84	19.91	18.08	20.6	31.1	16.82	
NM_005803	25.27	19.15	18.33	17.43	12.38	13.76	25.29	22.13	53.61	61.57	37.6	38.64	78.19	90.33	18.96	26.73	42.81	42.17	45.29	69.75	38.35	22.71	22.27	18.99	14.09	
NM_003400	21.23	20.75	14.4	11.97	11.08	11.94	13.84	21.04	46.25	40.9	27.77	29.19	66.68	68.69	19.08	24.68	38.58	33.34	36.45	52.0	22.82	30.69	44.48	31.2	17.57	
NM_000789	12.53	23.1	19.33	13.19	16.55	13.32	18.98	25.2	60.66	57.54	22.83	31.06	79.93	66.76	13.65	31.1	31.64	32.31	41.83	50.03	35.56	27.27	29.16	24.46	18.2	
NM_003143	52.62	16.08	19.34	17.04	14.38	19.75	15.68	41.33	62.35	82.89	29.04	24.85	120.1	85.11	22.64	26.77	51.55	49.09	41.74	67.91	69.43	41.01	42.2	35.36	22.91	
NM_002212	33.27	14.89	24.26	22.24	12.53	14.09	29.0	53.32	73.62	52.25	21.88	20.64	115.92	73.6	36.24	36.22	80.49	63.16	41.98	49.49	29.38	33.02	33.1	30.85	23.79	
NM_006409	20.39	15.24	29.25	13.78	7.58	14.02	17.57	43.37	123.34	94.79	39.75	26.35	205.8	177.73	25.13	31.22	67.67	56.8	39.78	41.78	27.65	30.76	31.81	41.3	31.54	
NM_002805	30.07	13.12	23.53	13.33	10.65	21.76	25.92	27.88	56.09	48.88	26.35	26.32	169.62	105.77	21.73	32.15	62.85	53.47	47.46	41.17	40.58	35.41	32.05	38.53	26.36	
NM_002805	18.44	11.35	23.04	14.23	10.09	14.35	19.0	25.0	46.13	42.54	24.47	20.82	112.57	91.19	16.12	26.78	57.11	48.89	38.59	31.97	28.15	26.19	30.65	27.78	21.45	
NM_016368	12.72	20.09	10.56	7.59	11.33	11.06	12.96	11.78	55.67	60.77	74.65	77.58	25.67	31.97	116.93	63.56	16.09	29.8	40.94	65.74	81.93	61.11	47.2	56.46	49.98	
NM_178012	4.96	37.01	15.84	15.05	13.84	23.93	52.05	31.27	37.44	37.19	63.78	74.04	126.11	70.0	39.8	46.3	97.95	74.18	20.27	22.43	27.54	20.68	23.25	20.39	19.42	
NM_000935	10.09	14.74	20.59	18.77	19.11	13.39	6.77	8.44	73.03	180.49	62.44	124.66	31.01	41.57	22.98	39.89	51.7	78.58	14.1	22.68	34.89	12.01	18.88	12.66	15.96	
NM_005184	8.62	13.14	14.68	8.28	4.41	10.43	19.09	14.54	31.75	45.93	27.7	41.54	51.35	133.84	50.54	118.73	70.5	70.99	34.74	24.44	13.07	9.2	13.22	22.82	14.02	
NM_178012	2.17	5.21	11.36	2.43	3.79	7.98	14.05	10.48	82.58	133.74	29.31	33.22	53.4	136.94	15.54	33.08	60.53	65.84	62.96	26.12	12.7	8.52	9.1	25.12	18.13	
NM_000210	17.86	18.06	1.78	4.51	3.18	4.57	39.75	27.18	89.28	87.62	54.43	57.16	120.99	59.13	14.79	22.18	31.74	41.75	20.81	13.46	12.26	14.36	16.77	11.21	11.18	
NM_003330	20.42	9.9	4.67	2.65	4.58	3.3	65.29	4.2	74.08	102.98	19.95	31.99	93.08	65.81	17.22	19.33	35.94	32.85	11.97	12.43	31.79	12.78	19.6	10.4	10.95	
NM_002105	9.46	7.12	6.14	3.87	5.56	5.21	19.74	2.56	19.18	16.48	22.34	26.95	132.06	113.86	23.35	41.84	81.22	71.56	72.42	67.24	65.97	67.97	59.0	54.56	43.88	
NM_001826	23.85	7.84	8.05	4.79	3.11	8.52	13.4	6.41	21.98	16.55	27.0	18.91	343.75	191.12	38.88	38.35	80.12	71.52	69.91	98.83	50.04	43.71	54.51	49.15	31.08	
NM_001826	23.16	5.88	11.15	6.84	7.3	11.68	16.81	5.04	16.15	15.75	22.29	26.06	162.86	132.25	26.39	31.47	77.47	69.35	61.34	66.1	49.63	49.05	57.63	41.15	33.47	
NM_006000	6.5	9.06	10.01	6.91	4.98	7.59	20.97	6.19	73.23	41.8	32.34	26.69	162.11	200.41	45.36	41.93	83.62	66.21	60.72	96.8	26.58	57.44	77.26	54.17	45.96	
NM_003540	11.05	4.27	7.6	7.94	9.19	8.29	15.44	9.26	23.92	36.93	39.59	43.76	96.66	184.52	26.42	47.36	64.55	84.73	74.01	48.13	38.33	33.62	45.82	28.24	15.58	
NM_002129	22.01	12.78	8.63	4.25	7.26	7.52	25.75	6.16	20.76	24.02	30.92	40.67	104.51	150.7	38.34	45.6	83.54	89.26	54.68	46.14	36.42	33.34	49.6	39.15	16.89	
NM_004044	18.82	10.14	8.07	4.33	5.47	5.28	15.55	10.04	55.05	47.97	19.52	23.34	60.6	66.1	25.22	25.87	43.35	45.83	42.79	72.63	69.47	65.86	63.06	52.49	36.27	
NM_006430	22.69	7.34	8.88	8.8	8.61	9.28	16.45	14.02	74.14	60.28	20.67	28.29	95.9	75.11	25.02	26.51	42.6	35.64	55.72	77.78	38.88	61.5	78.75	50.89	39.56	
NM_002882	10.36	11.6	12.32	6.59	6.6	9.54	10.9	19.84	29.81	25.42	23.33	16.37	149.23	123.75	32.65	34.19	63.22	50.28	65.03	61.16	43.18	41.54	45.12	39.97	20.71	
NM_004965	12.79	8.03	8.16	11.95	7.16	7.59	11.76	9.33	28.55	43.04	18.47	33.54	115.94	81.22	17.0	36.35	43.97	47.66	71.31	47.85	52.65	45.39	46.65	47.08	28.94	
NM_001527	14.56	5.59	6.29	7.67	4.49	9.09	9.54	8.48	33.91	39.0	17.89	17.51	118.8	119.3	29.03	29.57	49.62	49.25	57.9	74.63	64.45	43.5	43.69	32.05	27.53	
NM_000075	12.85	8.37	5.06	4.41	5.74	6.97	12.76	10.53	40.68	41.58	21.59	27.62	110.51	87.66	25.36	33.6	60.34	57.44	71.43	63.3	67.65	51.44	48.09	49.68	34.33	
NM_014172	10.73	10.06	7.62	5.8	4.43	6.25	13.35	11.88	24.92	27.0	13.75	11.3	97.2	70.05	29.17	27.73	43.71	49.47	28.07	48.64	76.84	51.02	63.63	51.12	58.72	
NM_012201	11.17	14.41	11.44	14.68	7.86	9.33	15.44	17.12	19.58	14.55	12.01	17.88	40.86	61.76	18.11	28.16	39.09	42.31	32.1	38.23	43.91	60.25	59.16	37.63	31.28	
NM_001618	20.35	7.22	8.32	11.34	8.09	10.25	20.22	7.1	25.33	24.02	11.13	13.85	82.66	83.63	20.35	23.92	41.94	34.29	44.83	47.55	37.04	47.36	37.7	44.56	35.17	
NM_000434	14.3	7.94	9.78	9.18	3.24	9.54	18.31	13.8	19.23	22.25	12.56	17.15	167.11	83.22	28.53	27.6	48.48	53.25	76.66	77.98	73.1	20.61	30.6	23.21	19.52	
NM_003091	10.86	8.39	7.31	4.28	3.1	4.41	17.92	17.19	35.24	37.19	17.9	16.8	97.37	140.89	35.5	41.79	109.54	84.68	74.73	48.46	37.05	30.03	32.14	44.89	28.95	
NM_005718	15.28	11.64	17.04	4.7	11.84	15.1	16.79	28.43	33.35	35.52	19.73	15.82	41.59	110.53	15.42	39.23	63.97	57.43	51.64	34.1	24.1	21.49	19.29	41.22	21.06	
NM_002819	7.0	9.34	13.55	2.2	8.08	8.93	10.11	20.3	26.23	20.53	9.05	11.27	64.9	74.22	18.06	22.77	54.75	45.43	50.91	42.37	18.54	22.05	30.48	35.38	20.58	
NM_005500	9.24	10.91	6.73	5.72	5.66	5.2	18.99	11.91	34.87	33.88	18.92	30.52	137.52	96.15	25.13	26.36	52.88	55.96	53.23	34.64	30.8	28.09	28.57	22.13	18.36	
