Identifier 	HCC_06	NNL_05	NNL_02	NNL_03	NNL_01	NNL_04	HCC_10	HCC_14	SK_TC_1	SK_TC_2	SK_SC_1	SK_SC_2	HUH7_TC_1	HUH7_TC_2	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	H3B_TC_1	H3B_TC_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_Ortho_1	H3B_Ortho_2	
NM_020244	35.46	13.41	27.86	22.08	13.28	14.17	51.68	46.01	9.89	9.93	4.19	4.25	42.96	32.85	7.77	7.45	13.83	14.81	14.71	20.35	28.76	15.38	17.55	19.03	19.75	
NM_024295	90.07	14.82	19.91	20.73	12.35	17.78	37.85	32.89	14.8	15.03	8.14	8.45	39.37	34.19	8.53	10.13	17.04	14.73	21.66	36.26	22.78	22.28	19.66	16.01	15.81	
NM_024295	72.45	11.93	18.49	10.83	9.5	10.21	29.57	28.61	11.67	8.48	5.97	6.67	22.6	22.51	5.09	7.5	11.14	9.77	19.35	25.3	16.35	17.44	18.24	13.55	11.68	
NM_007315	11.87	38.48	11.26	14.49	20.38	15.16	35.61	20.71	5.33	10.69	8.1	12.17	22.47	13.49	3.35	5.14	7.51	6.15	12.8	22.78	9.72	17.08	14.74	12.26	10.42	
NM_000314	20.11	21.86	14.52	16.64	13.65	15.93	14.81	18.46	15.84	20.64	17.27	19.92	15.91	15.97	4.96	11.29	12.61	4.76	11.1	18.99	13.19	13.55	13.05	11.25	9.19	
NM_000123	24.31	16.64	17.05	23.62	14.09	15.76	17.88	23.04	14.6	17.62	13.79	16.63	8.58	9.4	5.75	6.53	5.54	6.87	18.25	17.85	16.66	17.74	21.55	18.65	16.24	
NM_004544	33.12	15.97	18.34	18.75	10.56	10.82	20.18	30.74	28.34	17.67	9.39	9.58	13.27	19.59	7.4	7.22	12.02	9.21	15.59	21.8	13.87	13.63	15.77	16.2	10.85	
NM_004315	19.51	18.62	12.32	15.33	19.33	13.35	8.44	11.55	8.3	11.35	4.61	5.44	22.91	28.91	5.39	6.33	11.42	12.8	11.7	14.08	8.33	19.05	20.18	15.66	15.25	
NM_004168	22.13	11.03	30.2	29.78	10.72	15.28	19.7	15.0	9.87	5.46	3.62	4.9	49.53	14.93	5.33	4.96	8.8	8.26	12.02	18.39	25.91	19.75	27.11	11.35	18.14	
NM_003139	19.51	15.85	24.71	28.53	15.48	27.75	15.42	22.61	9.7	9.1	7.63	8.47	19.48	17.46	7.22	8.41	14.27	13.52	16.48	23.54	26.85	32.01	36.25	19.98	25.41	
NM_002168	17.38	39.25	40.95	12.9	23.77	23.77	27.75	42.87	23.48	11.89	4.93	3.86	45.13	79.46	17.65	27.61	39.14	45.18	50.99	59.59	33.18	61.71	87.08	129.08	114.43	
NM_021101	9.53	16.61	59.97	27.26	10.47	19.27	18.36	29.29	15.25	10.86	2.4	1.79	133.24	52.77	18.24	18.15	32.98	33.67	89.5	105.73	72.33	77.77	97.62	78.72	58.47	
NM_000071	61.57	4.18	121.58	57.06	28.96	63.87	39.78	55.38	8.69	12.31	3.01	5.71	34.75	75.53	16.16	22.81	37.98	36.58	71.79	77.17	42.72	42.8	47.94	58.47	58.97	
NM_003878	68.79	15.45	29.01	21.7	27.24	18.43	192.48	35.59	5.38	10.48	5.09	4.42	134.4	53.82	13.09	13.87	31.77	28.73	35.79	53.44	37.02	59.23	38.22	32.19	28.55	
NM_012248	105.08	50.3	46.33	52.45	33.35	46.02	110.39	69.19	8.52	9.77	5.87	5.16	113.39	83.51	20.61	22.75	41.64	46.51	75.41	114.49	73.53	79.36	97.25	71.06	58.7	
NM_014214	64.91	24.01	21.84	17.09	29.56	23.96	36.63	12.85	4.32	3.1	1.4	1.08	188.38	208.72	57.36	58.61	94.77	96.93	19.07	24.16	26.57	39.6	30.9	35.95	31.88	
NM_006350	37.77	31.43	25.55	23.05	13.38	16.3	42.68	34.89	2.41	1.59	4.0	3.84	86.67	29.03	19.02	35.62	36.65	46.6	16.45	51.2	11.56	164.64	155.32	38.19	34.03	
NM_002011	11.79	11.64	9.75	14.98	7.44	7.4	16.02	24.55	5.46	3.87	1.12	1.74	111.47	105.05	37.05	36.51	47.87	45.35	26.62	51.99	28.54	64.14	89.03	55.69	44.74	
NM_022121	16.73	33.26	44.16	27.19	24.25	15.68	26.39	16.19	5.64	8.01	0.59	2.16	68.35	52.33	32.45	30.24	60.38	57.94	75.34	124.84	39.51	130.74	133.75	62.66	42.17	
NM_002729	18.33	30.15	32.03	32.6	16.36	36.35	23.68	10.99	6.04	3.19	0.47	2.68	52.53	39.56	19.99	33.96	42.43	58.81	25.11	26.15	65.59	38.11	39.98	30.73	31.59	
NM_000156	8.34	106.64	134.4	66.7	51.37	65.09	91.44	106.43	22.25	15.86	3.0	3.99	72.53	64.23	36.31	43.19	61.71	56.12	41.24	50.8	13.46	7.84	9.38	21.66	14.53	
NM_001946	16.07	34.8	26.58	34.11	80.53	30.15	11.88	31.63	53.66	80.72	9.16	11.41	133.17	191.84	39.27	43.35	92.14	74.42	21.31	17.65	2.27	11.31	13.25	4.22	3.01	
NM_001173	11.91	8.7	16.77	8.1	10.92	17.8	23.31	22.54	11.53	17.04	7.27	11.67	177.75	246.03	77.61	123.22	202.47	186.79	23.81	15.05	12.57	12.2	16.89	15.08	13.12	
NM_004064	49.09	17.67	31.25	17.74	16.34	24.62	16.45	24.37	16.93	21.38	8.15	10.47	51.55	63.41	19.02	17.12	36.79	40.09	23.59	24.57	37.31	24.48	27.18	23.73	16.53	
NM_002128	27.21	12.39	21.86	25.59	15.59	20.57	16.75	27.73	7.32	12.41	8.06	7.36	64.56	56.69	15.02	20.44	33.05	35.44	40.26	21.19	26.22	23.47	26.28	16.77	9.8	
NM_004252	19.46	20.95	17.12	16.23	9.94	15.89	28.87	26.12	9.37	6.86	8.79	6.53	57.94	51.97	20.29	33.18	50.09	48.64	27.44	39.01	37.93	52.51	57.15	46.11	47.93	
NM_005787	17.71	13.0	9.98	9.93	5.42	9.94	21.08	23.72	13.87	8.25	5.32	5.87	93.96	58.21	20.22	23.05	41.8	38.62	19.61	52.83	30.42	38.72	41.93	28.93	22.32	
NM_003574	63.72	22.96	16.57	14.18	15.27	15.46	25.15	15.73	25.83	28.76	15.58	21.18	103.9	68.41	23.26	25.61	38.4	33.78	20.88	32.7	25.06	28.18	33.43	25.83	17.09	
NM_001328	36.4	17.8	9.09	24.4	17.42	16.43	15.99	35.83	26.64	18.18	10.98	16.64	123.25	90.88	38.34	35.05	59.96	49.77	24.56	36.09	27.8	34.96	31.78	19.81	21.7	
NM_005125	53.88	19.52	45.21	36.41	21.43	29.94	22.25	21.95	19.47	14.29	6.51	9.4	113.65	83.78	40.79	57.05	82.22	89.39	22.3	27.24	30.48	35.21	28.72	28.17	31.27	
NM_005433	22.57	18.82	25.91	34.92	16.42	15.99	20.79	22.65	14.12	17.61	7.86	12.66	93.34	66.44	23.81	32.04	45.89	47.91	24.37	51.93	34.49	35.95	42.38	32.81	32.86	
NM_005433	26.86	21.95	30.57	37.23	25.22	19.28	24.03	17.45	12.06	15.78	8.02	10.59	91.37	53.94	18.0	27.53	46.88	49.47	30.16	42.58	40.16	41.4	49.99	33.66	28.92	
NM_003128	27.57	20.23	26.27	26.31	13.94	13.56	16.93	24.96	12.05	8.07	9.53	9.23	89.62	74.17	32.22	32.11	60.62	52.75	43.86	52.06	25.38	29.64	29.67	31.32	23.09	
NM_002880	31.75	21.97	24.78	26.3	21.14	28.23	24.3	25.96	10.9	9.87	9.03	12.06	61.46	67.98	28.23	44.01	62.39	71.39	28.03	29.21	30.69	33.58	30.63	31.48	31.48	
NM_004953	24.25	36.44	35.15	15.08	17.89	37.98	32.59	42.82	23.8	30.85	16.41	18.84	77.43	114.11	19.18	44.22	77.51	79.06	60.47	49.9	29.1	16.35	23.87	49.45	38.17	
NM_002804	35.62	23.74	25.79	16.04	12.21	18.43	25.93	35.88	37.99	34.6	27.87	19.21	98.27	94.72	20.09	33.06	73.0	63.34	47.17	48.56	24.05	28.23	30.66	30.18	19.42	
NM_001119	32.25	32.75	22.88	20.25	14.93	20.92	23.77	44.33	25.76	34.05	20.15	26.92	88.21	92.26	23.34	38.59	58.26	55.79	39.15	33.85	30.02	32.99	30.85	31.89	26.66	
NM_000089	32.62	54.22	5.94	7.79	4.61	2.52	2.27	17.92	1.66	1.34	130.97	97.29	43.67	65.36	13.42	132.07	65.3	37.94	0.35	0.98	5.51	143.54	21.67	10.06	3.83	
NM_000090	19.59	81.95	11.34	20.04	4.81	7.31	4.78	16.64	7.2	21.93	224.03	117.13	1.06	0.31	26.43	132.17	83.82	31.79	1.37	0.5	12.85	144.01	31.68	9.13	3.15	
NM_001920	3.85	269.64	114.14	114.34	79.02	71.0	1.39	27.38	1.67	1.24	76.16	43.88	1.19	1.15	11.8	19.4	20.17	8.54	0.72	1.36	8.91	27.27	9.92	10.26	5.4	
NM_000774	3.7	13.07	70.64	22.04	28.08	29.79	20.44	16.2	4.64	4.82	25.12	26.85	5.81	2.86	59.0	35.32	4.57	17.79	5.91	3.15	5.2	6.55	7.31	7.05	8.22	
NM_003153	7.1	3.55	11.23	29.66	24.73	13.95	21.25	5.79	5.98	11.89	17.79	38.76	2.24	5.91	22.44	27.81	10.18	22.54	1.53	1.08	5.61	15.2	34.96	15.84	16.23	
NM_004079	18.92	20.81	21.39	16.17	14.39	10.88	22.23	13.84	1.46	1.82	30.01	39.98	2.97	1.1	3.09	22.53	11.75	11.6	1.46	2.19	11.26	17.05	10.0	5.94	5.54	
NM_004106	7.76	15.03	20.47	15.29	20.96	17.24	8.77	6.81	0.7	1.19	15.03	10.01	0.9	1.0	21.81	30.43	46.75	31.06	1.51	1.96	7.42	12.15	6.81	3.58	2.99	
NM_002473	3.33	7.14	21.32	0.44	5.34	11.14	12.71	23.96	41.36	198.6	20.33	21.79	3.04	28.08	2.83	9.52	10.77	12.79	11.55	2.07	2.44	1.74	1.75	14.97	6.62	
NM_001909	4.29	26.82	49.86	3.16	8.06	29.06	26.34	85.88	6.98	26.87	8.17	7.58	5.49	68.37	9.7	29.31	25.34	40.78	28.48	4.64	4.58	4.2	3.88	21.41	15.11	
NM_013336	4.97	11.65	11.83	0.97	7.16	17.35	19.87	29.19	15.68	23.18	8.97	11.01	26.7	63.96	7.9	25.86	53.36	57.29	46.23	19.36	8.94	4.82	6.24	27.46	18.51	
NM_006114	3.14	3.19	7.67	2.18	3.8	5.88	8.48	24.24	18.74	22.32	9.1	9.19	31.84	66.73	13.34	23.6	40.72	41.19	41.64	21.93	12.65	5.7	7.61	31.16	16.46	
NM_005718	8.54	6.21	8.0	1.87	4.21	7.22	4.69	10.63	19.72	18.0	5.1	7.05	20.53	71.22	7.82	17.84	33.66	36.66	24.67	14.45	9.79	8.64	7.03	24.78	13.19	
NM_001748	23.86	33.7	10.15	9.35	9.26	9.53	18.1	17.04	244.66	238.32	112.93	127.04	21.05	9.28	2.4	3.58	6.29	5.36	24.64	30.5	26.95	35.84	31.29	32.58	25.33	
NM_006009	8.54	12.46	9.91	7.45	7.16	4.77	7.04	7.96	136.43	152.49	103.47	89.76	24.33	2.65	4.71	15.05	9.94	6.54	4.86	8.49	10.76	32.95	11.8	9.45	12.47	
NM_018950	24.36	31.34	24.09	23.34	18.62	20.32	50.96	19.1	54.74	48.79	53.67	51.19	5.88	1.96	2.91	10.89	10.6	4.2	9.74	15.85	11.76	22.9	14.74	13.65	15.4	
NM_031207	5.49	20.72	20.99	26.58	13.34	19.2	12.33	13.65	60.74	36.09	23.3	27.47	13.63	4.86	5.36	7.93	9.44	9.06	7.46	7.83	14.88	5.64	7.55	3.63	2.2	
NM_014654	6.07	13.5	15.02	21.49	7.18	23.66	15.37	12.92	42.07	38.49	23.58	24.9	15.44	17.67	4.48	14.51	13.67	11.0	9.75	9.71	21.2	16.09	11.03	9.79	7.15	
NM_003517	218.69	13.47	6.08	11.14	4.86	7.89	4.56	7.12	13.91	21.61	15.92	13.5	9.88	5.7	18.94	17.88	9.45	11.19	5.2	4.96	13.35	6.19	9.53	6.8	6.93	
NM_021062	60.68	1.83	7.91	9.46	4.23	6.25	2.26	7.17	21.64	21.38	10.62	12.22	13.38	10.44	18.38	18.89	16.87	17.54	11.18	8.94	22.0	6.32	7.71	8.51	2.57	
NM_175065	74.24	4.89	7.06	8.82	6.54	4.2	7.87	5.71	12.42	25.1	11.46	17.26	13.28	12.17	13.66	20.65	16.26	21.81	10.16	11.07	23.41	18.18	20.03	19.53	16.91	
NM_003519	96.29	10.92	13.39	12.62	7.49	8.55	3.92	10.47	35.93	41.75	18.88	19.46	17.71	16.04	24.98	26.31	34.97	31.64	15.73	10.99	24.65	6.88	12.95	9.8	9.46	
NM_003524	108.17	5.95	16.48	9.41	3.31	9.86	4.68	8.84	31.02	45.32	21.57	23.01	21.92	20.84	31.86	36.98	35.07	38.0	14.22	11.8	31.17	8.62	13.44	12.19	6.32	
NM_003521	90.56	6.96	13.81	12.56	5.42	10.27	5.88	7.94	29.66	34.32	21.09	20.95	18.18	18.38	31.71	31.3	28.13	29.54	13.43	10.04	23.48	6.59	10.95	10.75	4.89	
NM_080593	206.43	28.26	24.6	28.54	17.38	25.86	11.55	22.7	58.48	88.89	37.86	56.16	46.58	23.65	17.27	31.52	68.94	56.52	20.02	12.47	63.89	12.1	20.9	11.95	9.16	
NM_003510	140.88	11.21	15.95	10.91	9.68	11.39	14.92	16.31	22.49	41.91	27.96	21.38	18.42	23.62	36.68	34.05	29.79	37.58	20.56	18.49	37.45	24.44	27.14	24.25	22.96	
