Acc.No	G+ 01 Lung 6h	G- 01 Lung 6h	G+ 02 Liver 6h	G- 02 Liver 6h	G+ 03 Heart 6h	G- 03 Heart 6h	G+ 04 Pancreas 6h	G- 04 Pancreas 6h	G+ 06 Colon 6h	G- 06 Colon 6h	G+ 07 SmInt 6h	G- 07 SmInt 6h	G+ 10 Kidn cort 6h	G- 10 Kidn cort 6h	G+ 11 Kidn med 6h	G- 11 Kidn med 6h	G+ 12 Brain cereb 6h	G- 12 Brain cereb 6h	G+ 13 Br cere cort 6h	G- 13 Br cere cort 6h	G+ 14 Spleen 6h	G- 14 Spleen 6h
NM_006418	6.61	3.82	NaN	4.19	NaN	2.79	NaN	NaN	NaN	NaN	2.12	2.08	3.54	8.73	3.22	4.15	NaN	NaN	NaN	NaN	3.48	4.1
NM_006472	NaN	0.37	NaN	NaN	NaN	NaN	NaN	0.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.41	NaN	0.32	0.36
NM_006926	NaN	0.45	0.16	0.42	NaN	NaN	0.33	NaN	NaN	NaN	NaN	0.44	0.26	0.41	0.46	0.4	NaN	0.43	NaN	NaN	NaN	NaN
NM_012084	NaN	NaN	0.28	0.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NM_014367	NaN	NaN	0.42	0.38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.42	0.49	NaN	0.43	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NM_017460	NaN	NaN	0.32	0.46	NaN	2.13	0.49	NaN	2.07	NaN	0.42	0.34	NaN	2.49	NaN	NaN	NaN	NaN	NaN	NaN	2.23	2.24
NM_021034	2.93	3.2	NaN	2.28	2.33	2.98	3.54	4.44	3.03	NaN	3.2	3.34	5.05	9.47	NaN	3.42	2.69	2.25	2.2	NaN	7.31	5.58
NM_021139	NaN	NaN	0.36	0.4	NaN	NaN	NaN	NaN	NaN	NaN	0.36	0.3	NaN	NaN	NaN	0.46	NaN	NaN	0.4	NaN	NaN	NaN
NM_033011	8.73	13.78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.07	2.74	3.32	2.53	2.6	NaN	NaN	NaN	NaN	NaN	NaN
NM_175739	7.13	5.25	NaN	2.08	5.05	9.43	6.98	13.24	2.52	2.64	4.37	2.76	4.98	11.34	8.5	15.52	2.29	NaN	2.12	2.38	2.67	2.63
