100 Under 50 rank	World University Rankings 2011-2012 position	Institution	Lat;long	Country	Year founded	Teaching	Research	Citations	Income from Industry	International mix	Overall score
19	197	Maastricht University	50.84765;5.6864	Netherlands	1976	33.8	38.8	53.9	–	86.4	44.9
98	–	National University of Malaysia	2.93089;101.77878	Malaysia	1970	23.2	13.8	14.2	26.1	53.1	20.0
39	251-275	University of Tsukuba	36.1119;140.1040	Japan	1973	43.9	29.0	41.4	32.0	27.2	37.1
25	226-250	University of Milan-Bicocca	45.51782;9.21343	Italy	1998	29.9	17.6	78.3	35.6	33.2	41.1
37	276-300	University of Trento	46.06976;11.12104	Italy	1962	28.6	28.3	51.5	51.0	49.7	37.5
68	301-350	Sharif University of Technology	35.7039;51.3523	Iran	1966	30.0	37.2	19.3	93.1	12.7	29.2
3	62	Hong Kong University of Science and Technology	22.3394;114.2629	Hong Kong	1991	51.4	62.6	71.0	59.0	80.1	63.0
12	151	Chinese University of Hong Kong	22.4223;114.2070	Hong Kong	1963	47.4	56.2	37.8	36.4	69.5	48.5
18	193	City University of Hong Kong	22.3379;114.1728	Hong Kong	1984	32.5	42.2	57.4	50.1	61.6	45.5
46	251-275	Hong Kong Polytechnic University	22.3040;114.1787	Hong Kong	1994	31.2	42.8	22.2	72.8	62.5	35.4
50	276-300	University of Crete	71409 Heraklion	Greece	1973	16.9	18.0	66.7	33.2	42.6	34.5
14	194	Universität Konstanz	47.6923;9.1864	Germany	1966	36.3	39.6	62.8	49.9	63.7	47.7
22	201-225	Universität Ulm	48.4256;9.9489	Germany	1967	53.0	26.2	46.7	69.8	50.8	43.3
26	251-275	Ruhr-Universität Bochum	51.4456;7.2682	Germany	1962	44.2	38.9	36.0	59.7	46.6	40.7
42	251-275	Universität Bielefeld	52.03948;8.49715	Germany	1969	23.9	22.5	61.6	28.6	45.2	36.5
6	84	Université Pierre et Marie Curie	48.84677;2.35495	France	1971	61.6	26.3	81.1	26.2	66.7	56.3
15	169	Université Paris Diderot–Paris 7	48.8304;2.3821	France	1970	28.0	20.0	88.9	–	70.7	46.8
46	276-300	Université Montpellier 2	43.6347;3.8603	France	1970	30.7	9.6	62.3	24.9	52.9	35.4
75	351-400	Université Paris 13	48.95590;2.33968	France	1970	16.2	16.0	39.4	24.2	59.9	26.6
54	301-350	University of Eastern Finland	FI-80101 Joensuu	Finland	1969	29.4	22.8	51.1	30.2	33.5	34.3
96	–	Mansoura University	31.0537;31.3823	Egypt	1972	12.3	7.5	42.3	24.6	23.7	21.0
36	251-275	University of Southern Denmark	55.36960;10.4288	Denmark	1998	26.2	17.6	58.0	67.9	73.7	37.8
67	301-350	Aalborg University	57.01670;9.9788	Denmark	1974	22.8	27.2	27.1	36.4	75.3	29.7
