ncbi-geneid:1	hsa:1
ncbi-geneid:1018	hsa:1018
ncbi-geneid:10180	hsa:10180
ncbi-geneid:10181	hsa:10181
ncbi-geneid:10184	hsa:10184
ncbi-geneid:10186	hsa:10186
ncbi-geneid:10188	hsa:10188
ncbi-geneid:10189	hsa:10189
ncbi-geneid:1019	hsa:1019
ncbi-geneid:10190	hsa:10190
ncbi-geneid:10193	hsa:10193
ncbi-geneid:10194	hsa:10194
ncbi-geneid:10195	hsa:10195
ncbi-geneid:10196	hsa:10196
ncbi-geneid:10197	hsa:10197
ncbi-geneid:10198	hsa:10198
ncbi-geneid:10199	hsa:10199
ncbi-geneid:102	hsa:102
ncbi-geneid:1020	hsa:1020
ncbi-geneid:10200	hsa:10200
ncbi-geneid:10201	hsa:10201
ncbi-geneid:10202	hsa:10202
ncbi-geneid:10203	hsa:10203
ncbi-geneid:10204	hsa:10204
ncbi-geneid:10205	hsa:10205
ncbi-geneid:10206	hsa:10206
ncbi-geneid:10207	hsa:10207
ncbi-geneid:10208	hsa:10208
ncbi-geneid:10209	hsa:10209
ncbi-geneid:1021	hsa:1021
ncbi-geneid:10210	hsa:10210
ncbi-geneid:10211	hsa:10211
ncbi-geneid:10212	hsa:10212
ncbi-geneid:10213	hsa:10213
ncbi-geneid:10214	hsa:10214
ncbi-geneid:10215	hsa:10215
ncbi-geneid:10216	hsa:10216
ncbi-geneid:10217	hsa:10217
ncbi-geneid:10218	hsa:10218
ncbi-geneid:10219	hsa:10219
ncbi-geneid:1022	hsa:1022
ncbi-geneid:10220	hsa:10220
ncbi-geneid:10221	hsa:10221
ncbi-geneid:10223	hsa:10223
ncbi-geneid:10224	hsa:10224
ncbi-geneid:10225	hsa:10225
ncbi-geneid:10226	hsa:10226
ncbi-geneid:10227	hsa:10227
ncbi-geneid:10228	hsa:10228
ncbi-geneid:10229	hsa:10229
ncbi-geneid:10231	hsa:10231
ncbi-geneid:10232	hsa:10232
ncbi-geneid:10233	hsa:10233
ncbi-geneid:10234	hsa:10234
ncbi-geneid:10235	hsa:10235
ncbi-geneid:10236	hsa:10236
ncbi-geneid:10237	hsa:10237
ncbi-geneid:10238	hsa:10238
ncbi-geneid:10239	hsa:10239
ncbi-geneid:1024	hsa:1024
ncbi-geneid:10240	hsa:10240
ncbi-geneid:10241	hsa:10241
ncbi-geneid:10242	hsa:10242
ncbi-geneid:10243	hsa:10243
ncbi-geneid:10244	hsa:10244
ncbi-geneid:10245	hsa:10245
ncbi-geneid:10246	hsa:10246
ncbi-geneid:10247	hsa:10247
ncbi-geneid:10248	hsa:10248
ncbi-geneid:10249	hsa:10249
ncbi-geneid:1025	hsa:1025
ncbi-geneid:10250	hsa:10250
ncbi-geneid:10251	hsa:10251
ncbi-geneid:10252	hsa:10252
ncbi-geneid:10253	hsa:10253
ncbi-geneid:10254	hsa:10254
ncbi-geneid:10255	hsa:10255
ncbi-geneid:10256	hsa:10256
ncbi-geneid:10257	hsa:10257
ncbi-geneid:1026	hsa:1026
ncbi-geneid:10260	hsa:10260
ncbi-geneid:10261	hsa:10261
ncbi-geneid:10262	hsa:10262
ncbi-geneid:10263	hsa:10263
ncbi-geneid:10265	hsa:10265
ncbi-geneid:10266	hsa:10266
ncbi-geneid:10267	hsa:10267
ncbi-geneid:10268	hsa:10268
ncbi-geneid:10269	hsa:10269
ncbi-geneid:1027	hsa:1027
ncbi-geneid:10270	hsa:10270
ncbi-geneid:10272	hsa:10272
ncbi-geneid:10273	hsa:10273
ncbi-geneid:10274	hsa:10274
ncbi-geneid:10276	hsa:10276
ncbi-geneid:10277	hsa:10277
ncbi-geneid:10278	hsa:10278
ncbi-geneid:10279	hsa:10279
ncbi-geneid:1028	hsa:1028
ncbi-geneid:10280	hsa:10280
ncbi-geneid:10281	hsa:10281
ncbi-geneid:10282	hsa:10282
ncbi-geneid:10283	hsa:10283
ncbi-geneid:10284	hsa:10284
ncbi-geneid:10285	hsa:10285
ncbi-geneid:10286	hsa:10286
ncbi-geneid:10287	hsa:10287
ncbi-geneid:10288	hsa:10288
ncbi-geneid:10289	hsa:10289
ncbi-geneid:1029	hsa:1029
ncbi-geneid:10290	hsa:10290
ncbi-geneid:10291	hsa:10291
ncbi-geneid:10293	hsa:10293
