ANALYSENR	LAND	FUNDORT	FUNDPLATZ	MUSEUM	KULTUR	OBJEKT
65	D	Burgweinting, Kr. Regensburg	F.O.? Verm. nicht aus Burgweinting	Regensburg 376a		Dolch
66	D	Stuttgart-Bad Cannstatt	Einzf.	Stuttgart, WLM A 234		Ösenringbarren
67	D	Stuttgart-Bad Cannstatt	Grab 5	Stuttgart, WLM		Rudernadel, verz.
68	D	Stuttgart-Bad Cannstatt	Grab 5	Stuttgart, WLM		Blechröhrchen
69	D	Stuttgart-Bad Cannstatt	Grab 1	Stuttgart, WLM		Armspirale
70	D	Stuttgart-Bad Cannstatt	Grab 4	Stuttgart, WLM		Armspirale
71	D	Stuttgart-Bad Cannstatt	Grab 4	Stuttgart, WLM		Scheibennadel, kl., ruderf., einger. Kopfplatte
72	D	Dillingen a. d. Donau, Kr. Dillingen	Grab	Dillingen	GBK	Griffzungendolch
73	D	Döttingen, Kr. Schwäbisch-Hall	Unsicher, vielleicht Grab	Stuttgart, WLM 12736		Vollgriffdolch: Blatt
74	D	Döttingen, Kr. Schwäbisch-Hall	Unsicher, vielleicht Grab	Stuttgart, WLM 12736		Vollgriffdolch: Griff
75	D	Döttingen, Kr. Schwäbisch-Hall	Unsicher, vielleicht Grab	Stuttgart, WLM 12736		Vollgriffdolch: Niet
76	CH	Dürnten, Kt.Zürich	Einzf.	Zürich, SLM		Großes Beil
77	D	Efringen-Kirchen	Gräber in Höhle, mind. 4 SK	Karlsruhe C 8592		Dolch mit 4 Nieten und Seitenrillen
78	D	Münsingen, Kr. Reutlingen	Einzf.	Stuttgart, WLM A 32/164		Dolch mit 3 Nieten
79	D	Ittenhausen, Gem. Ensmad, Kr. Riedlingen	Grab	Stuttgart, WLM A 34/150		Nadel m. durchb. Hals u. gefl. gep. Schaft
80	D	Ittenhausen, Gem. Ensmad, Kr. Riedlingen	Grab	Stuttgart, WLM A 34/150		Nadel m. durchb. Hals u. gefl. gep. Schaft
81	D	Eriskirch, Bodenseekreis	Einzelf.	Stuttgart, WLM 12584		Randleistenbeil, Typ ?, Salez-Langquaid
82	D	Eriskirch, Bodenseekreis	Einzelf.	Stuttgart, WLM 12584		Randleistenbeil (3 An.) Typ unklar
83	D	Eriskirch, Bodenseekreis	Einzelf.	Stuttgart, WLM 12584		Randleistenbeil (3 An.), Typ unklar
84	D	Friedberg	Depot	Augsburg 570, 1-22		Randleistenbeil, Schneidenfrag., Typ Langquaid
85	D	Friedberg	-0			Gußbrocken
86	D	Friedberg	Depot	Augsburg 570, 11		Sichel
87	D	Galgweis-Gergweis Kr.Vilshofen	Einzf.	München, Stslg. 1958, 715		Scheibennadel, verz.
88	D	Galgweis-Gergweis Kr.Vilshofen	Einzf.	München, Stslg. 1958, 716		Scheibennadel, verz.
89	D	Gammersham, Kr. Wasserburg	Depot	München, Stslg. 1909:9		Ösenringbarren
90	D	Gammersham, Kr. Wasserburg	Depot	München, Stslg. 1909:82		Ösenringbarren
91	D	Gammersham, Kr. Wasserburg	Depot	München, Stslg. 1909:11		Ösenringbarren
92	D	Gammersham, Kr. Wasserburg	Depot	München, Stslg. 1909:8		Ösenringbarren
93	D	Gammersham, Kr. Wasserburg	Depot	München, Stslg. 1909:23		Ösenringbarren
94	D	Grünwald-Geiselgasteig, Kr. München	Grab 1	München, Stslg. 1912:601		Scheibennadel, verziert
95	D	Gessenhausen, Gem. Taching, Kr. Traunstein	Grab od. Dep.	München, Stslg. H.V. 227		Spiraltutulus
96	D	Göggingen, Kr. Augsburg	DoppelGrab, Grab 1	Augsburg, Maxim.Mus.		Zierscheibe, groß
97	D	Göggingen, Kr. Augsburg	Grab 2	Augsburg		Spiraltutulus
98	D	Göggingen, Kr. Augsburg	DoppelGrab, Grab 1	Augsburg		Blechtutulus
99	D	Göggingen, Kr. Augsburg	Grab 2	Augsburg		Armspirale, 5,2 Windungen erh.
100	D	Göggingen, Kr. Augsburg	Grab 2	Augsburg		Schleifennadel, Horkheimer Nadel
101	D	Göggingen, Kr. Augsburg	DoppelGrab, Grab 1	Augsburg		Schleifennadel, zypr.
102	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	Stuttgart, WLM 223-1563		Meißel
103	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Siedl.	Stuttgart, WLM 227-494		Meißel
104	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	Stuttgart, WLM 545a		Flachbeil
105	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	Stuttgart, WLM 214-28017		Flachbeil
106	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	Stuttgart, WLM 221-28013		Meißel
107	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	Stuttgart, WLM		Randleistenbeil, geschwung. Schneide, Langquaid II
108	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	Stuttgart, WLM A 1694		Ringkopfnadel
109	D	Neudorf, Gem. Graben, Kr. Karlsruhe	Einzf.	Karlsruhe C 2069		Kugelkopfnadel, durchbohrt, verziert, junge Form
110	D	Gr. Gerau	Einzf.	Groß-Gerau		Flachbeil
111	D	Güglingen, Kr. Heilbronn	Einzelf.	Stuttgart, WLM A 3127		Randleistenbeil, Typ Salez (3 An.)
112	D	Güglingen, Kr. Heilbronn	Einzelf.	Stuttgart, WLM A 3127		Randleistenbeil, Typ Salez (3 An.)
113	D	Güglingen, Kr. Heilbronn	Einzelf.	Stuttgart, WLM A 3127		Randleistenbeil, Typ Salez (3 An.)
114	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen 847		Lyranadel mit 3-teiliger Kopfplatte
115	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen 848		Lyranadel mit 3-teiliger Kopfplatte
116	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen 852		Blechtutulus
117	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen		Spirale, Frgm.
118	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen		Dreiarmnadel (Kleeblattnadel?)
119	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen		Kleeblattnadel
120	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen 849		Kleeblattnadel
121	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	Sigmaringen 850		Dreiarmnadel (Kleeblattnadel?)
122	D	Hagelstadt, Kr. Regensburg	Depot	München, Stslg. IV 680		Ösenringbarren
123	D	Hagelstadt, Kr. Regensburg	Depot	München, Stslg. IV 680		Ösenringbarren
124	D	Hagelstadt, Kr. Regensburg	Depot	München, Stslg. IV 680		Ösenringbarren
125	D	Hagelstadt, Kr. Regensburg	Depot	München, Stslg. IV 680		Ösenringbarren
126	D	Hagelstadt, Kr. Regensburg	Depot	München, Stslg. IV 680		Ösenringbarren
127	D	Hammel Kr.Augsburg	Einzf.	Augsburg VF 124		Vollgriffdolch: Blatt
128	D	Hammel Kr.Augsburg	Einzf.	Augsburg VF 124		Vollgriffdolch: Griff
129	D	Hammel Kr.Augsburg	Einzf.	Augsburg VF 124		Vollgriffdolch: Niet und Blatt
130	D	Hammel Kr.Augsburg	Einzf.	Augsburg VF 124		Vollgriffdolch: Niet
131	D	Hepsisau, Kr. Nürtingen	Einzf.	Stuttgart, WLM A 1213		Dolchklinge, verz., 5 (?) Niete
132	D	Heroldingen, Donau-Ries Kreis	Grab	München, Stslg. 1909, 1		Rudernadel, verziert
133	D	Honau, Kr. Reutlingen	Grab in Höhle	Stuttgart, WLM A 30/178e		Offener Armreif
134	D	Honau, Kr. Reutlingen	Grab in Höhle	Stuttgart, WLM A 30/178g		Ösenhalsring, klein
135	D	Honau, Kr. Reutlingen	Grab in Höhle	Stuttgart, WLM A 30/178h		Blechröhrchen
136	D	Honau, Kr. Reutlingen	Grab in Höhle	Slg. Tübingen		Zierscheibe, Frgm.
137	D	Honau, Kr. Reutlingen	Grab in Höhle	Slg. Tübingen		Blechröhrchen, verz.
138	D	Honau, Kr. Reutlingen	Grab in Höhle	Slg. Tübingen		Ösenring, klein, Bruchstück
139	D	Honsolgen, Kr. Marktoberdorf	Dep., Schmuckdepot	Augsburg 91		Zierscheibe
140	D	Honsolgen, Kr. Marktoberdorf	Dep., Schmuckdepot	Augsburg 91		Pfriem mit Mittelschwellung
141	D	Honsolgen, Kr. Marktoberdorf	Dep., Schmuckdepot	Augsburg 91		Rollennadel, ellipt. Kopfpl. u. ger. Schaft
142	D	Hügelsheim, Kr. Rastatt	Einzf.	Karlsruhe C 2023		Dolch, 5 Niete, verz.
143	D	Indelhausen, Kr.Münsingen	Einzf. aus Gerberhöhle	Stuttgart, WLM		Gußbarren
145	D	Irlbach, Kr. Straubing	Einzf.	Straubing 3781		Randleistenbeil, Typ Langquaid
146	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	Darmstadt	SKK	Spiralring, klein
147	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	Darmstadt	SKK	Kupferperle
148	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	Darmstadt	SKK	Spirale, hoch
149	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	Darmstadt	SKK	Spirale, niedrig
150	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	Darmstadt	SKK	Kupferperle
151	D	Kirch-Brombach, Brombachtal, Odenwaldkreis	Im Eichels, Einzf.	Michelstadt		Randleistenbeil, atypisch, trapezoid
152	D	Kirchheim u.T., Kr. Esslingen	Grab 1	Kirchheim, Heimatmus.		Armspirale mit 5 Wind. und eingerollten Enden
153	D	Kirchheim u.T., Kr. Esslingen	Grab 1	Kirchheim, Heimatmus.		Dolch, 4 Niete, verziert
154	D	Kirchheim u.T., Kr. Esslingen	Grab 3	Kirchheim, Heimatmus.		Dolch, 3 Niete
155	D	Kollstein, Kr. Parsberg	Einzf., aus Hügelgrab?	Regensburg A 646		Kugelkopfnadel mit verziertem Schaft
156	D	Kornwestheim Kr. Ludwigsburg	Einzf.	Stuttgart, WLM A 1078		Flachbeil, Typ?
157	D	Krappenhofen Kr.Parsberg	Grab?, wohl aus Grabhügeln	München, Stslg.		Kugelkopfnadel, schräg durchbohrt, verz.
158	D	Krumbach, Umgeb., Günzkreis	Depot	München, Stslg. 522		Spangenbarren
159	D	Krumbach, Umgeb., Günzkreis	Depot	München, Stslg. 522		Spangenbarren
160	D	Krumbach, Umgeb., Günzkreis	Depot	München, Stslg. 522		Spangenbarren
161	D	Krumbach, Umgeb., Günzkreis	Depot	München, Stslg. 522		Spangenbarren
162	D	Krumbach, Umgeb., Günzkreis	Depot	München, Stslg. 522		Spangenbarren
163	D	Langenau	Einzf.	Langenau, Heimatmus.		Kugelkopfnadel m. durchb. Kopf u. verz. Schaft
164	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Nadel mit Plattenkopf
165	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Nadel mit meißelförmigem Kopf
166	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Randleistenbeil, Typ Langquaid
167	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Randleistenbeil, Typ Langquaid
168	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Lanzenspitze
169	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Kugelkopfnadel mit tordiertem Schaft
170	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Kugelkopfnadel mit tordiertem Schaft
171	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Kugelkopfnadel mit tordiertem Schaft
172	D	Langquaid, Kr. Kelheim	Depot	München, Stslg.		Kugelkopfnadel mit tordiertem Schaft
173	D	Lauffen a. N., Kr. Heilbronn	Grab	Stuttgart, WLM A 35/20		Schleifennadel od. Horkheimer Nadel
174	D	Luckenpaint, Kr. Regensburg	HockerGrab	Regensburg A 1422	GBK	Griffzungendolch, klein
175	D	Ludwigsmoos Kr.Neuburg/Donau	Einzf.	München, Stslg. 3675		Stabdolchklinge
176	D	Tuttlingen-Ludwigstal, Kr.Tuttlingen	Grab	Stuttgart, WLM A 720		Halsring
177	D	Tuttlingen-Ludwigstal, Kr.Tuttlingen	Grab	Stuttgart, WLM A 720		Dreiarmnadel
178	D	Mainz	F.O.?	Worms 124c		Kugelkopfnadel
179	D	Manching, Kr. Ingolstadt	Grab 12	München, Stslg. 1958, 708		Rudernadel, verziert
180	D	Manching, Kr. Ingolstadt	Grab 11	München, Stslg. 1958, 710		Scheibennadel, verziert
181	D	Manching, Kr. Ingolstadt	Grab 7	München, Stslg. 1937, 219		Rollennadel mit elliptischer Kopfplatte
182	D	Mengen, Umgb., Kr. Sigmaringen	Dep. aus 12 Beilen	Stuttgart, WLM A 216b		Randleistenbeil, Typ Salez (2 An.)
183	D	Mengen, Umgb., Kr. Sigmaringen	Dep. aus 12 Beilen	Stuttgart, WLM A 216b		Randleistenbeil, Typ Salez (2 An.)
184	D	Mettenheim	Grab	München, Stslg. 1939/35	GBK	Pfriem
185	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Dep. Menke Nr. 12	München, PStslg. 1916.1		Spangenbarren
186	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	München, PStslg. 1916.1		Spangenbarren
187	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	München, PStslg. 1916.1		Spangenbarren
188	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	München, PStslg. 1916.1		Spangenbarren
189	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	München, PStslg. 1916.1		Spangenbarren
190	D	Monsheim	aus Steintumuli	Worms 29		Dolch, 2 Niete
191	D	Monsheim	aus Steintumuli	Worms 29		Rollennadel mit geradem Schaft
192	D	Moosinning, Kr. Erding	Einzf.	München, Stslg. 1926/15	GBK?	Griffzungendolch, Spitze abgebr.
193	D	Mühlhausen Kr.Ebersberg	Depot	München, Stslg. H.V. 32-34		Ösenringbarren
194	D	Mühlhausen Kr.Ebersberg	Depot	München, Stslg. H.V. 32-34		Ösenringbarren
195	D	Mühlhausen Kr.Ebersberg	Depot	München, Stslg. H.V. 32-34		Ösenringbarren
196	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
197	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
198	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
199	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
200	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
201	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
202	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
203	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
204	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
205	D	München, 'Luitpoldpark'	Depot	München, Stslg. 1928:33		Spangenbarren
