ANALYSENR	LAND	FUNDORT	FUNDPLATZ	MUSEUM	KULTUR	OBJEKT
261	CH	Rheinfelden-Nollingen, Kt. Aargau	Einzf. im Altrheinbett	Karlsruhe C7498		Randleistenbeil, Typ Herbrechtingen, Var. B
262	D	Ronsolden	Wohl aus Grabhügel	Regensburg		Schleifennadel, cyprisch
263	D	Roth, Kr.Laufen	Depot	München, Stslg. 1904, 191		Ösenringbarren
264	D	Roth, Kr.Laufen	Depot	München, Stslg. 1904, 191		Ösenringbarren
265	D	Roth, Kr.Laufen	Depot	München, Stslg. 1904, 191		Ösenringbarren
266	D	Roth, Kr.Laufen	Depot	München, Stslg. 1904, 191		Ösenringbarren
267	D	Roth, Kr.Laufen	Depot	München, Stslg. 1904, 191		Ösenringbarren
268	D	Rottenburg, Kr. Tübingen	Depot?	Slg. Rottenburg		Randleistenbeil, fragm., Einzelform
269	D	Rottenburg, Kr. Tübingen	Depot?	Slg. Rottenburg		Dolchklinge, 6 Niete, Mittelrippe
270	D	Rottenburg, Kr. Tübingen	Depot?	Slg. Rottenburg		Niet von Dolch 269
271	D	Rottenburg, Kr. Tübingen	Depot?	Slg. Rottenburg		Ösenhalsring
272	D	Rottenburg, Kr. Tübingen	Depot?	Slg. Rottenburg		Ösenhalsring
273	D	Rottweil	Einzf.	Stuttgart, WLM A 33/88		Randleistenbeil, Typ Salez (3 An.)
274	D	Rottweil	Einzf.	Stuttgart, WLM A 33/88		Randleistenbeil, Typ Salez (3 An.)
275	D	Rottweil	Einzf.	Stuttgart, WLM A 33/88		Randleistenbeil, Typ Salez (3 An.)
276	D	Safferstetten, Kr. Grießbach	Grab 1	München, Stslg. 1913/366	GBK	Dolch, 5 Niete, Glockenbecher?
277	D	Schabenberg, Gem. Sulzbach	Depot	München, Stslg. 1938/5		Spangenbarren
278	D	Schabenberg, Gem. Sulzbach	Depot	München, Stslg. 1938/5		Spangenbarren
279	D	Schabenberg, Gem. Sulzbach	Depot	München, Stslg. 1938/5		Spangenbarren
280	D	Schabenberg, Gem. Sulzbach	Depot	München, Stslg. 1938/5		Spangenbarren
281	D	Schabenberg, Gem. Sulzbach	Depot	München, Stslg. 1938/5		Spangenbarren
282	D	Scharnhausen, Kr. Esslingen	Einzf.	Stuttgart, WLM A 251		Randleistenbeil, löffelförmig, Typ Lausanne I,B
283	D	Schleswig-Holstein	?	Kiel, Univ.Slg.		Schwertblatt
284	D	Bad Schussenried, Kr. Biberach	Dep. Lissen II, Moorfund, urspr. 3 Ö`Ringe	Stuttgart, WLM A 3121		Ösenringbarren
285	D	Bad Schussenried, Kr. Biberach	Dep. Lissen I, Moorfund	Stuttgart, WLM A 3120		Ösenringbarren, Ring v. Halsringkragen
286	D	Bad Schussenried, Kr. Biberach	Dep., Lissen I, Moorfund	Stuttgart, WLM A 3120		Ösenringbarren, Ring v. Halsringkragen
287	D	Bad Schussenried, Kr. Biberach	Dep. Lissen I, Moorfund	Stuttgart, WLM A 3120		Ösenringbarren, Ring v. Halsringkragen
288	D	Schwabstedt	Grab	Privbes.		Flachbeil
289	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	aus Gräbern	Stuttgart, WLM 10329		Ösenhalsring
290	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	Tübingen		Blechtutulus
291	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	Tübingen		Blechtutulus
292	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	Tübingen		Röhrchen, verziert
293	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	Tübingen		Nadel m. ellipt. Kopfplatte u. ger. Schaft
294	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	Tübingen		Ösenhalsring
295	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	Stuttgart, WLM A 33/162a		Spirale
296	D	Schwörzkirch, Gem. Allmendingen, Alb-Donau-Kreis	Grab	Stuttgart, WLM A 33/162b		Spirale
297	D	Seefelden	Depot	Freiburg i.Br. 211		Spirale
298	D	Seefelden	Depot	Freiburg i.Br. 209		Spirale
299	D	Seefelden	Depot	Freiburg i.Br. 210		Spirale
300	D	Seefelden	Depot	Freiburg i.Br. 212		Spirale
301	D	Seefelden	Depot	Freiburg i.Br. 208		Ösenringbarren
302	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg A 824		Randleistenbeil, löffelförmig, vgl. Typ Lausanne
303	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg A 827		Armring mit Spitzenden
304	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg A 829		Kugelkopfnadel m. verz. Kopf u. Hals
305	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg A 823		Randleistenbeil, löffelförmig, vgl. Typ Lausanne
306	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg		Spiraltutulus
307	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg		Ringhalskragen (3 Analysen versch. Ringe)
308	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg		Ringhalskragen (3 Analysen versch. Ringe)
309	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg		Ringhalskragen (3 Analysen versch. Ringe)
310	D	Sengkofen, Kr. Regensburg	aus Gräbern	Regensburg		Spiraltutulus mit abgebrochener Spitze
311	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 95	Singen		Dolch, 3 Niete
312	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 98	Singen		Scheibennadel m. ellipt. Kopfplatte
313	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 92	Singen		Schleifennadel, Horkheimer Nadel
314	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 92	Singen		Armspirale mit eingerollten Enden
315	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	Singen		Ösenhalsring
316	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	Singen		Schleifennadel, Horkheimer Nadel
317	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	Singen		Halbmondförmige Zierscheibe
318	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 96	Singen		Armspirale
319	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 84	Singen		Dolch, 4 Niete, atlant. Dolch
320	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 84	Singen		Niet der verz. Dolchklinge (SAMNR 319)
321	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 79	Singen		Schleifennadel, Horkheimer Nadel
322	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	Singen		Ösenhalsring
323	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	Singen		Fußspirale
324	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	Singen		Fußspirale
325	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 80	Singen		Rudernadel, verziert
326	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	Singen		Ösenhalsring
327	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	Singen		Pfriem mit Mittelschwellung
328	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	Singen		Schleifennadel, Horkheimer Nadel
329	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 83	Singen		Armspirale
330	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 87	Singen		Armspirale
331	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 87	Singen		Scheibennadel, kl., eingerollte, ruderf. Kopfplatt
332	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 77	Singen		Dolch, 3 Niete, eingez. Griffpl.
333	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 77	Singen		Armspirale
334	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 82	Singen		Spiralring mit eingerollten Enden
335	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 82	Singen		Pfriem mit Mittelschwellung
336	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 85	Singen		Spirale
337	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 78	Singen		Ösenhalsring
338	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 51	Singen		Ösenhalsring
339	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 51	Singen		Schleifennadel, Horkheimer Nadel
340	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 51	Singen		Spirale
341	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 73	Singen		Dolch, kl., 5 Niete
342	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 73	Singen		Armspirale
343	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 63	Singen		Dolch, 4 Niete, eingez., halbrunde Griffplatte
344	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 63	Singen		Blechtutulus
345	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 74	Singen		Ringbruchstück
346	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 75	Singen		Dolch, kl., 3 Niete
347	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 69	Singen		Dolch, groß, 5 Niete, verz.
348	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 58	Singen		Scheibennadel, kl., Platte korrodiert
349	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 67	Singen		Dolch mit Heftzunge, 6 Niete, atlant. Dolch
350	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 67	Singen		Niet von atlant. Dolch
351	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 66	Singen		Scheibennadel, kl., eingerollte Kopfplatte
352	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 33	Singen		Dolch, 5 Niete, verz.
353	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	Singen		Pfriem mit Mittelschwellung
354	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	Singen		Dolch, kl., 3 Niete
355	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	Singen		Spirale
356	D	Singen a. Hohentwiel, Kr. Konstanz	Grab 65	Singen		Rudernadel, groß, verziert
357	D	Staudham	Depot	München, Stslg. H.V.2230		Zungenbarren
358	D	Staudham	Depot	München, Stslg. H.V.2230		Zungenbarren
359	D	Staudham	Depot	München, Stslg. H.V.2230		Zungenbarren
360	D	Staudham	Depot	München, Stslg. H.V.2230		Zungenbarren
361	D	Staudham	Depot	München, Stslg. H.V.2230		Zungenbarren
362	D	Steinfurth, Stadt Bad Nauheim, Wetteraukreis	Einzf.	Darmstadt 1950:115		Flachbeil, dünnackig, trapezf., Form Erpolzheim
363	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Ösenhalsring
364	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Ösenhalsring
365	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Ösenhalsring
366	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Rollennadel m. ellipt. Kopfplatte
367	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Rollennadel m. ellipt. Kopfplatte
368	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Rollennadel m. ellipt. Kopfplatte
369	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Rollennadel m. ellipt. Kopfplatte
370	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Rollennadel m. ellipt. Kopfplatte
371	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Schmuckscheibe
372	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Spiralring
373	D	Straubing, 'Alburger Hochweg'	Depot	Straubing 1229-1246		Spiralröhrchen
374	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
375	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
376	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
377	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
378	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
379	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
380	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
381	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
382	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
383	D	Straubing, 'Jungmeier'	Depot	Straubing 1799		Ösenringbarren
384	D	Straubing, 'Jungmeier'	Grab 2	Straubing 2101-2222		Schleifennadel mit ellipt. Kopfplatte
385	D	Straubing, 'Jungmeier'	Grab 8	Straubing 2101-2222		Rollennadel
386	D	Straubing, 'Jungmeier'	Grab 8	Straubing 2101-2222		Dolchklinge mit eingez. Griffplatte
387	D	Straubing, 'Jungmeier'	Grab 10	Straubing 2101-2222		Schleifennadel mit ellipt. Kopfplatte
388	D	Straubing, 'Jungmeier'	Grab 17	Straubing 2101-2222		Schleifennadel, cyprisch
389	D	Straubing, 'Jungmeier'	Grab 17	Straubing 2101-2222		Armstulpe
390	D	Straubing, 'Jungmeier'	Grab 19	Straubing 2101-2222		Ösenkopfnadel
391	D	Straubing, 'Jungmeier'	Grab 20	Straubing 2101-2222		Schleifennadel m. ellipt. Kopfplatte
392	D	Straubing, 'Jungmeier'	Grab 20	Straubing 2101-2222		Ösenhalsring
393	D	Straubing, 'Jungmeier'	Grab 20	Straubing 2101-2222		Spiraltutulus
394	D	Straubing, 'Jungmeier'	Grab 22	Straubing 2101-2222		Noppenring
395	D	Straubing, 'Jungmeier'	Grab 23	Straubing 2101-2222		Ösenhalsring
396	D	Straubing, 'Jungmeier'	Grab 27	Straubing 2101-2222		Scheibennadel, verz.
397	D	Straubing, 'Jungmeier'	Grab 28	Straubing 2101-2222		Dolch
398	D	Straubing, 'Jungmeier'	Grab 29	Straubing 2101-2222		Dolch
399	D	Straubing, 'Heerstr.'	Grab oder Dep.	Straubing		Kugelkopfnadel
400	D	Mariaposching, Kr. Straubing-Bogen	Depot	Straubing 1217		Spangenbarren
401	D	Mariaposching, Kr. Straubing-Bogen	Depot	Straubing 1217		Spangenbarren
402	D	Mariaposching, Kr. Straubing-Bogen	Depot	Straubing 1217		Spangenbarren
403	D	Straubing, 'Ortler'	Grab 1	Straubing 1181-1200		Zierscheibe
404	D	Straubing, 'Ortler'	Grab 1	Straubing 1181-1200		Blechröhrchen
405	D	Straubing, 'Ortler'	Grab 1	Straubing 1181-1200		Spiraltutulus
406	D	Straubing, 'Ortler'	Grab 1	Straubing 1181-1200		Noppenring
407	D	Straubing, 'Ortler'	Grab 1	Straubing 1181-1200		Spiralrolle
408	D	Straubing, 'Ortler'	Grab 1	Straubing 1181-1200		Scheibennadel m. ellipt. Kopfplatte
409	D	Straubing, 'Ortler'	Grab 2	Straubing 1181-1200		Ösenhalsring
410	D	Straubing, 'Ortler'	Grab 2	Straubing 1181-1200		Blechröhrchen
411	D	Straubing, 'Ortler'	Grab 6	Straubing 1181-1200		Ösenhalsring
412	D	Straubing, 'Ortler'	Grab 6	Straubing 1181-1200		Spiraltutulus
413	D	Straubing, 'Ortler'	Grab 6	Straubing 1181-1200		Blechröhrchen
414	D	Straubing, 'Ortler'	Grab 12	Straubing 1181-1200		Ösenhalsring, Fragment
415	D	Straubing, 'Ortler'	Grab 12	Straubing 1181-1200		Rollennadel m. ellipt. Kopfplatte
416	D	Straubing, 'Ortler'	Grab 12	Straubing 1181-1200		Noppenring
417	D	Straubing, 'Ortler'	Grab 12	Straubing 1181-1200		Zierscheibe
418	D	Straubing, 'Ortler'	Grab 12	Straubing 1181-1200		Blechtutulus
419	D	Straubing, 'Ortler'	Grab 13	Straubing 1181-1200		Ösenhalsring
420	D	Straubing, 'Ortler'	Grab 13	Straubing 1181-1200		Rollennadel
421	D	Straubing, 'Ortler'	Grab 13	Straubing 1181-1200		Rollennadel m. ellipt. Kopfplatte
422	D	Straubing, 'Ortler'	Grab 14	Straubing 1181-1200		Dolchklinge, klein, 2 Niete
423	D	Straubing, 'Ortler'	Grab 14	Straubing 1181-1200		Pfriem mit Mittelschwellung
424	D	Straubing, 'Ortler'	Grab 16	Straubing 1181-1200		Ösenhalsring mit umwickelten Enden
425	D	Straubing, 'Ortler'	Grab 16	Straubing 1181-1200		Bronzeröhrchen
426	D	Straubing, 'Ortler'	Grab 16	Straubing 1181-1200		Spiraltutulus
427	D	Straubing, 'Ortler'	Grab 17	Straubing 1181-1200		Armring mit Spitzenden
428	D	Straubing, 'Ortler'	Grab 17	Straubing 1181-1200		Ösenkopfnadel
429	D	Straubing, 'Ortler'	Grab 19	Straubing 1181-1200		Dolchklinge
430	D	Salching, Kr. Straubing-Bogen	Depot	Straubing 1222		Ösenringbarren
431	D	Salching, Kr. Straubing-Bogen	Depot	Straubing 1222		Ösenringbarren
432	D	Salching, Kr. Straubing-Bogen	Depot	Straubing 1222		Ösenringbarren
433	D	Salching, Kr. Straubing-Bogen	Depot	Straubing 1222		Ösenringbarren
434	D	Salching, Kr. Straubing-Bogen	Depot	Straubing 1222		Ösenringbarren
435	D	Schambach, Kr. Straubing	Grab	Straubing 1223-28		Ösenhalsring
436	D	Schambach, Kr. Straubing	Grab	Straubing 1223-28		Scheibenkopfnadel, verz.
437	D	Schambach, Kr. Straubing	Grab	Straubing 1223-28		Scheibennadel, verz.
438	D	Schambach, Kr. Straubing	Grab	Straubing 1223-28		Blechröhrchen
439	D	Unterwössen, Kr. Traunstein	Dep. II	München, Stslg. H.V. 36		Ösenringbarren
440	D	Vaihingen, Kr. Ludwigsburg	Depot	Stuttgart, WLM 2267a		Randleistenbeil, Typ Langquaid II, Var. D
441	D	Vaihingen, Kr. Ludwigsburg	Depot	Stuttgart, WLM 2267b		Randleistenbeil, Typ Langquaid, Var. D
442	D	Vaihingen, Kr. Ludwigsburg	Depot	Stuttgart, WLM 2267c		Randleistenbeil, Typ Langquaid, Var. D
443	D	Vaihingen, Kr. Ludwigsburg	Depot	Stuttgart, WLM 2267d		Randleistenbeil, Typ Langquaid, Var. D
444	D	Vaihingen, Kr. Ludwigsburg	Depot	Stuttgart, WLM 2267e		Randleistenbeil, Typ Langquaid, Var. D
445	D	Veringenstadt, Kr. Sigmaringen	Grab 2	Tübingen, LDA		Blechtutulus
446	D	Veringenstadt, Kr. Sigmaringen	HockerGrab in Steinpackung	Tübingen, LDA		Armspirale mit 4 Windungen
447	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
448	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
449	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
450	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
451	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
452	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
453	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
454	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
455	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
456	D	Waging, Kr. Traunstein	Dep. 1902	München, Stslg. 13/1		Spangenbarren
457	D	Waldhölzbach (Saarland)	?	Saarbrücken		Spangenbarren
458	D	Weiler Haid, Kr. Reutlingen	Grabhügelfund	Stuttgart, WLM A 1163		Dreiarmnadel mit durchbohrtem Hals
459	D	Weiler Haid, Kr. Reutlingen	Grabhügelfund	Stuttgart, WLM A 1163		Dreiarmnadel
460	D	Weillohe, Gem. Thalmassing, Kr. Regensburg	aus verschleiftem Grabhügel?	Regensburg A 730		Kugelkopfnadel, großer Kopf, Schaft gerieft
461	D	Weillohe, Gem. Thalmassing, Kr. Regensburg	aus verschleiftem Grabhügel?	Regensburg A 730		Kugelkopfnadel, kl. Kopf, Schaft leicht gewellt
462	D	Worms, 'Weinsheimer Zollhaus'	Grabfund?	Worms 28		Dolchklinge m. 2 Nieten u. eingez. Griffans.
463	D	Worms, 'Weinsheimer Zollhaus'	Grabfund?	Worms 557		Rollennadel mit säbelförmigem Schaft
464	D	Welbsleben, Kr. Hettst.b.Halle	Depot	Privbes.		Kopfstück
465	D	Welbsleben, Kr. Hettst.b.Halle	Depot	Privbes.		Schaft
466	D	Welbsleben, Kr. Hettst.b.Halle	Depot	Privbes.		Überfanggußmaterial Dolchstab (3 An.)
467	D	Welbsleben, Kr. Hettst.b.Halle	Depot	Privbes.		Knauf
468	D	Welbsleben, Kr. Hettst.b.Halle	Depot	Privbes.		Schaft
469	D	Welbsleben, Kr. Hettst.b.Halle	Depot	Privbes.		Klinge
470	D	Welbsleben, Kr. Hettst.b.Halle	Depot	Privbes.		Stabdolchklinge
471	D	Welschingen, Kr.Konstanz	Einzelf.?	Donaueschingen Do 608		Ösenkopfnadel
472	D	Westhofen, Kr. Worms	Grab 4	Worms 14a		Rollennadel mit trapezf. Kopfplatte
473	D	Westhofen, Kr. Worms	Grab 20	Worms 15c		Pfriem mit Mittelschwellung
474	D	Wiechs, Gem. Götting, Kr. Bad Aibling	Grab	München, Stslg. 1943, 3		Kugelkopfnadel
475	D	Wiechs, Gem. Götting, Kr. Bad Aibling	Grab	München, Stslg. 1943, 3		Kugelkopfnadel
476	D	Wiechs, Gem. Götting, Kr. Bad Aibling	Grab	München, Stslg. 1943, 3		Kegelförmige Spirale
477	D	Wiechs, Gem. Götting, Kr. Bad Aibling	Grab	München, Stslg. 1943, 3		Spiralröhrchen
478	D	Wiesloch, Rhein-Neckar-Kreis	aus Grab?	Heidelberg		Dolch mit 9 Nietlöchern
479	D	Zimmern unter Burg, Zollernalbkr.	Einzelfund	Rottweil 9		Doppelaxt Typ Zabitz
480	D	Zipfen im Odenwald	?	Darmstadt 1950:114		Flachbeil
481	F	Bouisset, Dolmen de, Dép.Herault	MegalithGrab	Tréviers, Slg.Arnal		Kupferperle, massiv
482	F	Fontvieille, Dép.Bouches-du-Rhone	Grotte de Bounias Steinkiste unt.Bodenn.	Arles	SKK	Griffzungendolch, sehr lang. m. Hohlkehlen
483	F	Boun Marcou, Dép.Aude	MegalithGrab m. 2 getr.Fundsch.	Narbonne		Schmuckscheibe, konkav, Innens. getreppt
484	F	Corbières, Dép. Aude	Einzf.	Narbonne		Flachbeil als Querbeil benutzt
485	F	Eygalières, Dép. Bouches-du-Rhone	Tombe A.Menier	Arles, Slg.Latour		Blech
486	F	Eygalières, Dép. Bouches-du-Rhone	Tombe A.Menier	Arles, Slg.Latour		0
490	F	Fontbouisse, Dép. Gard	Siedl.	Nîmes		Gußstück, kegelförmig
491	F	Fontbouisse, Dép. Gard	Siedl.	Nîmes		Pfriem, querschnitt quadratisch
492	F	Fontbouisse, Dép. Gard	Siedl.	Nîmes	SKK	Griffzungendolch, flach
493	F	Fontbouisse, Dép. Gard	Siedl.	Nîmes		Dolch, schmal, seitlich Kerben
494	F	Fournes II, Dép.Hérault	Allée couverte	Tréviers, Slg.Arnal		Pfriem mit rhombischer Mittelschwellung
495	F	La Source,Grotte de, Dép.B-du-Rhone	Steinkiste unter Bodenniveau	Arles		Kupferperle, doppeltkonisch
496	F	Lamalou, Dolmen de, Dép.Hérault	MegalithGrab	Tréviers, Slg.Arnal		Perle, doppeltkonisch
497	F	Lamalou, Dolmen de, Dép.Hérault	MegalithGrab	Tréviers, Slg.Arnal		Pfriem
498	F	Lamalou, Dolmen de, Dép.Hérault	MegalithGrab	Tréviers, Slg.Arnal		Perle, doppelkonisch
499	F	Lannion, Dép.Finistère	Grabhügel	Groningen, Arch.Biol.Inst. 1939/19		Flachbeil
500	F	Lannion, Dép.Finistère	Grabhügel	Groningen, Arch.Biol.Inst. 1939/16		Dolch mit Mittelrippe
501	F	Lannion, Dép.Finistère	Grabhügel	Groningen, Arch.Biol.Inst. 1939/17		Dolch ohne Griffzunge
502	F	Lannion, Dép.Finistère	Grabhügel	Groningen, Arch.Biol.Inst. 1939/12		Dolch m. rudimentärer Griffzunge verz.
503	F	Macassargues, Dép.Gard	Höhle	Nîmes		Kupferperle, geschweift, doppeltkonisch
504	F	Macassargues, Dép.Gard	Höhle	Nîmes		Pfriem
505	F	Macassargues, Dép.Gard	Höhle	Nîmes		Pfriem, sehr lang
507	F	Mailhac, Dép. Aude	aus der unteren Schicht.Höhle,2 getrennte Fundsch.	Mailhac, Slg.Taffanel		Pfriem m. Mittelschwellung
510	F	Montou, Dép.Pyrénées-Orientales	Natürliche Höhle mit verschiedenen Schichten	Perpignan-Corbières, Slg.P.Ponisch		Randleistenbeil
511	F	Montou, Dép.Pyrénées-Orientales	Natürliche Höhle mit verschiedenen Schichten	Perpignan-Corbières, Slg.P.Ponisch		Pfriem
515	F	Narbonne, Umgeb.	Einzf.	Narbonne		Flachbeil
516	F	Pâques, Grotte de, Dép.Gard	Natürliche Höhle mit mehreren Schichten	Nîmes		Dolch mit 4 Nieten, verziert
518	F	En Quissé, La Grotte d' Dép. Gard	Höhle m. Grab	Nîmes		Flachbeil als Querbeil benutzt
519	F	En Quissé, La Grotte d' Dép. Gard	Höhle m. Grab	Nîmes		Kupferperle, doppeltkonisch
520	F	En Quissé, La Grotte d' Dép. Gard	Höhle m. Grab	Nîmes		Kupferperle Doppeltkonisch
521	F	En Quissé, La Grotte d' Dép. Gard	Höhle m. Grab	Nîmes		Perle, dopp. kon., 2 anhäng. tropff. Perlen
522	F	Rascassols, Dolmen de, Dép.Gard	MegalithGrab	Nîmes		Blechstück, dolchförmig
523	F	Torte, Rivière, Dép. Hérault	MegalithGrab	Tréviers, Slg.Arnal		Kugelkopfnadel
524	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Pfriem
525	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Pfriem
526	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Perle doppeltkonisch, facettiert
527	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Perle, walzenförmig, m. Mittelschwellung
528	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Perle, doppeltkonisch, facettiert
529	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Perle, gestreckt doppk. und facettiert
530	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Flachbeil
531	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Scheibe, gegossen mit Mittelbohrung
532	F	Rouquette, Grotte de la, Dép. Gard	Höhle	Nîmes		Perle, tropfenförmig
533	F	St-Gervais-les-Bagnols, Dép.Gard	MegalithGrab	Nîmes		Kugelkopfnadel
534	F	St-Gervais-les-Bagnols, Dép.Gard	MegalithGrab	Nîmes		Pfriem mit Mittelschwellung
535	F	St-Gervais-les-Bagnols, Dép.Gard	MegalithGrab	Nîmes		Pfriem mit Mittelschwellung
536	F	St-Hippolyte-du-Fort, Dép.Gard	Höhle?	Nîmes		Perle, plump, doppeltkonisch
537	F	St-Hippolyte-du-Fort, Dép.Gard	Höhle?	Nîmes		Perle, doppeltkonisch
538	F	St-Nicolas, Dép.Gard	Höhle	Nîmes		Perle, diskusförmig
539	F	La Cadière, Dép. Gard	Vesson, Abris sous Roche	Nîmes		Gußstücke, Form unbestimmt, Metallstück
540	F	Vesson, Dép.Gard	Abri sous Roche	Nîmes		Pfriem
541	F	Vesson, Dép.Gard	Abri sous Roche	Nîmes		Spiralring
542	F	Villemagne, Dép. Aude	Einzelfund	Narbonne		Flachbeil
543	GR	Robine Atike	Einzf.	?		Armreif
