1000078;2203
100017706;2158
100017708;2158
100017710;2158
100017712;2158
100017714;2158
100017716;2158
100017718;2158
100017720;2158
100017722;2158
100017724;2158
100017726;2158
100017728;2158
100017730;2158
100017732;2158
100017734;2158
100017736;2158
100017738;2158
100017740;2158
100017742;2158
100017744;2158
100017748;2158
100017750;2158
100017752;2158
100017754;2158
100017760;2158
100017762;2158
100017764;2158
100017766;2158
100017768;2158
100017770;2158
100017772;2158
100017774;2158
100017776;2158
100017778;2158
100017780;2158
100017782;2158
100017784;2158
100017786;2158
100017788;2158
100017790;2158
100017792;2158
100017794;2158
100017796;2158
100017798;2158
100017800;2158
100017802;2158
100017804;2158
100017806;2158
100017808;2158
100017810;2158
100017812;2158
100017814;2158
100017816;2158
100017818;2158
100017820;2158
100017822;2158
100017824;2158
100017826;2158
100017828;2158
100017830;2158
100017832;2158
100017834;2158
100017836;2158
100017838;2158
1000377;3868
1000379;3872
1000745;1302
1000746;1302
1000747;1302
1000864;2313
1001959;7681
1001963;6696
1002662;272
1002663;272
1002664;272
1002739;2834
1002741;2833
1002782;3119
1002999;2703
10038656;3105
10038657;3105
10039549;3621
1004267;6358
1004335;7054
10043358;6196
10045125;6007
10046186;4983
10047086;54206
10047090;23676
10047102;51187
10047104;51188
10047116;55969
10047124;55974
10047134;56899
10047136;56900
10047138;56901
10047140;56902
10047144;57167
10047217;3105
10048399;479
1006777;2643
1008085;2150
100814339;57639
100815815;79689
100815975;51496
100816140;80067
100816392;8939
100816397;23522
100816407;79738
1008462;1548
10086250;2556
1008838;3294
1008852;37
1009094;1277
100913021;83596
100913026;27297
100913030;1836
100913034;222962
100913192;51422
100913194;261729
100913204;1663
100913206;1660
100913209;3299
100913218;114908
100913220;1307
10092158;3107
10092597;57192
10092601;8672
10092617;54039
10092619;4792
10092621;5008
10092625;50616
10092629;57168
10092633;27334
10092639;51232
10092643;54432
10092647;54675
10092657;55967
10092659;56006
10092665;56241
10092667;56256
10092669;56656
10092677;57026
10092683;57149
10092687;57185
10092689;57226
10092691;27134
10119776;6667
10120300;3123
10120302;56302
10121905;6891
10129685;26610
10129688;3106
10140847;3199
10140853;1622
10141013;774
10141014;774
10141015;774
10141017;774
10141018;774
10141019;774
10141021;774
1015964;923
1015968;923
1016641;3115
1016643;3115
1016645;3115
1017423;142
1017460;1301
1017736;6340
10178307;4605
10178308;149699
10178317;79004
10178318;10121
1017839;3127
10178617;51297
10178895;1869
10178961;8514
10179588;5141
10179589;5141
10179591;58473
10179599;4720
10179600;4720
10179610;30835
10179880;51778
10179932;6768
10179946;56339
10179950;132
10179974;4276
10181096;112
10181098;1103
10181234;774
10181235;774
10181236;774
10181237;774
10184772;30848
10184774;30848
10184776;30848
10185083;54994
10185686;23179
10185687;23179
10185786;1378
10185788;1378
10187697;4109
10187704;4109
10190658;55539
10190664;57045
10190668;57191
10190670;9573
10190672;27006
10190674;8074
10190680;56676
10190682;57332
10190686;57335
10190688;57336
10190696;57343
10190698;57369
10190700;57379
10190702;57380
10190704;26063
10190706;57396
10190712;57402
10190714;57403
10190716;57405
10190720;57407
10190722;57408
10190736;57415
10190742;57663
10190744;57664
10190746;57665
10190748;57758
10190816;10385
1019167;925
1019168;925
101943240;2975
101943785;8732
10197492;1388
10197494;1388
10198610;8339
10198611;8351
10198613;8367
10198614;8968
10198615;8339
10198616;8361
10198617;8339
10198618;8355
10198638;8362
10198639;8363
10198656;269
1020089;5743
1020319;6535
1020320;10134
1020326;1289
102230348;5447
102230369;7051
1022904;5082
10241462;51282
10241504;51497
10241506;1522
10241508;514
10241509;51012
10241524;191
10241525;191
10241694;9001
10242106;9915
102467235;3619
102467484;55627
102468717;9969
102469034;3716
102469037;3727
102469694;3965
102470001;126248
10257392;8666
10257409;6556
10257410;58190
10257411;6556
10257429;56269
102621879;3105
10279682;22888
10279683;22888
10279684;9762
10279687;25980
10279692;51213
10279702;598
10279705;85366
10279722;1607
10279725;1607
10280090;79258
10280534;7031
10280535;7032
10280536;7033
10280538;4731
10280540;10785
10280560;5019
10280620;57447
10280622;280
10280624;366
10281590;22943
10281669;23601
10303168;89796
10304408;5015
10304423;3105
10304435;3105
10304987;8708
10305190;1943
103064784;3105
10312085;5818
10312086;5818
1033028;3350
1033079;3123
1033185;3123
10334445;63904
10334450;6387
10334451;6387
10334459;5020
10334460;551
10334640;8325
