ncbi-gi:1017460	hsa:1301
ncbi-gi:1017736	hsa:6340
ncbi-gi:10178307	hsa:4605
ncbi-gi:10178308	hsa:149699
ncbi-gi:10178317	hsa:79004
ncbi-gi:10178318	hsa:10121
ncbi-gi:1017839	hsa:3127
ncbi-gi:10178617	hsa:51297
ncbi-gi:10178895	hsa:1869
ncbi-gi:10178961	hsa:8514
ncbi-gi:10179588	hsa:5141
ncbi-gi:10179589	hsa:5141
ncbi-gi:10179591	hsa:58473
ncbi-gi:10179599	hsa:4720
ncbi-gi:10179600	hsa:4720
ncbi-gi:10179610	hsa:30835
ncbi-gi:10179880	hsa:51778
ncbi-gi:10179932	hsa:6768
ncbi-gi:10179946	hsa:56339
ncbi-gi:10179950	hsa:132
ncbi-gi:10179974	hsa:4276
ncbi-gi:10181096	hsa:112
ncbi-gi:10181098	hsa:1103
ncbi-gi:10181234	hsa:774
ncbi-gi:10181235	hsa:774
ncbi-gi:10181236	hsa:774
ncbi-gi:10181237	hsa:774
ncbi-gi:10184772	hsa:30848
ncbi-gi:10184774	hsa:30848
ncbi-gi:10184776	hsa:30848
ncbi-gi:10185083	hsa:54994
ncbi-gi:10185686	hsa:23179
ncbi-gi:10185687	hsa:23179
ncbi-gi:10185786	hsa:1378
ncbi-gi:10185788	hsa:1378
ncbi-gi:10187697	hsa:4109
ncbi-gi:10187704	hsa:4109
ncbi-gi:10190658	hsa:55539
ncbi-gi:10190664	hsa:57045
ncbi-gi:10190668	hsa:57191
ncbi-gi:10190670	hsa:9573
ncbi-gi:10190672	hsa:27006
ncbi-gi:10190674	hsa:8074
ncbi-gi:10190680	hsa:56676
ncbi-gi:10190682	hsa:57332
ncbi-gi:10190686	hsa:57335
ncbi-gi:10190688	hsa:57336
ncbi-gi:10190696	hsa:57343
ncbi-gi:10190698	hsa:57369
ncbi-gi:10190700	hsa:57379
ncbi-gi:10190702	hsa:57380
ncbi-gi:10190704	hsa:26063
ncbi-gi:10190706	hsa:57396
ncbi-gi:10190712	hsa:57402
ncbi-gi:10190714	hsa:57403
ncbi-gi:10190716	hsa:57405
ncbi-gi:10190720	hsa:57407
ncbi-gi:10190722	hsa:57408
ncbi-gi:10190736	hsa:57415
ncbi-gi:10190742	hsa:57663
ncbi-gi:10190744	hsa:57664
ncbi-gi:10190746	hsa:57665
ncbi-gi:10190748	hsa:57758
ncbi-gi:10190816	hsa:10385
ncbi-gi:1019167	hsa:925
ncbi-gi:1019168	hsa:925
ncbi-gi:101943240	hsa:2975
ncbi-gi:101943785	hsa:8732
ncbi-gi:10197492	hsa:1388
ncbi-gi:10197494	hsa:1388
ncbi-gi:10198610	hsa:8339
ncbi-gi:10198611	hsa:8351
ncbi-gi:10198613	hsa:8367
ncbi-gi:10198614	hsa:8968
ncbi-gi:10198615	hsa:8339
ncbi-gi:10198616	hsa:8361
ncbi-gi:10198617	hsa:8339
ncbi-gi:10198618	hsa:8355
ncbi-gi:10198638	hsa:8362
ncbi-gi:10198639	hsa:8363
ncbi-gi:10198656	hsa:269
ncbi-gi:1020089	hsa:5743
ncbi-gi:1020319	hsa:6535
ncbi-gi:1020320	hsa:10134
ncbi-gi:1020326	hsa:1289
ncbi-gi:102230348	hsa:5447
ncbi-gi:102230369	hsa:7051
ncbi-gi:1022904	hsa:5082
ncbi-gi:10241462	hsa:51282
ncbi-gi:10241504	hsa:51497
ncbi-gi:10241506	hsa:1522
ncbi-gi:10241508	hsa:514
ncbi-gi:10241509	hsa:51012
ncbi-gi:10241524	hsa:191
ncbi-gi:10241525	hsa:191
ncbi-gi:10241694	hsa:9001
ncbi-gi:10242106	hsa:9915
ncbi-gi:102467235	hsa:3619
ncbi-gi:102467484	hsa:55627
ncbi-gi:102468717	hsa:9969
ncbi-gi:102469034	hsa:3716
ncbi-gi:102469037	hsa:3727
ncbi-gi:102469694	hsa:3965
ncbi-gi:102470001	hsa:126248
ncbi-gi:10257392	hsa:8666
ncbi-gi:10257409	hsa:6556
ncbi-gi:10257410	hsa:58190
ncbi-gi:10257411	hsa:6556
ncbi-gi:10257429	hsa:56269
ncbi-gi:102621879	hsa:3105
ncbi-gi:10279682	hsa:22888
ncbi-gi:10279683	hsa:22888
ncbi-gi:10279684	hsa:9762
ncbi-gi:10279687	hsa:25980
ncbi-gi:10279692	hsa:51213
ncbi-gi:10279702	hsa:598
ncbi-gi:10279705	hsa:85366
ncbi-gi:10279722	hsa:1607
ncbi-gi:10279725	hsa:1607
ncbi-gi:10280090	hsa:79258
ncbi-gi:10280534	hsa:7031
ncbi-gi:10280535	hsa:7032
ncbi-gi:10280536	hsa:7033
ncbi-gi:10280538	hsa:4731
ncbi-gi:10280540	hsa:10785
ncbi-gi:10280560	hsa:5019
ncbi-gi:10280620	hsa:57447
ncbi-gi:10280622	hsa:280
ncbi-gi:10280624	hsa:366
ncbi-gi:10281590	hsa:22943
ncbi-gi:10281669	hsa:23601
ncbi-gi:10303168	hsa:89796
ncbi-gi:10304408	hsa:5015
ncbi-gi:10304423	hsa:3105
ncbi-gi:10304435	hsa:3105
ncbi-gi:10304987	hsa:8708
ncbi-gi:10305190	hsa:1943
ncbi-gi:103064784	hsa:3105
ncbi-gi:10312085	hsa:5818
ncbi-gi:10312086	hsa:5818
ncbi-gi:1033028	hsa:3350
ncbi-gi:1033079	hsa:3123
ncbi-gi:1033185	hsa:3123
ncbi-gi:10334445	hsa:63904
ncbi-gi:10334450	hsa:6387
ncbi-gi:10334451	hsa:6387
ncbi-gi:10334459	hsa:5020
ncbi-gi:10334460	hsa:551
ncbi-gi:10334640	hsa:8325
ncbi-gi:10334699	hsa:3728
ncbi-gi:10334769	hsa:53841
ncbi-gi:10334770	hsa:53841
ncbi-gi:10334781	hsa:3105
ncbi-gi:10334829	hsa:29949
ncbi-gi:10334859	hsa:1159
ncbi-gi:10334861	hsa:1443
ncbi-gi:10334983	hsa:6007
ncbi-gi:10337581	hsa:3884
ncbi-gi:10337585	hsa:1670
ncbi-gi:10337595	hsa:5494
ncbi-gi:10337601	hsa:10214
ncbi-gi:10337603	hsa:10637
ncbi-gi:10337609	hsa:30848
ncbi-gi:10346129	hsa:55510
ncbi-gi:10346135	hsa:10982
ncbi-gi:103471987	hsa:51015
ncbi-gi:103471989	hsa:11133
ncbi-gi:103471991	hsa:150165
ncbi-gi:103471993	hsa:23390
ncbi-gi:103471995	hsa:153443
ncbi-gi:103471997	hsa:25885
ncbi-gi:103471999	hsa:6788
ncbi-gi:103472001	hsa:4701
ncbi-gi:103472003	hsa:4303
ncbi-gi:103472005	hsa:4288
ncbi-gi:103472007	hsa:56245
ncbi-gi:103472011	hsa:55293
ncbi-gi:103472027	hsa:2324
ncbi-gi:103472031	hsa:83850
ncbi-gi:103472122	hsa:23426
ncbi-gi:103472131	hsa:153328
ncbi-gi:103472136	hsa:9737
ncbi-gi:103485137	hsa:503618
ncbi-gi:103485139	hsa:140596
ncbi-gi:103485141	hsa:504180
ncbi-gi:103485143	hsa:503841
ncbi-gi:103485145	hsa:245910
ncbi-gi:103485147	hsa:503614
ncbi-gi:103485496	hsa:5119
ncbi-gi:103492027	hsa:80305
ncbi-gi:1036732	hsa:3688
ncbi-gi:1036733	hsa:3688
ncbi-gi:1036734	hsa:3688
ncbi-gi:1036735	hsa:3688
ncbi-gi:1040873	hsa:196
ncbi-gi:1040978	hsa:6038
ncbi-gi:1041193	hsa:1376
ncbi-gi:1041698	hsa:6770
ncbi-gi:1041733	hsa:1050
ncbi-gi:1041813	hsa:3586
ncbi-gi:104294874	hsa:128209
ncbi-gi:104294877	hsa:7772
ncbi-gi:10432369	hsa:6506
ncbi-gi:10432370	hsa:960
