qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
1	Harvard University	5	100.00	100	99.5	99.5	92.9	91.2	95.9	100	58.3	100	92.6	100
2	University of Cambridge	5	97.60	100	100	99.4	98	91.4	83	92.3	75.6	93.3	92.9	81.1
2	University of Oxford	5	97.60	100	99.9	99.5	97	96	82	94.4	60.2	87.1	86.7	81.6
2	Yale University	5	97.60	100	98.2	100	84.1	74.8	90.6	84.3	41.7	73.8	72.4	82.8
5	Imperial College London	5	97.50	99.3	98.9	99.9	98.3	99.7	81.5	23.8	72.1	75.6	70.2	34.5
6	Princeton University	5	97.20	100	93.8	94.9	82.9	74.6	96.5	80.1	59.2	53.7	90.2	78.9
7	California Institute of Technology (Caltech)	5	96.50	99.5	55	100	99.5	91.2	100	25.6	80	57.9	87.4	35
7	University of Chicago	6	96.50	99.8	97.5	99.6	71.1	89.9	86	77.6	28.9	49.7	72	79.6
9	UCL (University College London)	5	95.30	95.6	97.5	99.8	90.6	97.5	81.5	53.9	30.6	54.8	36.6	46.4
10	Massachusetts Institute of Technology (MIT)	5	94.60	100	98.9	85.1	33.5	93.6	98.4	54.4	100	73.5	97.6	75.8
11	Columbia University	5	94.50	99.9	96.4	93.9	34.5	89.3	91.4	83.3	38.1	55.1	62.3	76.5
12	McGill University	6	93.90	99.9	97.1	99.2	73.1	96.3	71.5	71.3	52.8	70.8	53.6	72.1
13	Duke University	5	93.40	97.6	97.3	99.8	16.1	74.4	92.4	58.6	28.9	60	40.3	53.9
14	University of Pennsylvania	5	93.30	96.7	96	88	82.7	65.4	91.7	41.7	34.1	51.1	47.2	57.7
15	Johns Hopkins University	5	92.90	99.3	76.7	97.7	34.6	69.1	95.8	57.6	39	86.7	46.9	44.1
16	Australian National University	6	91.60	99.8	90.6	99.7	67.5	91.2	65.6	75.9	46.4	54.4	62.7	66.2
17	The University of Tokyo	5	91.10	99.8	92.3	96.2	25	44	88.5	54.7	65.1	65.2	70.6	54.2
18	University of Hong Kong	6	90.70	94.8	89.9	85.3	99.9	89.3	78.6	44.9	36	50.4	38.2	47.2
19	Stanford University	6	90.60	100	98.9	66	24.8	93.8	99.9	74.7	84.7	82	86.9	82.2
20	Cornell University	5	90.00	99.9	97.7	74.4	35.7	68.7	93.2	64.4	56.7	62.8	77.4	61.8
20	Carnegie Mellon University	5	90.00	95.9	94.4	75.8	66.5	96.3	86.5	33.1	71	30.6	41.5	48.9
22	University of California, Berkeley (UCB)	6	89.70	100	98.3	58.8	73.4	88.3	92.4	96.5	94.5	85.4	100	93.9
23	University of Edinburgh	5	88.80	95.6	98	81.8	71	80.1	76.4	53.5	38.4	53.2	37.8	39.6
24	King's College London (KCL)	6	88.20	90.3	94.9	91.1	92.7	83.9	69.8	49.3	24.2	52	31.8	36.4
25	Kyoto University	6	87.20	98.7	89.2	83	29.3	23.9	89.9	50.5	50.7	54.5	65.8	37.8
26	Ecole normale supérieure, Paris	5	87.10	90.7	60	82.7	60.9	81.2	98.3	50.9	29.4	26.4	62.6	25.8
27	The University of Melbourne	5	85.90	99.6	98.5	63.8	64.3	95.1	70	63.9	54.1	61.1	49.5	61.8
28	Ecole Polytechnique	5	85.10	76.1	94	100	70.3	94.3	78	13	48.5	21.3	51.3	17.6
29	Northwestern University	5	85.00	87.9	96.8	77.2	34.6	68.2	90.6	30.6	36.5	34.4	34.4	48.6
30	The University of Manchester	5	84.70	88.5	99	76.8	84.2	84.8	70.4	39.6	43.9	36.7	30.9	35.4
31	The University of Sydney	5	84.60	98.8	95.2	51.1	99.5	94.7	70.7	66.6	44.5	57.7	42.9	50.7
32	Brown University	5	84.50	90.5	77.1	74	75.3	57.6	88.5	51.7	31.3	37.5	38.1	35.8
33	National University of Singapore (NUS)	5	84.30	99.8	92.8	33.8	99.8	99.5	84.4	57.6	63.8	66.3	55.8	59.5
33	University of British Columbia	5	84.30	99.7	91.5	70.2	35	63.4	74.1	67.2	50.5	59.5	51.7	70.8
33	The University of Queensland	5	84.30	95.3	93.9	70	79.3	76.2	67.8	44	38	53.1	40.3	45.2
36	Peking University	5	84.20	99.7	97.6	97.5	32.1	26.2	53.3	61.2	48.2	61	67.5	56.3
37	University of Bristol	4	84.10	81.2	98.2	84.8	87.9	71.7	77.2	35	27.7	41.6	32.2	27.7
38	The Chinese University of Hong Kong	5	83.80	83.4	78.9	79.6	99.8	84.8	79.8	31.3	32.6	36.8	30.1	39.4
38	The Chinese University of Hong Kong	4	83.80	31.3	32.6	36.8	30.1	39.4	83.4	78.9	79.8	79.6	99.8	84.8
38	University of Michigan	5	83.80	99.4	95.5	53	40.8	52.2	88.9	60.3	50.4	51.6	56	60.4
40	Tsinghua University	5	83.30	95.3	92	100	20.2	35.9	58.5	34.1	58.2	39.2	48	41.1
41	University of California, Los Angeles (UCLA)	4	82.80	99.9	92.1	55.9	20.4	35.6	90.8	68.4	57.4	63.4	67.6	67.8
42	ETH Zurich (Swiss Federal Institute of Technology)	4	82.50	92.2	75.5	61.3	99.9	92	73.7	17.3	59.6	38.1	63	24
43	Monash University	5	82.10	97.6	97.2	52.6	99.1	99.2	57.3	52.1	42.8	57.8	36.9	51.8
44	The University of New South Wales	5	81.80	96.5	97.5	39.4	88.6	91.5	75.7	49.6	52.5	40.3	39.9	47.7
45	University of Toronto	4	80.60	100	95.7	21.1	86.3	50.2	93.1	79.5	60.4	63.9	66.5	71.8
46	Osaka University	4	80.00	82.9	75.3	86.3	17.4	29.1	91.4	23.1	36	48.8	40	20.9
47	Boston University	4	79.70	90.7	88.7	48.8	28.5	87.8	87.8	40.9	29.9	42.9	36.7	44.8
48	University of Amsterdam	5	78.60	83.6	80.8	81.3	76.3	31.7	70	47.2	21.3	33.2	29.8	39.4
49	New York University (NYU)	3	77.80	95.4	92.9	47.8	29.4	48.5	77.5	56.7	19.8	42.5	43.4	58.3
50	The University of Auckland	2	77.50	94.9	83.2	37.8	100	99.3	61.4	51	39.5	45.9	36	45
51	University of Texas at Austin	4	77.10	94.9	93.6	22.3	66.1	46.8	91.9	46.3	50.5	31.6	56.2	32.6
51	Seoul National University	2	77.10	91.5	53.8	79.9	16.2	24.4	78.9	34.1	38.4	42.7	45.8	37.8
53	Trinity College Dublin	2	76.90	79.7	91.6	70.1	98.9	76.9	58.3	48.6	19.2	32.4	30.5	29.8
53	The Hong Kong University of Science and Technology	2	76.90	83.9	81.6	28.5	100	95.5	92	7.8	53.6	33.2	40.6	36.6
55	University of Washington	4	76.70	83.8	50.1	73.2	44.3	32.5	91.6	27.9	33.7	43.7	40.2	25.9
55	University of Wisconsin-Madison	4	76.70	93.7	81	30.6	49.5	43.9	94.8	38.7	38.4	42.8	45.4	44.5
57	The University of Warwick	3	76.40	80	97.9	62.4	89.1	96.4	57.7	38.4	21.6	22.4	36.4	42.3
58	University of California, San Diego (UCSD)		76.30	97.9	39	50.6	23.1	30.1	95.4	32.9	47	66.9	53.3	45.7
59	London School of Economics and Political Science (LSE)		75.70	88.7	99.8	65.4	99.9	100	29.3	54	16.4	17.7	15.9	83.4
60	Ruprecht-Karls-Universität Heidelberg		75.50	84.2	62.6	60.5	41.7	87.4	78.3	39.4	14.3	43.1	42.2	33.7
61	Katholieke Universiteit Leuven		75.00	88.2	83.5	39.2	51.1	55.1	84.4	45.7	35.8	29.6	36.3	38.2
