qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
62	The University of Adelaide		74.70	74.6	86	66.1	77.3	96.1	65.1	27.5	24.5	30.5	34.4	31.6
63	Delft University of Technology		74.40	75	80.5	65.7	83.4	67.5	72	22.1	57.7	15.6	35.3	18.6
64	The University of Western Australia		74.30	71.7	87.8	55.6	96.2	77.8	78.5	29.5	25.7	33.7	28.5	24.7
65	Ludwig-Maximilians-Universität München		74.10	80.3	60	69.7	57.6	71.4	71.5	40.4	21.9	29.1	38.1	32.4
65	University of Birmingham		74.10	71.1	93.1	62.4	84.1	69.9	74.6	23	32.9	31.5	24.8	28.7
67	Technische Universität München		73.90	67.5	70.9	88.5	59.4	83.1	68.6	14.3	44.7	23.4	37.7	13.6
68	The University of Sheffield		73.70	68.6	96.1	71.1	80.8	66.8	68.9	31.2	27.4	27	24.4	25.9
69	Nanyang Technological University (NTU)		73.60	81.4	81.6	36.7	99.7	99.4	71.7	17.6	53.1	30.4	32	31.8
70	The University of Nottingham		73.20	69.4	97.6	64.1	84.3	88.2	64.7	25	28.6	30.4	25.3	28.2
71	Uppsala University		73.00	84.5	34.1	81	50.9	26	72.3	39.4	24.4	48.6	31.1	30
71	Dartmouth College		73.00	60	89.5	90.8	26.3	53.4	83.4	26.9	14.7	30.9	19.6	27.3
73	University of Illinois at Urbana-Champaign		72.60	94.2	63.5	28.7	34	50.6	86.3	34.4	57.3	31.6	52	37.9
74	University of York		72.40	62	91.5	77.5	76.3	82.7	68.8	38.6	17	25.3	19.9	22.3
74	Emory University		72.40	60.9	75.1	98.7	13.2	39.2	84.5	33.3	14.5	40.1	18	15.3
76	University of St Andrews		72.30	56.6	95.3	77.5	90.9	98.5	69.3	40	14.7	20.9	18.6	19
77	University of Pittsburgh		72.20	62.1	45	93.8	77.8	37.7	85.1	35.8	21.1	27.1	15.7	23.7
77	Purdue University		72.20	86.9	79.3	24.4	76.1	64.4	82	21.3	53.3	38.1	41.3	26.9
79	University of Maryland, College Park		72.10	71.4	62.4	71.3	48.5	45.4	85.4	12.6	35.1	26.6	39.7	27.6
80	University of Leeds		72.00	73.6	96.7	55.5	76	59.1	69	37.1	26.6	27.2	28.2	27.1
80	University of Southampton		72.00	60.4	89.7	71.4	87.7	73.7	76.3	25.8	30.4	21.2	25.5	17.2
82	Vanderbilt University		71.90	54.6	81.5	99.4	28.2	41.3	86.6	16.1	12.5	35.9	21	24.2
83	University of Glasgow		71.80	70.5	83.7	71.4	42.1	53.9	74.5	25	25.7	37.3	27.6	24.2
84	Leiden University		71.70	81.3	63.3	35.5	78.2	40.2	93.1	47.3	15.2	34.8	31.7	35.6
85	Fudan University		71.60	87.5	96.3	44.9	30.7	31.4	68.1	43.2	28.3	39	35.8	36.7
85	Case Western Reserve University		71.60	59.1	49.7	98.7	18.1	79.9	85.4	15	25.4	37	23.2	17.3
85	University of Vienna		71.60	86.1	79.8	12	62.6	88.9	89.7	41	23.1	38.2	36.3	39.8
88	Queen's University		71.20	74	88	48.8	87.3	34	78.8	35.2	20.5	27.1	22.9	41.4
89	Utrecht University		70.90	80.5	55.4	64.7	37.5	23.5	79.7	37.1	21	33.2	42.1	29
90	Pennsylvania State University		70.50	84	81.7	63	17.6	24.2	64.1	31.8	34.5	24.4	42.4	38.9
90	Tokyo Institute of Technology		70.50	67.1	86.4	59	33.6	41.5	91.2	8	53.8	23.6	35.9	11.6
92	Rice University		70.30	65	45.2	79.9	39.1	57.8	88.3	22.5	29.4	26.8	30.9	19.3
93	University of Copenhagen		70.10	81.6	55.4	51	66.1	61.9	70.2	38.7	14	36.8	35.7	40.2
93	Université de Montréal		70.10	87.9	49.5	31.5	89.4	40.8	79.7	40.2	31.6	35.9	33.7	43.1
95	University of Rochester		69.30	58.1	38.1	99.9	23.7	62.8	83.6	21.4	16.9	24	23.1	30.6
96	University of California, Davis		69.10	83.3	34.2	59.5	30.9	25.9	81.8	27.9	31.8	49.7	35	25.7
97	Georgia Institute of Technology		68.80	79.3	76.9	25.2	17.8	74.3	92.7	16.9	68	15.8	41.7	17.1
97	University of Alberta		68.80	87.7	29.7	23.2	88.4	61.7	87.2	41.3	38.1	38.7	33.5	32.3
99	Cardiff University		68.60	61.5	84	70.1	71.7	75.1	64.9	26.3	19.7	34.4	17.3	24.6
100	University of Helsinki		68.20	79.3	45	27.6	56.4	78.5	92.6	38.2	21.1	31.9	33.8	34.4
101	University of Liverpool		68.10	54.9	85.1	69.9	82.6	64.2	75.7	23.5	20.4	26.1	23.3	17
102	Tohoku University		68.00	53	59.2	96.3	40	32.3	84	11.2	29.8	21.2	35.6	9
102	Georgetown University		68.00	56.6	94	68.8	28	72.9	79.8	34.9	7.4	17.5	14.6	38.8
102	National Taiwan University (NTU)		68.00	86	68	38.6	18.3	23.9	78.8	33.9	38.7	33.2	38	34.3
105	University of Geneva		67.20	61.5	54.2	39	99.5	99.5	91.3	33.2	15.4	25.2	22.3	26.2
106	Lund University		66.90	76	41.4	43.3	77	52.2	80.5	29.5	27.5	32.7	31.4	30.4
107	University of Colorado at Boulder		66.80	59.8	15.2	99.9	33.4	31.4	84.7	17.1	27.3	26.8	31.5	16.3
108	McMaster University		66.60	83.5	49.1	30.5	27.8	37.1	88.7	33.1	31.3	35.3	33.5	37.5
109	Durham University		66.50	58.6	97.8	48.8	92	60.6	73.8	30.8	15.9	19.7	24.2	26.3
110	University of Virginia		66.40	63.3	93.7	51.7	22.3	35.5	86.3	22.8	21.4	27.3	20.1	34
111	Maastricht University		66.20	43.1	72.5	79.9	67.8	99	81.3	14	9.8	21.3	8	36.1
112	Nagoya University		66.10	52.7	74.2	83.4	24.5	30.4	85.2	11.3	27.2	22.2	31.1	14.5
112	University of Waterloo		66.10	81.9	82	16.8	62.7	49	75	20.8	48.4	23.1	42.1	31.6
114	University of Basel		65.60	51.8	19.6	99.2	88.9	80.6	67.3	26	8.8	32.5	20.4	17
114	University of Otago		65.60	69.5	60.6	39.1	100	91.5	65.9	36.4	14.2	31.7	24	31.3
114	Aarhus University		65.60	65.4	18.8	89.3	59	36.7	69	29.4	18.2	25.9	31.8	24.2
117	Ecole Polytechnique Fédérale de Lausanne		65.50	58.3	58	96.7	100	99.9	29.4	8	41.6	19.1	34.2	13.4
117	University of California, Santa Barbara (UCSB)		65.50	88.1	31.5	24.7	42.6	21.1	89.1	25.2	38	36.2	58.2	27.7
119	University of Southern California		65.40	62.3	76.6	52.4	25	78.2	80.3	25.5	34.5	21	21	21.8
120	Ohio State University		65.30	68.7	77.2	39.5	67.3	37.9	78.9	12.6	30.5	23.9	36.4	32.7
122	Texas A&M University		64.90	76.3	74.8	27.3	41.2	39.4	81.3	16.9	44.5	32.2	36.1	22.6
123	Université Catholique de Louvain (UCL)		64.80	78.4	59.8	28	49.6	73.9	72.8	38.8	29.1	24.4	23.3	41.5
124	University of Ghent		64.50	63.1	28.6	88	46.6	30.5	69	29.9	24.8	24.3	26.7	19.5
125	Nanjing University		64.40	73.6	72.5	45.1	59.1	14.3	69.4	31.5	24.8	33.4	36.2	20.4
126	The University of Western Ontario		64.30	67.5	90.5	29.5	72.2	30.3	80.4	33	19	25.6	17.8	38.3
126	Humboldt-Universität zu Berlin		64.30	39.2	13.6	25	31.9	30.4	70.7	38.1	56.6	70.8	44.3	68
126	Humboldt-Universität zu Berlin		64.30	70.7	38.1	70.8	44.3	68	56.6	39.2	13.6	25	31.9	30.4
128	Hebrew University of Jerusalem		64.00	85.6	19.8	17.8	82.8	14.4	91.3	48	18.8	38.5	36.5	35.1
129	Newcastle University		63.90	44.5	87.3	73.8	79.8	80.4	67.3	19.9	18.1	23.6	14.4	15.7
130	Eindhoven University of Technology		63.80	47.6	47.7	98.8	60.3	47.9	68.5	13	36.9	15.6	20.4	11.4
130	Technical University of Denmark		63.80	46.7	23.5	86.2	91.3	59.2	84.4	13.2	38.1	15.2	21.3	7.8
132	KAIST - Korea Advanced Institute of Science & Technology		63.70	65	26.9	64.2	53.5	27.7	85.1	13.6	41.3	24.1	34.7	15.1
132	Université Pierre et Marie Curie (UPMC)		63.70	59.9	4.7	89.8	19.6	92.2	73.1	5.6	26.6	30.2	49.7	7.2
134	University of Arizona		63.10	69.2	56.8	36.7	27.5	45.1	88.2	35.5	26.3	19.3	30.7	25.2
135	University of Florida		63.00	61.6	40.8	76.9	27.4	32.5	74	23.3	26.2	23.2	29.7	20
136	Kyushu University		62.80	50.2	68	80.4	16.8	30.9	81.8	23.4	19.6	22.5	23.3	13
137	University of Aberdeen		62.70	44.8	64.5	77.6	91.4	72.6	67.3	16	15.7	28.2	16.8	15.6
137	Indiana University Bloomington		62.70	67.1	79.3	28.4	45.2	36.6	85.1	41.9	14.4	26.3	26.7	23.5
139	Simon Fraser University		62.60	71.6	72.3	21.8	96.9	62.1	66.6	29.6	26.1	25.1	23	38.2
140	University of Zurich		62.50	71.2	32	13.5	99.5	58.3	95.4	27.7	22.2	35.8	30	25.5
140	University of California, Irvine		62.50	78.5	30.2	38.2	27.5	30.2	82.4	38	28.9	35	28.9	26.7
142	Eberhard Karls Universität Tübingen		62.30	59.6	52	45.8	76.3	65.1	79.4	36.9	8.8	34.5	22.5	16.1
142	University of Minnesota		62.30	76.4	43.2	27.8	26.1	34.7	88.5	28.6	28.7	33.6	31	30.5
144	Universität Freiburg		62.20	57.2	23.2	93.1	24.5	76.1	61.2	33.6	13.1	27.1	23.4	17.2
145	University of Bath		62.00	45.6	96	48.7	91.4	91.5	71.2	15.1	19.1	21.9	18.5	19
146	Freie Universität Berlin		61.90	79.1	15.7	30.8	70.3	81.3	69.7	48.4	15	26.8	31.8	36.8
147	Lancaster University		61.70	49.4	79.9	65.4	88	81.3	56.7	24.9	13.6	18.8	13.5	29.7
148	Wageningen University		61.50	38.6	28.5	88.2	46.4	97.2	86.5	8	10.2	25.8	22	15
149	Queen Mary, University of London (QMUL)		61.20	55.2	65.4	81.3	94.1	92.4	29.9	25	18.3	24.3	19.6	23.5
149	City University of Hong Kong		61.20	62.3	50.9	37.3	99.8	51.5	75.6	20.8	31.8	17.1	23.7	30.3
151	Hokkaido University		61.10	48.9	68.6	76.1	19.4	20.9	81.9	13.6	20.2	27.9	23.9	13.9
151	University of North Carolina, Chapel Hill		61.10	72	86	28.3	22.5	19.9	74	22	22.4	35.3	30.9	32.3
151	Tel Aviv University		61.10	80.6	35.9	25.6	12.7	13.1	89.1	33	25.7	31.3	35.2	37.4
154	Université Libre de Bruxelles (ULB)		61.00	56.2	52	57.4	43	95.7	69.1	23.8	18	18.6	30.5	21.7
155	University of Science and Technology of China		60.90	75.4	76.7	27.6	15.9	10.9	75.6	15.7	40.8	32.5	44.6	16.6
155	University of Notre Dame		60.90	55.9	88.3	43.4	25.5	49.8	81	41	17	17.4	17.6	19
157	Ecole Normale Supérieure de Lyon		60.80	42.1	45	100	40.7	58	67.1	18.2	19	16.6	24.5	9
158	Cranfield University		60.70	30.6	74	100	74.2	100	56.5		23.3	14.4	8.5	19.3
159	Michigan State University		60.60	62.6	71.3	33.4	65	44.5	76	17.4	23.7	20.2	31.4	31.5
159	Tufts University		60.60	42.2	78.3	61.3	46.1	44	90.3	24.3	7.7	23.6	11.3	20.6
161	Washington University in St. Louis		59.90	71.6	62.4	99.8	27.4	48.5	0.9	26.1	19.5	51.5	20.4	24.5
161	Keio University		59.90	51.9	88.4	91.1	25.1	16.3	44.9	17.6	20.6	21.5	17.7	27.4
163	Erasmus University Rotterdam		59.70	51.2	96.6	27.7	64	45.3	87.6	25.1	9.5	27	7.3	34.8
163	Shanghai Jiao Tong University		59.70	71.8	91.6	37.5	34.7	11.5	54.9	21	38.6	31.5	27.5	23.8
165	Universität Stuttgart		59.40	47.1	81.2	71.2	51.9	89.9	50.2	11.8	35.5	14.6	25	9.4
166	University of Calgary		58.90	67.4	60.6	28.4	24	37.2	80.5	21.6	31.2	27.8	27.4	25.5
166	Vienna University of Technology		58.90	53.2	44.2	67.6	75	87.9	52.4	10.4	37.2	16	31.7	11.9
168	Georg-August-Universität Göttingen		58.80	66.3		73.4	41.5	54.3	58.8	28.5	17.6	30.1	38.3	16.8
168	Macquarie University		58.80	61.2	88.9	23.5	85.1	99.5	52.3	35.1	14.9	21.5	20.3	29.8
170	Aalto University		58.70	52	16.9	93.8	55.6	44.2	57.2	12.9	35.3	13.8	25.3	17.7
171	University of Dundee		58.30	44	50.7	65.1	83.9	66.1	70.5	13	14.8	33.8	15.8	13.4
171	KIT, Karlsruher Institut für Technologie		58.30	44.8	60	72.7	56	85.3	58.9	14.1	33.8	7	27.7	9.6
173	University of Groningen		58.20	47.7	50.9	68.7	61.9	29	73.8	25.6	11.5	19	18.6	22.7
173	University of Bologna		58.20	77.6	66	23.7	21	26.4	62.2	42.9	24	28.7	28.7	31
175	Universidade de São Paulo - USP		57.90	65.3	59.4	51.5	23.7	14.3	63.3	22.7	27.8	26	29.8	23.1
175	University of Massachusetts, Amherst		57.90	62	45.2	34.4	23.9	30.7	89.8	18.9	34.8	23.7	21.9	23.9
177	Rutgers, The State University of New Jersey, New Brunswick		57.80	71.6	32.9	30.2	60	23.7	73.2	39.3	22.5	20.7	29.9	29.5
177	Universidade Estadual de Campinas		57.80	52.2	29.7	77.6	42.6	15.6	72.7	13.9	27.3	15.9	29.7	18.6
177	University College Dublin		57.80	56	84.8	29.5	89.2	57.9	63.2	31.7	17.3	20.2	16.5	26.5
180	Waseda University		57.70	68.2	91.6	63.7	25.7	23	25.3	40.8	26.9	14.7	20.5	32.1
180	University of Reading		57.70	45.1	66.6	52.5	77.8	77.8	68.8	23.3	17.1	15.9	20.7	15.8
182	Rheinisch-Westfälische Technische Hochschule Aachen		57.50	40.4	80.2	79.5	53.3	80.9	48.3	9.9	33.6	6.3	27.3	7.2
183	Sapienza University of Rome		57.30	78.9	63.3	11.4	14.5	20.8	71.5	39.5	25.3	20.4	44.6	28.7
184	Université de Strasbourg		57.10	58.4	63.9	18.8	45.4	76.6	82.5	20.3	16.4	40.9	24.8	14.1
185	University of Twente		57.00	45.6	41.6	61	74.8	51.1	75.6	10.1	26.9	14.1	21.7	20.9
185	University of Leicester		57.00	36.8	60	60	76.6	85.8	75.8	17.1	6.7	18.8	15.3	19.6
187	University of Antwerp		56.90	40.6	6.6	98.9	57	59	67	24.5	13.4	12.9	15.1	18.7
188	University of Oslo		56.60	61.3	24.6	54.2	51.4	55.3	62.2	27.6	18.2	23.9	24	28.1
188	University of Canterbury		56.60	62	76.6	30.2	55	66.1	55.2	28.3	27.2	13.2	27.9	26.5
190	University of Surrey		56.40	33.1	79	60.5	94.5	91.8	64.2	16.2	21.8	10.3	14.2	8
191	Rensselaer Polytechnic Institute		56.20	44.2	43.6	44.4	69.6	58.2	89.6		40.6	12	25	13.6
192	KTH, Royal Institute of Technology		56.10	49.3	17	50.7	89.9	99.4	70.3	5.6	38.7	16	28	12
192	Universidad Nacional Autónoma de México (UNAM)		56.10	74.5	78.4	64	27.5	13.1	13.1	27.7	30.9	31.4	34.1	24
194	University of Barcelona		55.90	69.1	46.2	22	17.4	36.5	78	30	23.8	29.2	32.4	21.4
195	Radboud University Nijmegen		55.80	39.8	19.2	81.7	83.5	31	74.9	18.8	9.1	23.9	15.7	15.6
195	Queensland University of Technology		55.80	65.9	87	27.9	63.8	63.2	39.3	26.1	29.5	28.8	21.4	24.8
197	Kobe University		55.50	51	66.7	59.7	21.7	27.1	65.4	7.8	21.7	26.5	22.5	24.8
197	Chalmers University of Technology		55.50	51.4	23.5	41.5	74.2	59.5	83.5	8.8	34.9	13.2	33.6	13.4
199	University of Wollongong		55.30	44.7	89	30.5	99.3	99.4	57.5	17.3	21.6	18.6	15.1	19.5
200	RMIT University		54.80	63.5	88.3	22.5	73.7	99.9	32.4	28.1	28.9	24.6	16.4	27.9
200	University of Cape Town		54.80	54.4	69	28.3	27.4	91.5	67.8	22	18	23.7	21.1	24.5
202	University of Miami		54.40	27.2	36.3	96	58.2	46.3	72.4	9.7	12.3	17.4	10.9	8.2
203	Wake Forest University		54.20	19.2	68.8	99.4	32.5	17.7	81.5	6.2	5	17.6	3.5	7.5
203	Technische Universität Berlin		54.20	60	46	49.9	45.1	83.9	41.1	18.4	34.4	23.7	31.5	11.4
205	Queen's University of Belfast		54.10	47.6	77.5	54.4	96.5	45.8	41.7	22.1	16.2	20.9	19.2	18.8
205	La Trobe University		54.10	59.3	68.4	24.8	94.6	83.5	43.6	38.3	12.7	18.4	21.9	26.9
207	University of Iowa		54.00	45.6	36.7	43.6	55.7	44.6	87.3	20.8	12.6	27	13.7	19.5
208	Brandeis University		53.90	61.6	25.1	24.8	23.6	57.2	83.9	35.8	10.3	30.5	26.5	19.4
209	University of Tsukuba		53.80	39.8	46.9	68.4	22	30.2	79.8	7.8	23.3	17	24.7	10.4
209	Zhejiang University		53.80	63.3	33.5	52	22.8	17.8	59	25.1	29.1	27.3	24.6	19.5
209	Universität Frankfurt am Main		53.80	54.2	39.4	39	29	60.2	74.7	29.5	14.7	18.2	23.2	23.3
212	Hiroshima University		53.70	44.5	45.6	67.8	17.2	21.1	74.7	13.8	18.6	16.9	24.4	17.9
213	University of Victoria		53.60	51.1	63.9	22.4	79.6	66.7	70.4	26.3	15	16.5	17.9	27.7
214	University of Bern		53.40	36.6	6.9	72.7	95.6	44.7	78	17.9	10.8	19.3	13.4	15.8
215	University of Newcastle		53.30	51.1	70.7	37.1	63.2	73.6	52.9	15.7	22.1	24.4	17.9	23.3
216	Universität Hamburg		53.20	52.8	39.2	52.9	32.2	61.9	59.5	20.1	19.1	22.6	25	19.7
217	University of Lausanne		53.10	41.3	29.2	43.3	90.6	80.1	77.6	13.8	14.7	17.2	16.5	23.7
218	Tulane University		52.90	28.2	79.8	56.5	84.3	41.3	75.5	13.6	8.4	12.7	10.7	15.2
219	University of Cincinnati		52.80	45.1	38.5	57.8	24.6	30.4	78.2	20	15.5	24.4	17.2	15.7
220	University of Exeter		52.70	37.4	90.2	43.3	81.6	64.3	59	22.3	10.7	13.9	14.8	17
221	Arizona State University		52.50	57.9	45.2	18.2	35.2	68.8	75.4	17.9	26.2	20.5	24.5	26.5
221	Dalhousie University		52.50	53.8	15.8	36	66.9	40.7	79.7	23.2	14.6	24.5	22.1	23.8
223	Chulalongkorn University		52.30	71	70.2	46	26.1	13.9	23.5	27.5	29.5	26.3	25.2	32.3
224	Stony Brook University		52.10	75.8	23.5	52.4	68.3	87	1.2	35.9	23.4	24.6	42.2	25.1
225	University of Bergen		51.60	47.2	19.9	40.6	83.6	55.6	74	25.9	11.9	20.4	15.6	22.7
225	Universität Innsbruck		51.60	47.4	15.8	21	69.2	99.1	87.8	18.5	14.2	20	25.7	18.5
227	Sciences Po Paris		51.50	37.3	63.5	99.4	85.7	100	1	15.8	7.9	17.4	12	25.4
227	University of Ottawa		51.50	55.5	29.7	40.6	66.8	31.6	62.1	21.7	23.8	16.3	20.3	29.2
229	Vrije Universiteit Brussel (VUB)		51.40	35.5	31.7	90	16.9	47.6	59.7	16.4	13.1	17.4	13.5	14.8
229	George Washington University		51.40	49.2	69.1	43	16.7	44.4	61.3	28	15.7	19.2	13.8	23.3
231	Lomonosov Moscow State University		51.30	76.2	66		13.1	24.2	57.2	21.4	30.3	27	53.3	20
231	Technion - Israel Institute of Technology		51.30	81.6	55.8	51.5	14.2	15.3	2.3	23.2	53.1	27.5	47.1	14.4
233	Pohang University of Science And Technology (POSTECH)		51.00	29.8	30	65	48.3	15.8	94.8		22.6	16.3	19.9	5
234	Victoria University of Wellington		50.90	55.4	76.6	29	99.8	71.1	29.5	38.2	14.3	7.3	18.2	33.1
235	Curtin University		50.70	51.1	76.4	22.2	100	100	36.3	20.2	20.3	16.9	21.9	24.2
236	Yonsei University		50.60	38.2	39.4	84	18.1	40.2	53.8	17.6	12.4	12	16.7	21.5
237	University of Turku		50.50	43.6	39	39.5	49.9	15.3	85.6	17	14.8	21.7	18.5	18.1
237	Loughborough University		50.50	32.4	90.7	50.9	74.8	78	49.1		21.7	17.1	10.4	19.9
239	Technische Universität Darmstadt		49.90	33.2	58.8	73.8	41.6	87.6	43.3	12.9	29.3	7.3	14.8	6.3
239	Saint-Petersburg State University		49.90	57.3	45	85.9	12.8	29.4	11.3	23.6	22.1	20.7	34.1	14.1
