qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
1	Massachusetts Institute of Technology (MIT)	6	100.00	100	100	99.9	86.4	96.5	99.3	46.27	100	60.89	95.06	64.62
2	University of Cambridge	5	99.78	100	100	98.3	98.2	96	97	95.21	66.51	82.75	98.5	72.97
3	Harvard University	5	99.15	100	100	98.6	90	78.4	100	100	46.14	100	100	100
4	UCL (University College London)	5	98.69	99.6	95.6	98.4	96.3	99.9	94	54.56	33.13	49.02	40.24	42.15
5	University of Oxford	5	98.57	100	100	100	98	95.8	89.4	97.66	52.7	78.11	89.84	76.47
6	Imperial College London	5	98.31	99.8	100	99.8	99.8	99.6	87.3	20.44	64.46	54.16	66.14	25.3
7	Yale University	5	97.48	100	100	100	92.7	63.9	93.3	79.63	25.13	59.88	55.8	65.42
8	University of Chicago	5	96.27	99.9	96	95.6	68.9	77.8	96.4	65.44	16.82	34.17	55.64	66.29
9	Princeton University	5	95.37	100	88.5	90.7	85.5	63.5	99.8	73.08	41.75	34.96	75.68	58.26
10	California Institute of Technology (Caltech)	5	95.05	99	51.3	100	96	91.1	100		65.79	32.84	75.81	14.92
11	Columbia University	5	94.68	99.9	100	97.2	16.2	84.9	96.3	69.07	27.5	45.62	47.87	60.97
12	University of Pennsylvania	5	94.50	98.5	96.2	99.6	55.7	66.8	92.4	45.73	25.32	37.38	32.04	50.59
13	ETH Zurich (Swiss Federal Institute of Technology)	5	92.84	99.3	94	67	100	98.7	97.2	18.71	59.93	38.4	67.17	22.44
14	Cornell University	5	92.08	99.7	96.4	73.9	74.3	67.4	98.8	47.92	40.59	44.36	51.56	39.64
15	Stanford University	6	91.68	100	100	72.4	41.9	83.5	100	74.26	80.2	68.4	82.46	76.11
16	Johns Hopkins University	5	91.18	94.6	60.2	100	56.8	74.7	99.1	27.47	19.66	64.28	26.47	22.3
17	University of Michigan	6	91.17	99.8	96.1	92	50.6	46.5	87.3	53.08	47.3	35.55	42.47	51.68
18	McGill University	5	90.43	98.5	95.1	89.6	86	91.3	69.1	44.25	32.48	38.82	38.91	36.36
19	University of Toronto	5	89.64	99.9	94.3	73.8	96.1	74.8	80.2	55.6	42.42	44.86	49.59	44.8
20	Duke University	6	89.50	95.1	81.9	99.7	16.4	44.5	96.9	41.02	17.55	40.74	26.68	36.6
21	University of Edinburgh	6	89.24	99.1	96.8	72.1	89.6	93.8	77.1	53.6	30.3	43.1	40.76	34
22	University of California, Berkeley (UCB)	6	88.12	100	100	47	86.1	78.8	97.9	85.4	79.29	61.73	93.56	75.11
23	University of Hong Kong	6	87.89	99.3	83.8	94.2	100	99.1	50.5	48.76	34.1	39.86	37.91	46.66
24	Australian National University	5	87.61	99.7	82.5	79.6	100	96.3	64.3	58.32	31.74	32.76	49.38	51.17
25	National University of Singapore (NUS)	5	87.24	100	99.4	81.4	100	98.2	51.1	59.44	57.41	56.41	56.01	61.52
26	King's College London (KCL)	5	87.12	92.6	83.8	89.1	93.8	90.6	68.9	41.98	15.99	41.6	23.17	28.63
27	Northwestern University	6	85.44	90.7	88.6	82.3	11.9	55.9	97.9	27.9	25.67	20.96	28.88	41.29
28	University of Bristol	5	85.36	91	96	74.8	85.8	75.6	77.3	30.5	23.23	29.3	35.97	26.72
29	Ecole Polytechnique Fédérale de Lausanne	5	85.08	79.1	75.8	95.1	100	100	79.9		43.07	19.39	35.6	10.72
30	The University of Tokyo	5	84.95	100	97.6	89.3	11.1	25.8	73.1	58.71	62.8	59.31	71.4	53.01
31	University of California, Los Angeles (UCLA)	5	84.62	100	96	62.3	1.6	34.4	99.5	69.39	48.88	58.58	59.42	57.33
32	The University of Manchester	5	84.16	98.5	100	63.2	85.2	91.4	62.2	39.92	37.68	35.35	39.54	38.77
