qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
33	The Hong Kong University of Science and Technology	5	83.48	92.5	79.7	83.9	100	98.9	54.7	15.94	41.74	23.63	34.34	35.66
34	Ecole normale supérieure, Paris	4	83.28	90.8	66.9	92.4	26.2	66.2	81.6	34.23	22.73	19.28	48.64	20.34
35	Kyoto University	5	83.27	99.8	81.1	92.6	15.5	21.9	70	46.62	44.05	43.38	55.9	37.04
36	The University of Melbourne	5	83.16	99.8	100	46.8	68.9	92.3	74.9	52.61	39.04	46.61	43.26	48.67
37	Seoul National University	5	82.19	98.8	83.4	90.7	47.8	61	49.6	39.59	38.91	34.33	44.67	38.77
38	University of Wisconsin-Madison	5	81.43	97.1	68.6	85.2	52.4	32.9	68	37.78	30.35	31.87	38.75	37.19
39	The University of Sydney	5	81.31	99.3	93.5	50.4	99.7	91.3	58.9	48.74	35.05	43.89	38.82	41.4
40	The Chinese University of Hong Kong	5	80.09	93.5	72.4	79.8	95.7	83.1	48.7	37.98	24.79	29.02	27.81	35.65
41	Ecole Polytechnique	5	79.55	73.3	95.9	100	72.4	92.6	57.9		36.14	11.53	37.58	12.65
42	Brown University	5	79.52	81.5	68.8	76.7	32	54.7	97.8	38.42	15.76	18.61	24.47	24.57
43	New York University (NYU)	4	78.94	97.7	85.3	92.7	23.2	55.7	40.2	56.39	15.85	29.46	30.38	49.24
44	Peking University	4	78.75	99.7	96.6	82.6	55.7	35	36.8	53.48	35.58	41.04	51.97	43.11
45	University of British Columbia	4	78.55	99.1	77.8	25.9	61.4	73.2	92.1	41.14	32.23	35.52	44.85	40.95
46	The University of Queensland	4	78.22	95.3	83.3	45.3	95.5	90.5	63.1	33.95	29.2	36.84	31.43	32.76
47	Nanyang Technological University (NTU)	3	77.69	90.4	84.5	85.3	100	97.9	26.7	27.93	41.31	18.37	26.19	29.93
48	Tsinghua University	4	77.51	98.8	97.6	86	50.6	26.3	32	32.71	54.84	30.97	45.37	32.2
49	Carnegie Mellon University	3	77.41	86	81	55.4	17.7	97.1	86.5	21.58	49.71	12.15	23.96	24.28
50	Osaka University	3	76.84	91.4	69.6	91.7	15.4	20.3	62.1	23.72	30.67	32.76	35.67	24.35
51	University of Copenhagen	4	76.66	83.5	71.5	99.8	71.8	41.3	48.6	32.37	9.1	29.64	28.12	26.79
52	The University of New South Wales	5	76.63	95	95.1	39.8	98.8	97.6	52.8	30.58	35.13	28.43	31.3	36.9
53	Technische Universität München	3	76.43	86.4	91	97.9	48.1	63	34.3		43.63	22.49	45.13	11.54
54	University of Glasgow	4	76.28	82.4	70.7	60.3	78.5	76.7	78.3	31.75	21.54	27.07	24.5	18.84
55	Ruprecht-Karls-Universität Heidelberg	4	75.50	93.3	42.8	86.5	52.6	65.2	49.7	41.98	12.13	35.16	41.05	23.95
56	University of Illinois at Urbana-Champaign	4	75.47	97.7	66.7	23.5	56.2	68.8	90	33.82	55.22	21.38	42.64	28.69
57	University of North Carolina, Chapel Hill	4	75.36	80.9	63.2	75.8	30.1	22.2	90.7	28.73	13.41	27.52	23.06	27.77
58	The University of Warwick	3	73.88	89.4	100	52.3	90.3	98	37.5	37.08	17.55	16.4	30.04	39.62
59	University of Washington	4	73.70	93.6	47.4	46.9	8.8	21	99.5	29.2	28.12	39.79	33.46	25.08
60	Ludwig-Maximilians-Universität München	3	72.85	97	71.9	33.6	35.7	50	75.6	45.05	16.51	34.34	47.6	31.51
61	Monash University	2	72.16	95.4	96.5	33.6	77	94.5	41.6	38.28	28.58	34.71	28.46	34.3
62	University of Amsterdam	2	72.09	89.8	74.6	43.4	54.4	28.8	75.7	39.21	13.95	25.64	29.04	34.21
63	KAIST - Korea Advanced Institute of Science & Technology	4	71.77	85.1	51.7	90	36.6	24.1	54	13.78	42.43	20.13	35.67	17.5
64	Boston University	2	71.66	72.5	77	73.2	29.4	63.2	74.8	26.9	12	25.29	19.71	21.92
65	Tokyo Institute of Technology	4	71.35	76.1	74.5	79.8	14.3	38	70.8		44.48	15.63	35.08	
66	The University of Sheffield	2	71.34	77.7	75.3	58.8	79.6	84.5	60.2	25.65	21.79	24.63	20.95	21.58
67	Trinity College Dublin	2	71.26	79.6	75	54.1	99.1	80.4	57	33.37	16.36	23.22	22.03	23.13
68	University of Texas at Austin	3	71.23	97.4	81	21.1	58.3	27.4	74.7	42.47	42.74	17.32	38.92	37.15
69	London School of Economics and Political Science (LSE)	2	71.12	88	100	58.6	100	100	17.4	39.15				75.15
70	University of California, San Diego (UCSD)		70.93	97.5	35.7	31.7	3	23.1	100	28.37	34.19	49.32	39.02	28.41
71	Lund University		70.87	84.7	82.2	41.9	33.3	53.7	76.6	29.09	21.99	24.24	29.2	24.18
72	The University of Nottingham		70.68	76.6	96.2	55.2	85.3	83.5	51.1	23.37	20.23	23.33	23.32	22.48
73	University of Southampton		70.66	73.3	69.8	60	88.2	81	65.9	22.73	28.81	17.17	23.19	15.19
74	University of Geneva		70.61	65.7	23.7	58.9	100	99.2	97.5	26.28	9.04	19.79	23.13	17.51
75	Leiden University		70.50	83.8	47.2	33.3	80.4	24.1	98.3	40.99	10.5	23.73	27.35	23.92
75	Tohoku University		70.50	76.4	66	96.8	22.3	25.3	54.4	17.5	29.08	16.05	35.72	13.96
77	University of Birmingham		70.26	77.3	80.5	50.1	82.6	70.6	64.5	28.71	19.27	22.52	20.06	23.26
78	University of Helsinki		70.07	80.9	43.2	86.2	46.2	14.2	62.1	32.63	13.97	25.25	25.08	23.63
79	The University of Western Australia		69.97	77.8	70.9	39.9	99.3	81.7	70.1	24.19	18.98	25.33	24.35	21.96
80	National Taiwan University (NTU)		69.92	97.3	70.3	38	19.4	15.1	69.7	38.82	35.93	34.83	37.8	30.24
81	Uppsala University		69.75	84.3	51.5	42.7	52.7	39.9	85	29.67	14.7	28.27	30.88	24.09
82	Katholieke Universiteit Leuven		69.72	88.5	70.1	22.7	71	43.5	81.7	33.45	27.22	26.67	25.3	25.58
83	The University of Auckland		69.29	92.8	78.2	27	91.1	91.8	45.5	33.48	27.19	30.49	27.88	33.33
84	Washington University in St. Louis		69.14	60.4	22	99.7	3.6	51.9	96.8	15.18	9.09	32.43	14.71	16.99
85	Utrecht University		68.65	81.4	48.4	45.8	56.1	18.9	88.2	31.65	12.76	24.38	29.19	23.55
86	Nagoya University		68.57	69.5	64.2	88	17.7	29	68.6	16.45	22.21	18.76	29.01	14.77
87	Freie Universität Berlin		68.56	91	44.6	29.4	43.7	56	80.7	47.05	11.56	24.54	31.76	30.9
88	Georgia Institute of Technology		68.38	70.7	76.9	19.3	73.7	85.9	99.4		52.77		24.49	12.28
89	Aarhus University		68.36	70.5	48.6	69.9	66.5	56	72.5	25.3	13.01	20.41	22.77	21.25
90	University of Zurich		68.32	76.6	47.7	53.8	100	53.6	68.9	28.7	10.12	27.14	22.4	24.25
90	Fudan University		68.32	92.5	84.8	42.4	18	49.8	51.4	38.28	21.1	26.62	32.88	32.07
92	Durham University		67.88	71.1	96.8	45	91	70.4	60	33.07	10.25	12.94	27.84	19.63
93	University of St Andrews		67.64	64.7	69.2	60.9	95.3	99.8	61.1	32.01	10.21	15.18	22.69	14.13
94	University of Leeds		67.26	81.2	78.9	46.9	77	73.2	46.6	32.77	20.44	21.28	26.54	20.11
95	Purdue University		66.88	75.8	83.2	34.6	95	74.2	60.9		38.9	19.58	23.57	17.47
95	City University of Hong Kong		66.88	73.2	42.8	72.6	100	81.2	45.3	30.61	18.66	12.21	19.16	26.32
97	Pohang University of Science And Technology (POSTECH)		66.79	57.5	37.4	99.2	67.7	13.4	77.4		27.25	17.79	30.19	
98	University of Pittsburgh		66.13	53.4	26.3	93.3	68.6	36.4	87.8	24.52	11.14	19.39	11.04	13.12
99	Erasmus University Rotterdam		65.87	50.5	82.2	58.9	69.7	56	93.6			20.8		30.52
100	University of California, Davis		65.85	74.6	38	35.4	60	42.5	96.7	14.16	19.63	32.18	30.45	12.87
101	Pennsylvania State University		65.70	77.3	83.3	33.8	17.1	37.3	81.5	23.23	25.54	17	26.66	21.46
102	The University of Adelaide		65.27	73.8	69.5	41	86.9	92.6	54.8	24.37	18.52	25.8	20.97	18.27
103	Delft University of Technology		65.14	74.8	72.3	39.6	89.9	75.4	55.7	18.47	45.35	9.29	26.95	
104	University of Minnesota		64.86	82.9	41.8	29.9	7.2	20.5	97.5	25.08	24.19	22.68	24.21	28.39
105	Ohio State University		64.65	73.7	66.9	35.1	78.6	39.9	74.4	24.81	17.49	20.97	21.11	23.49
106	Universität Freiburg		64.44	72.3	21.6	72.4	60	48.1	64.1	33.14	11.41	22.53	21.84	16.57
107	Maastricht University		64.37	39.1	69.5	78.5	91.8	99.9	79.2			18.42		19.81
108	University of Alberta		64.22	71.6	46.6	58.1	90.8	71	52.8	22.79	19.93	19.56	24.73	17.48
109	University of Groningen		64.18	62.4	43.2	72.4	89.9	79.1	56.6	22.54	9.25	19.09	21.77	18.41
110	University of York		63.75	69.2	69.5	48.7	84.5	81.4	52.2	33.19	11.76	19.01	16.1	20.66
111	University of Oslo		63.73	69.9	38.1	73.6	30	51.4	62.6	28.26	10.06	18.72	20.3	24.51
112	Yonsei University		63.54	80	65.3	83.7	12.6	38	25.5	30.48	18.36	19.95	23.09	26.99
113	Dartmouth College		63.49	41.3	67.3	85.6	10.6	49.8	97.3	20.14		11.37		16.47
114	Université de Montréal		63.47	69.3	37.9	38.5	83.4	84.1	76.2	22.84	16.84	18.76	18.2	24.28
115	University of Lausanne		62.35	48	26.8	64.3	92.4	87.2	90	19.08		16.94	13.81	15.47
116	Lomonosov Moscow State University		61.79	77.1	71.6	100	6	36.1	5.3	25.97	18.44	14.28	37.22	17.67
117	University of Maryland, College Park		61.46	66.4	39.5	60.9	37.7	31.7	73.4	17.79	20.51	11.48	26.48	20.44
118	University of California, Santa Barbara (UCSB)		61.34	76.6	27.2	14.5	60.9	29.1	99.8	20.19	25.89	12.13	39.11	15.37
119	Georg-August-Universität Göttingen		60.89	70.6	27.3	77.9	42.4	37.6	48.6	27.07		21.65	31.04	14.26
120	Rice University		60.76	46.5	26.3	71.5	48.3	71.6	93.1	14.48	18.23		19.73	11.67
121	University of Basel		60.54	51.6	31.2	75	100	82.5	60.2	19.97		21.07	16.98	11.11
122	Emory University		60.44	38.7	40.4	86.8	18.1	45.7	98.8	17.2		19.4		15.09
123	University of Virginia		60.40	52.4	70.7	66.2	29.3	39.9	75.3	26.94		10.49	12.51	19.83
124	University of Liverpool		60.02	54.8	66.6	60.6	80.9	73.4	55	18.13	13.61	20.68	16.62	12.04
125	Shanghai Jiao Tong University		59.88	80	82.3	42.4	20.6	17.5	43.3	13.52	38.03	21.99	24.63	20.68
126	Newcastle University		59.73	45.8	73.8	61.8	82.3	90.5	62.1	16.65	13.02	19.41		12.28
127	Université Catholique de Louvain (UCL)		59.65	70.4	55.8	30.1	74.2	67.8	60.9	24.77	16.32	15.92	20.36	25.23
128	Kyushu University		59.59	59.8	67.3	97.7	15.3	22.3	34.6	15.04	18.99	18.54	22.62	12.41
129	Université Pierre et Marie Curie (UPMC)		59.58	63.6	27.7	58.7	32.8	67	70.2		21.31	23.33	36.99	
130	Humboldt-Universität zu Berlin		59.39	94.3	37.1	29.2	46.4	47.1	34.2	50.8	15.01	26.83	33.99	32.3
131	University College Dublin		59.05	59.8	68.6	53.1	92.4	94.6	38.5	23.77	15.22	18.48	14.06	16.08
132	Technical University of Denmark		59.03	38.6	36.3	97.3	93.1	73.4	57.9		27	9.68	14.58	
133	University of Otago		58.93	65.8	60.2	31	100	79.8	54	24.7		26.42	19.83	17.82
134	University of Southern California		58.80	59.2	45.5	64	20.4	71.4	62.9	20.15	19.67	16.05	13.17	17.79
135	University of Rochester		58.71	40.1	12.5	100	43.1	78.5	73.7		9.93	12	12.57	16.56
136	Radboud University Nijmegen		58.52	41.2	39.8	84.9	68.5	33.6	76.9	17.77		15.09	12.52	11.96
137	Korea University		58.36	76.4	57.4	70.4	23.8	34.7	22.3	29.61	17.54	16.35	21.86	26.91
138	Hokkaido University		58.30	56.6	64.7	80.3	13.9	18.1	54.7	12.78	18.4	14.82	24.17	13.21
139	Universidade de São Paulo - USP		58.06	86.8	76.2	37.9	11.3	5.3	33.6	31.98	25.59	27.88	31	29.06
140	Hebrew University of Jerusalem		58.00	60.9	25	76.2	26.2	9.6	67.6	19.16	11.61	17.05	21.28	19.97
141	KIT, Karlsruher Institut für Technologie		57.86	55.4	76.5	83.1	55.8	58.6	25.6		29.31	8.71	27.81	
142	KTH, Royal Institute of Technology		57.69	55.3	63.5	63.7	74.4	91	38.1		33.97		22.78	
143	Cardiff University		57.50	54.5	64.4	56.1	71.7	71	51.6	19.03	13.34	17.12	11.64	19.49
144	Eberhard Karls Universität Tübingen		57.35	57	40.6	80.7	49.9	40.2	46.3	28.92		19.51	18.03	12.68
145	University of Bergen		57.02	47.7	29.1	59.7	87.9	36.4	81.5	19.65		14.29	15.27	16.36
146	Universidad Nacional Autónoma de México (UNAM)		56.77	89.6	67	56.3	23.2	5	4.9	40.71	21.88	24.17	31.93	33.14
147	Queen Mary, University of London (QMUL)		56.74	57	38.8	67.4	98.5	88.8	33.2	28.15	11.84	14.76	15.86	13.3
148	University of Ghent		56.55	59.3	47.6	77.2	39.8	28.1	43.3	19.22	14.86	19.85	16.76	16.18
149	University of Bern		56.50	37.5	29.5	77.6	98.4	45.1	76.4	13.94		12.87	14.79	12.38
150	Rheinisch-Westfälische Technische Hochschule Aachen		56.33	66.9	86.7	47	32.1	54.8	32.9		39.23	11	27.99	
151	Rheinische Friedrich-Wilhelms-Universität Bonn		56.32	66.7	24.3	72.8	18.2	55.7	41.9	21.32		15.17	31.29	21.4
152	McMaster University		56.10	57.2	35.4	30.5	67.2	54.2	84.7	13.6	15.97	23.11	17.58	13.95
153	Ecole Normale Supérieure de Lyon		56.09	55.7	9.9	100	55.1	47.1	35.7	20.95	13.9	11.54	25.9	
154	University of Cape Town		55.70	60.1	65.3	33.7	69.7	63.5	55.8	22.04	13.41	16.48	17.75	18.34
155	University of California, Irvine		55.65	61.8	25.8	25.9	33.9	27.8	97.6	21.83	15.4	17.54	20.68	14.8
156	Universiti Malaya (UM)		55.62	61.1	54.4	83.4	77.4	70.2	5.6	21	16.62	19.91	13.91	17.86
157	University of Colorado at Boulder		55.49	48.7	61.4	60	21.3	10.8	78.5		17.27		26.32	11.41
158	Eindhoven University of Technology		54.87	44.1	38.2	99.6	98	28.7	33		27.2		18.88	
159	The Hong Kong Polytechnic University		54.62	60.9	39.2	48.4	99.9	88.2	33.5	21.02	23.54	13.52	12.72	18.31
160	University of Vienna		54.60	79	46.1	15.7	70.5	91	33.1	35.02	10.66	19.14	29.21	22.89
161	Wageningen University		54.58	44.2	27	100	30.8	97.4	36.2		12.07	20.84	23.12	
162	University of Aberdeen		54.28	43.2	49.7	54.9	89	92.5	57.1	19.43	9.35	15.59	10.5	11.55
163	Lancaster University		53.97	55.4	63.8	40	77.3	84	44.1	25.36	10.57		12.62	24.91
164	Case Western Reserve University		53.82	27.4	7.1	95.9	25.1	59.4	91		9.39	13.7		
165	Texas A&M University		53.71	64.9	62.3	19.6	20.2	29.6	72.8		27.26	18.32	25.13	16.03
166	Queen's University of Belfast		53.53	45.4	73	53.5	97.7	78.1	40.2	17.41	13.05	13.05	12.58	13.03
167	Vanderbilt University		53.48	41.4	35.8	100	13.3	28.7	53.5	14.67		17.22	10.8	14.37
168	Nanjing University		53.22	70.8	39.4	49.3	41.8	5.8	40.9	23.15	16.7	16.41	28.49	18.49
169	University of Florida		52.92	60.7	40.9	44.8	11.8	25.7	65.9	13.92	16.41	18.85	21.59	18.03
170	Zhejiang University		52.77	70.5	59.5	29.5	16.3	6.9	55.1	17.48	28.04	15.84	25.83	15.52
171	Stockholm University		52.62	74.2	48.8	36.3	39.2	23.8	35.6	29.32	11.04	18.35	24.87	24.96
172	Université Libre de Bruxelles (ULB)		52.60	55.8	44.2	40.1	89.4	96.3	40.1	19.6	12.11	13.71	18.93	18
173	The University of Western Ontario		52.59	49.3	66.1	28.2	56.2	38	76.9	17.52		13.99	12.95	20.67
174	Michigan State University		52.30	58.1	67.3	28.9	60	43.9	54.1	13.29	14.21	15.32	20.19	22.26
175	Queen's University		52.08	47.8	69.8	28	77.3	30.6	72.3	17.24	12.87	10.99	13.78	17.23
176	Universitat Autónoma de Barcelona		51.97	75.1	30.1	37.1	22.8	31.9	41.2	28.18	14.65	17.91	25.12	24.2
177	Vrije Universiteit Amsterdam		51.84	65	49.3	44.5	45.2	16.9	41.9	22.26	11.41	20.58	18.97	21.47
178	University of Bath		51.82	47	77.5	31.8	88.9	93.5	46.3		14.88	12.45	14.54	17.79
179	Sungkyunkwan University		51.74	55.1	53.7	84.5	18.9	38.8	20.1	19.25	16.46	13.59	21.26	18.76
180	University of Illinois, Chicago (UIC)		51.55	45.4	33.3	53.8	26.2	19.4	82.5	14.88	12.99	17.08	12.9	11.37
181	Tufts University		51.53	27.4	23.6	60.5	92.9	34.9	96	13.62		13.54		
182	University of Exeter		51.38	47.2	65.9	32.4	88.3	89	50.2	24.82		11.36	12.15	15.67
183	Georgetown University		51.15	48.1	67.9	53.3	47.6	46.8	46.1	26.47		11.83		24.26
183	University of Arizona		51.15	58.3	20.5	39.3	25.3	19.2	75.9	20.51	13.69	12.98	22.15	16.23
185	University of Leicester		51.09	37.9	26.4	47.2	84	90.2	73.1	14.87		13.89	10.89	13.24
186	University of Science and Technology of China		50.99	57.9	32.1	56.3	9.3	1.6	61.5		24.69	16.1	31.65	
187	University of Barcelona		50.88	77.5	40.4	30.3	8.7	21.8	38.7	27.18	16.73	22.98	27.99	19.34
188	University of Sussex		50.60	51.9	25.5	31.6	92.4	85.2	57.9	24.24		10.44	14.1	21.12
189	Vrije Universiteit Brussel (VUB)		50.47	36	59	92.1	50.3	62.8	27.9	13.19	10.96	9.58	12.42	11.19
190	University College Cork		50.24	51.9	62	42.3	90.5	45.8	37.5	18.47	13.54	18.67	13.45	13.21
191	University of Waterloo		50.18	56.1	71.5	20.8	80.1	45.6	48.2		28.86	9.69	23.85	11.23
192	National Tsing Hua University		50.15	58.1	27	30.8	53.7	11.9	71.3	18.7	22.89	12.8	19.92	10.98
193	University of Gothenburg		50.04	51.2	34.9	46.1	46.4	42.5	59.5	20.83		17.1	13.29	17.26
194	University of Bologna		49.77	80.2	56.4	19.9	12.4	18.4	30.1	34.71	18.25	16.83	23.54	25.97
195	Pontificia Universidad Católica de Chile		49.65	71.4	75.9	42	17.8	7.8	16.6	33.69	19.37	19.33	21.44	28.75
196	University of Antwerp		49.49	35.6	32.5	98	64.3	49.7	31	15.99		10.9	11.05	12.56
197	King Saud University		49.44	56.7	22.6	89.1	93.3	19.8	2.6	26.12	13.15	17.08	12.44	14.67
198	Waseda University		49.22	73.9	78.8	34.5	32.5	22.7	8.1	31.91	19.72	10.27	19.24	27.04
199	University of Iowa		49.18	44.3	20.9	53.9	28.3	31.5	75.5	20.65		16.84		12.68
200	Keio University		49.14	61.4	75.1	59.7	15	7.7	17.5	20.42	16.04	15.87	11.7	25.67
201	Chulalongkorn University		49.11	79	66.3	36.8	24	2.8	8.4	25.59	21.44	22.37	22.04	25.43
201	Universität Frankfurt am Main		49.11	57.2	45.5	40	23.1	55.8	46.2	23.62		13.38	16.58	23.06
203	University of Tsukuba		48.98	50.1	22.3	89.2	14.6	27.2	31.4	15.88	13.64	11.73	18.84	14.99
204	University of Dundee		48.92	34.3	23.9	68	82.8	61.8	57.4			24.39		
205	Universität Hamburg		48.89	65.4	27.6	54.4	26.1	43.3	25.6	24.48	12.64	15.84	24.4	17.92
206	Universidad Autónoma de Madrid		48.79	68.8	47.7	29.2	11.1	17	43.8	25.19	11.17	18.74	25.4	19.7
207	Technische Universität Berlin		48.42	63.1	52.4	46.7	35.5	68.6	14.5		32.87	10.04	28.36	
208	King Fahd University of Petroleum & Minerals		48.38	43.1	36.9	90	100	56	5.8		18.87	11.73	15.18	12.16
209	Tel Aviv University		48.21	51.4	24.9	14.5	30.8	8.2	99.1	14.96	13.19	13.18	16.6	18.83
210	Indiana University Bloomington		48.15	58.2	54.1	29.7	14.3	52.7	48.4	33.43		12.14	11.73	21.7
211	University of Turku		48.01	41	48.9	78.4	26.3	9.5	43.8	18.42		11.61	13.35	15.35
212	Indian Institute of Technology Delhi (IITD)		47.83	53.4	79.4	35.4	1.3	1.6	54.1		28.38	9.84	20.34	12.27
213	Sciences Po Paris		47.81	35.6	74.8	89.4	52.2	96.3	1.5	18.51				29.82
214	University of Calgary		47.80	49.9	40.7	15.2	33	48.3	80.9	14.13	15.48	17.44	16.43	11.37
215	University of Reading		47.64	44.1	34.4	50.9	84.3	80.1	38.4	18.98	9.41	10.63	14.91	13.63
216	Sapienza University of Rome		47.59	78.8	42.9	9.4	5.3	20.7	40.6	31.01	17.95	17.24	32.52	17.85
217	Université Paris-Sorbonne (Paris IV)		47.37	83.6	60.7	15.7	6.9	72.2	1.4	54.14	10.3	15.54	18.73	27.4
218	Université Paris 1 Panthéon-Sorbonne		47.09	76.5	77.7	10.2	32.7	74.9	4.1	45.97		12.94	12.42	33.53
218	Université Paris-Sud 11		47.09	41.6	18.3	58.9	41.9	64.9	55.1		16.99	15.31	27.15	
220	Technion - Israel Institute of Technology		47.03	44.8	24.1	38.6	49.3	6.8	78.5		23.64	11.32	21.57	
221	University of Canterbury		47.02	52	63.4	20.9	100	70.8	33.4	17.14	18.43	10.41	18.28	13.17
222	Aalto University		47.01	40	45.5	95.9	49.3	24.8	15.5		19.16		14.12	13.43
223	Chalmers University of Technology		46.65	42.5	61.3	45.1	61.3	50.1	42.3		26.2		19.27	
224	University of Twente		46.45	40.6	30.4	45.7	77.5	74.8	49.7		21.77		13.58	13.12
225	Universidad de Chile		46.33	75.1	66.1	21	11.1	6.3	20.7	27.76	17.08	20.04	20.76	24.42
226	University Complutense Madrid		46.22	73.6	62.1	27.3	4.8	27.6	15.1	30.57	12.36	20.68	23.53	20.55
227	Indian Institute of Technology Bombay (IITB)		46.18	59.5	82.7	28.9	3.2	1.2	38.2		31.85	12.73	23.7	
228	Universidade Estadual de Campinas		45.99	65.1	44.9	35.5	26.3	7.2	31.1	21.65	19.26	14.49	22.85	16.66
229	Universität Stuttgart		45.36	43.1	50.5	72	37.2	71.3	13.9		25.44		18.24	
230	Universidad de Buenos Aires		45.28	81.3	81.9	13.8		6.3	5.2	41.08	21.53	27.52	30.02	34.34
231	University of Miami		45.14	26.4	18	90.9	28.2	35.8	54.7			11.37	10.45	
232	Université de Strasbourg		44.79	69.1	21.5	18.6	27.2	67.7	30.4	26.35	13.57	21.57	25.74	13.34
233	Macquarie University		44.71	47.4	71.2	13.5	98.5	98.2	28.2	21.87		13.29	14.54	14.92
234	Université Paris Diderot - Paris 7		44.41	60.3		34	40.2	49.4	42.8	23.73	12.8	15.22	28.42	
235	University of Notre Dame		44.39	35.9	66.8	44.3	10.5	17.1	63.3	20.92				13.65
236	University of East Anglia (UEA)		44.36	40.2	26.7	41.2	81.4	78.1	44.7	18.18		12.58	16.02	13.4
237	Victoria University of Wellington		44.20	52.9	63	18.8	100	78.6	18	25.59	9.17	8.7	14.3	20.81
238	National Chiao Tung University		43.80	35.4	23	49.6	58.9	47.8	58.2		18.2	8.86	11.37	
239	University of Liege		43.58	34.8	30.7	46.2	31.2	67.7	59.8	13.32	11.48	12	11.46	
240	University of Ottawa		43.46	41	23.6	14.3	87.1	36.8	76	15.08	9.88	12.88	13.15	12.72
241	Yeshiva University		43.09	6.1	4.1	97.4	1.8	48.7	89					
242	Loughborough University		42.95	37.5	71.8	39.2	88.3	71.9	22.4	12.82	17.75			15.9
243	Dalhousie University		42.90	35	24.7	33.1	77.9	35.1	68.6			12.18	13.86	11.57
244	Politecnico di Milano		42.88	56.8	83	18.2	22.2	41.1	23.1	15.74	32.21		19.73	
