qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
55	University of North Carolina, Chapel Hill	4	73.60	83	55.9	74.1	9.8	15.9	86.5	30.5	15.2	29.5	23.7	29.8
56	University of Washington	3	72.90	93.5	29.6	47.8	9.2	23.8	99.8	30	28.3	40.2	34	27.3
57	Tokyo Institute of Technology	3	72.70	78.3	59.4	88.3	22.6	43.2	65.5	14.3	45.1	16.4	34.3	9.2
58	Nanyang Technological University (NTU)	3	72.50	88	59.4	77.7	100	98.2	22.6	27	42	16.1	24	32
59	University of Glasgow	2	72.10	81.2	55.9	53.8	79.6	69.1	72.3	29.5	20.7	27.5	25.5	21.7
60	Monash University	3	72.10	96.5	90	41.6	58.6	96.7	34.9	40	30.3	37.5	31	37.7
61	University of Illinois at Urbana-Champaign	2	71.90	97.4	45	25.8	32.5	55.9	87.3	30.7	54.4	22.4	43.8	32.4
62	Ludwig-Maximilians-Universität München	2	71.60	95.2	45.4	34.4	37.1	57.6	80.1	41.4	15.4	33.4	46.5	31.4
63	University of Amsterdam		71.50	91.4	55.9	53.7	56.3	32.1	64.2	40.4	16.3	25.9	31.1	36.7
64	London School of Economics and Political Science (LSE)		70.50	88.1	100	54.4	100	100	15.2	40.5	7.8	6.7	9.3	77
65	Trinity College Dublin		70.00	81	59.4	58	99.1	84.9	47.7	33.2	17.2	23.7	23.8	25.5
66	Freie Universität Berlin		70.00	89.9	23	30.5	45	57.6	95.8	46.4	11.7	25	32.4	31.2
67	University of Birmingham		69.90	78.4	61.4	60.3	83.4	75.1	55.3	30	21.2	21.4	21.8	25
68	Katholieke Universiteit Leuven		69.90	88.4	55.9	22.6	64.2	56.7	85.1	32.7	27.5	26.5	28	27.5
69	University of Geneva		69.80	65.4	4.4	66.4	100	99.2	93.3	26.5	9	19.9	23.8	19.1
70	Tohoku University		69.70	73.3	55.9	96.7	23.4	29	57.3	16.4	30	14.8	34	15.4
