Total Research
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	University of Nevada - Las Vegas	 50775 	178 	131 	 53049 	174 	126 	 57031 	166 	120 	 48343 	173 	125 	 45429 	175 	127 
Public	University of Nevada - Reno	 102073 	135 	97 	 95809 	136 	96 	 98917 	135 	96 	 95579 	134 	95 	 83552 	138 	99 
Public	University of New Hampshire - Durham	 113877 	126 	88 	 114228 	123 	85 	 115117 	119 	83 	 108378 	123 	86 	 103935 	121 	84 
Public	University of New Mexico - Albuquerque	 197630 	87 	60 	 177430 	96 	65 	 181223 	92 	61 	 178703 	88 	58 	 170085 	86 	58 
Public	University of North Carolina - Chapel Hill	 525843 	24 	17 	 477231 	25 	17 	 443790 	30 	18 	 441033 	27 	17 	 416727 	28 	17 
Public	University of North Dakota	 65027 	165 	120 	 63036 	163 	117 	 56074 	169 	122 	 46798 	176 	127 	 49595 	167 	120 
Private	University of Notre Dame	 97171 	139 	41 	 77467 	148 	42 	 78553 	143 	42 	 71266 	150 	42 	 74255 	143 	41 
Public	University of Oklahoma - Norman	 88352 	145 	103 	 81340 	145 	104 	 101015 	132 	93 	 105934 	126 	87 	 96733 	129 	91 
Public	University of Oklahoma Health Sciences Center	 103718 	133 	95 	 95486 	137 	97 	 77704 	144 	102 	 67729 	151 	109 	 61845 	151 	109 
Public	University of Oregon	 67378 	160 	115 	 61694 	165 	119 	 57153 	165 	119 	 52657 	168 	120 	 51956 	164 	118 
Private	University of Pennsylvania	 708244 	9 	3 	 648247 	11 	4 	 676052 	9 	3 	 654982 	9 	3 	 596756 	9 	3 
Public	University of Pittsburgh - Pittsburgh	 595627 	16 	11 	 558566 	18 	12 	 530162 	20 	14 	 510943 	21 	14 	 461693 	22 	14 
Public	University of Rhode Island	 77457 	154 	111 	 76237 	150 	107 	 70696 	152 	110 	 60252 	159 	112 	 60947 	153 	111 
Private	University of Rochester	 375218 	42 	17 	 373247 	38 	16 	 366658 	39 	17 	 345337 	36 	15 	 312303 	42 	14 
Public	University of South Carolina - Columbia	 172378 	99 	68 	 158857 	98 	67 	 153737 	100 	68 	 122212 	115 	79 	 121671 	109 	74 
Public	University of South Florida	 278419 	60 	39 	 272661 	61 	40 	 285941 	55 	36 	 259218 	61 	40 	 240021 	59 	39 
Private	University of Southern California	 519543 	26 	8 	 508138 	23 	8 	 450173 	28 	11 	 445036 	26 	10 	 426665 	26 	10 
Public	University of Southern Mississippi	 47088 	186 	137 	 47135 	184 	135 	 39163 	185 	136 	 37881 	191 	138 	 35908 	188 	137 
Public	University of Tennessee - Knoxville	 242425 	77 	53 	 236488 	71 	48 	 240379 	70 	47 	 243668 	65 	43 	 228760 	66 	45 
Public	University of Texas - Austin	 493294 	28 	20 	 446765 	31 	20 	 431398 	32 	20 	 410981 	31 	19 	 343886 	34 	21 
Public	University of Texas Health Science Center - Houston	 197252 	89 	61 	 191724 	87 	58 	 175154 	96 	65 	 152631 	97 	66 	 147328 	98 	69 
Public	University of Texas Health Science Ctr - San Antonio	 201323 	85 	59 	 160282 	97 	66 	 150040 	102 	70 	 142375 	100 	68 	 137039 	100 	70 
Public	University of Texas MD Anderson Cancer Center	 558503 	21 	15 	 496539 	24 	16 	 457696 	26 	17 	 383780 	33 	20 	 353034 	33 	20 
Public	University of Texas Medical Branch - Galveston	 180026 	97 	66 	 183492 	95 	64 	 179915 	93 	62 	 174254 	93 	62 	 166798 	90 	61 
Public	University of Texas SW Medical Center - Dallas	 390349 	40 	24 	 341090 	48 	30 	 333237 	44 	26 	 320800 	43 	25 	 314403 	39 	26 
Public	University of Utah	 253891 	72 	49 	 247794 	69 	46 	 248168 	67 	44 	 244691 	64 	42 	 237159 	61 	41 
Public	University of Vermont	 115421 	125 	87 	 113195 	124 	86 	 121841 	117 	82 	 115693 	119 	82 	 114120 	112 	77 
Public	University of Virginia	 257651 	70 	48 	 230181 	74 	50 	 238754 	71 	48 	 239061 	67 	45 	 228532 	67 	46 
Public	University of Washington - Seattle	 765135 	8 	6 	 756787 	8 	6 	 778148 	6 	5 	 707519 	8 	6 	 713976 	6 	5 
Public	University of Wisconsin - Madison	 881777 	3 	2 	 840672 	3 	2 	 831895 	2 	1 	 798099 	3 	2 	 763875 	4 	3 
Public	US Air Force Academy	 44297 	187 	138 	 14504 	262 	192 	 10547 	283 	204 	 29438 	211 	152 	 29998 	207 	150 
Public	US Naval Postgraduate School	 83314 	147 	105 	 63392 	162 	116 	 56780 	168 	121 	 51343 	169 	121 	 65092 	147 	106 
Public	Utah State University	 146128 	110 	74 	 138065 	107 	74 	 138670 	106 	73 	 131624 	105 	71 	 153616 	95 	66 
Private	Vanderbilt University	 422622 	36 	15 	 399149 	35 	14 	 376893 	35 	14 	 350433 	35 	14 	 318335 	37 	24 
Public	Virginia Commonwealth University	 148655 	108 	72 	 134453 	111 	76 	 149256 	103 	71 	 146105 	98 	67 	 132839 	102 	71 
Public	Virginia Polytechnic Institute and State University	 373281 	43 	26 	 366960 	40 	23 	 321722 	50 	32 	 289994 	51 	32 	 268752 	51 	34 
Private	Wake Forest University	 199915 	86 	27 	 185609 	92 	31 	 183129 	91 	31 	 185152 	82 	29 	 133753 	101 	31 
Public	Washington State University - Pullman	 276806 	61 	40 	 210010 	81 	56 	 196391 	84 	56 	 182677 	84 	55 	 161946 	92 	63 
Private	Washington University in St. Louis	 563967 	20 	6 	 572775 	17 	6 	 547674 	17 	6 	 531846 	18 	7 	 489565 	18 	6 
Public	Wayne State University	 249210 	74 	51 	 235186 	72 	49 	 220731 	74 	51 	 226331 	71 	49 	 225475 	68 	47 
Public	West Virginia University	 139770 	112 	75 	 133590 	112 	77 	 122134 	115 	81 	 115398 	120 	83 	 108002 	120 	83 
Private	Woods Hole Oceanographic Institution	 150720 	106 	36 	 137410 	108 	34 	 121888 	116 	35 	 117517 	117 	37 	 114087 	113 	36 
Private	Yale University	 487285 	29 	9 	 448671 	30 	11 	 460075 	25 	9 	 431618 	28 	11 	 422828 	27 	11 
Private	Yeshiva University	 197311 	88 	28 	 192199 	86 	29 	 189416 	88 	29 	 195644 	81 	28 	 183253 	83 	27 
