Annual Giving
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	University of Alabama - Birmingham	86296	70	42	81913	81	48	97014	58	33	75277	67	37	62259	80	46
Public	University of Alabama - Huntsville	1574	855	367	3752	701	277	3764	680	260	5217	556	220	4352	615	243
Public	University of Alaska - Fairbanks	14574	266	139	10824	376	177	8190	437	187	20240	214	109			
Public	University of Arizona	141386	39	18	153960	41	20	143957	39	18	121020	42	20	121057	36	19
Public	University of Arkansas for Medical Sciences	18143	224	119	13864	299	146									
Public	University of California - Berkeley	255095	19	8	285347	19	8	242602	21	9	245966	17	6	198864	19	8
Public	University of California - Davis	92507	65	37	99952	65	36	94730	60	35	77670	65	36	99718	46	24
Public	University of California - Irvine	75562	82	48	92280	71	41	74237	78	46	84075	61	33	54569	84	49
Public	University of California - Los Angeles	351689	8	1	456654	6	1	364780	9	1	319581	10	2	281552	10	3
Public	University of California - Riverside	20504	202	108	21384	227	113	18685	235	119	30276	157	90	19475	206	108
Public	University of California - San Diego	100906	57	30	121845	53	28	134094	42	20	184925	26	11	125993	34	17
Public	University of California - San Francisco	300424	14	4	366068	12	3	251945	19	7	201206	25	10	292932	8	2
Public	University of California - Santa Barbara	40712	125	76	90212	72	42	51259	110	63	55566	97	56	48882	94	57
Public	University of California - Santa Cruz	32218	154	87	27254	182	97	29120	172	96	26051	179	99	24090	166	91
Public	University of Central Florida	15708	251	129	23957	206	104	53578	108	61	31099	153	89	45138	104	62
Private	University of Chicago	248804	20	12	256899	23	13	328328	11	10	237117	18	12	180463	20	12
Public	University of Cincinnati - Cincinnati	89727	66	38	159810	40	19	69486	81	49	70706	75	41	65919	74	41
Public	University of Colorado - Boulder	67765	88	52	100312	63	35	45990	124	73	35272	137	82	37722	123	75
Public	University of Colorado Health Sciences Center	51789	111	66	46063	129	76	49439	113	66	37918	130	77	40551	113	69
Public	University of Connecticut - Health Center	6011	500	213	4556	638	254	8115	439	189	9508	386	167	10646	324	155
Public	University of Connecticut - Storrs	27914	167	93	41685	136	79	32460	160	93	38032	129	53	42585	107	43
Private	University of Dayton	21159	196	90	19165	245	123	14654	285	151	21219	206	99	18513	211	102
Public	University of Delaware	27911	168	94	28727	176	95	35737	147	85	47479	114	69	43012	106	64
Public	University of Florida	202574	25	12	206835	27	12	182617	29	13	156529	32	14	131341	32	15
Public	University of Georgia	67370	90	54	77131	91	53	88434	64	38	69483	78	43	60529	82	48
Public	University of Hawaii - Manoa	40056	126	77	36255	154	84	39436	136	79	22492	200	107	24815	164	89
Public	University of Houston - University Park	73214	85	50	61395	107	64	39010	138	80	20805	208	108	35061	130	77
Public	University of Idaho	16629	241	126	19542	242	120	11265	339	159	24004	191	103	13655	267	134
Public	University of Illinois - Chicago	63465	94	56	55795	117	70	45465	129	77	43780	120	73	40153	117	71
Public	University of Illinois - Urbana-Champaign	145279	38	17	140096	45	23	133256	43	21	128318	37	19	125697	35	18
Public	University of Iowa	116924	45	21	123770	50	26	115484	50	27	102225	49	24	100013	45	23
Public	University of Kansas - Lawrence	83448	74	43	97395	68	39	78983	74	44	78750	64	35	88017	57	31
Public	University of Kansas Medical Center	20862	200	107	24657	203	103	19996	229	116	19937	219	110	22283	185	99
Public	University of Kentucky	66790	91	55	58940	110	65	55014	105	59	65648	85	48	67151	71	39
Public	University of Louisville	54784	107	64	63144	102	60	59130	97	54	61142	90	52	52243	89	53
Public	University of Maine - Orono	20095	205	111	20176	235	116	36515	145	84	18359	230	115	11742	303	148
Public	University of Maryland - Baltimore	79318	77	45	57296	115	68	46157	123	72	57826	93	54	51058	91	55
Public	University of Maryland - Baltimore County	13495	285	146	14053	297	145	13245	302	144	15039	262	126	15163	247	125
Public	University of Maryland - College Park	92685	64	36	123365	51	27	85575	69	42	74017	70	39	84329	58	32
Public	University of Massachusetts - Amherst	23131	187	104	30006	170	91	25432	197	105	28747	165	95	21140	188	101
Public	University of Massachusetts Medical Sch - Worcester	6739	465	204	3814	695	274									
Public	University of Medicine & Dentistry of New Jersey															
Private	University of Miami	153521	35	20	200256	32	17	180026	31	18	158455	30	17	131401	31	17
Public	University of Michigan - Ann Arbor	263330	17	6	333445	13	4	293403	14	4	251477	16	5	251353	14	6
Public	University of Minnesota - Twin Cities	259825	18	7	294507	16	6	288750	15	5	266992	14	4	265499	12	4
Public	University of Missouri - Columbia	101912	56	29	102828	61	34	89273	63	37	89526	58	31	88351	56	30
Public	University of Nebraska - Lincoln	67514	89	53	77264	90	52	61473	93	51	68986	79	44	53669	85	50
Public	University of Nebraska Medical Center	56049	106	63	64164	100	58	33531	156	90	37629	131	78	29274	151	84
Public	University of Nevada - Las Vegas	34330	145	84	29088	175	94	45475	128	76	40996	126	75	31563	140	81
Public	University of Nevada - Reno	25977	174	98	46787	127	75	32085	163	94	32585	145	83	19593	204	106
Public	University of New Hampshire - Durham	15428	257	134	16701	277	138	12630	312	146	13733	289	138	13363	274	139
Public	University of New Mexico - Albuquerque	62756	96	58	57719	114	67	59627	95	53	48481	113	68	40082	118	72
Public	University of North Carolina - Chapel Hill	270111	16	5	292389	17	7	246864	20	8	236579	19	7	179300	21	9
Public	University of North Dakota	6480	477	208	6625	520	218									
Private	University of Notre Dame	186453	28	15	265414	22	12	207641	25	14	179860	27	16	115703	39	19
Public	University of Oklahoma - Norman	115908	46	22	172368	37	18	111129	51	28	97202	52	26	92260	51	27
