Endowment Assets
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Texas A&M University	 4572757 	 13 	 3 	 6259791 	 11 	 3 	 6149804 	 12 	 3 	 5192104 	 10 	 3 	 4567265 	 9 	 3 
Private	Thomas Jefferson University	 443039 	 126 	 82 	 568726 	 125 	 82 	 614338 	 115 	 80 				 178569 	 236 	 151 
Private	Tufts University	 1103440 	 50 	 33 	 1445662 	 47 	 33 	 1452058 	 47 	 33 	 1215413 	 49 	 35 	 845389 	 61 	 41 
Private	Tulane University	 807859 	 70 	 48 	 1052881 	 68 	 47 	 1009129 	 72 	 50 	 858323 	 70 	 48 	 780200 	 69 	 46 
Public	Uniformed Services University of the Health Sciences															
Public	University at Albany	 24764 	 648 	 218 	 26782 	 692 	 251 	 26728 	 700 	 250 	 20093 	 686 	 229 	 17247 	 735 	 243 
Public	University at Buffalo	 408730 	 136 	 51 	 535578 	 133 	 47 	 566362 	 123 	 40 	 499632 	 120 	 40 	 463214 	 115 	 37 
Public	University of Alabama - Birmingham	 282754 	 174 	 67 	 353276 	 178 	 67 	 382360 	 171 	 68 	 346330 	 158 	 60 	 312072 	 153 	 58 
Public	University of Alabama - Huntsville	 46196 	 528 	 172 	 62871 	 502 	 176 	 57297 	 532 	 185 	 27163 	 633 	 211 	 24476 	 666 	 219 
Public	University of Alaska - Fairbanks	 133689 	 295 	 114 	 171329 	 292 	 112 	 205129 	 265 	 96 	 175817 	 258 	 92 	 154571 	 267 	 98 
Public	University of Arizona	 436603 	 132 	 48 	 518709 	 139 	 51 	 532351 	 132 	 46 	 466652 	 128 	 44 	 393400 	 134 	 47 
Public	University of Arkansas for Medical Sciences	 22246 	 673 	 223 	 29674 	 667 	 244 	 31000 	 670 	 239 						
Public	University of California - Berkeley	 2386841 	 23 	 5 	 2885352 	 23 	 5 	 2894932 	 23 	 5 	 2464109 	 23 	 5 	 2232306 	 23 	 5 
Public	University of California - Davis	 538777 	 98 	 34 	 651998 	 110 	 34 	 650691 	 110 	 34 	 552003 	 108 	 35 	 487456 	 110 	 36 
Public	University of California - Irvine	 213457 	 216 	 80 	 250557 	 222 	 83 	 226738 	 247 	 92 	 189401 	 245 	 87 	 162152 	 252 	 92 
Public	University of California - Los Angeles	 1881050 	 29 	 8 	 2320333 	 30 	 9 	 2683872 	 27 	 7 	 1912071 	 28 	 8 	 1667319 	 28 	 8 
