SAT
Control	Institution	2009	2009_SAT 2009_Natl Rank	2009 SAT Ctrl Rank	2008	2008 SAT Natl Rank	2008 SAT Ctrl Rank	2007	2007 SAT Natl Rank	2007 SAT Ctrl Rank	2006	2006 SAT Natl Rank	2006 SAT Ctrl Rank	2005	2005 SAT Natl Rank	2005 SAT Ctrl Rank
Public	University of Alaska - Fairbanks	1025	784	244	1005	903	298	1050	617	183	1045	712	217	1050	621	191
Public	University of Arizona	1100	433	119	1095	445	120	1110	387	98	1125	344	84	1110	393	96
Public	University of Arkansas for Medical Sciences															
Public	University of California - Berkeley	1330	58	2	1325	60	3	1335	54	3	1330	59	3	1325	60	4
Public	University of California - Davis	1160	255	66	1155	267	66	1180	212	51	1180	213	50	1180	220	50
Public	University of California - Irvine	1170	223	56	1185	205	46	1200	177	37	1200	180	38	1205	176	37
Public	University of California - Los Angeles	1285	86	10	1290	78	9	1290	81	8	1295	81	7	1295	81	7
Public	University of California - Riverside	1045	687	206	1040	698	211	1075	525	150	1075	534	147	1080	486	135
Public	University of California - San Diego	1245	125	23	1250	117	18	1260	104	15	1260	109	17	1245	131	20
Public	University of California - San Francisco															
Public	University of California - Santa Barbara	1185	207	49	1170	222	54	1200	177	37	1180	213	50	1185	213	47
Public	University of California - Santa Cruz	1135	310	80	1140	301	76	1160	268	61	1165	243	54	1165	256	56
Public	University of Central Florida	1175	218	55	1165	252	63	1155	279	65	1140	301	70	1150	295	70
Private	University of Chicago	1420	19	19	1425	17	17	1465	9	9	1440	12	12	1430	16	16
Public	University of Cincinnati - Cincinnati	1110	374	99	1110	383	96	1110	387	98	1070	554	154	1110	393	96
Public	University of Colorado - Boulder	1190	191	40	1170	222	54	1170	231	53	1160	251	57	1195	191	40
Public	University of Colorado Health Sciences Center															
Public	University of Connecticut - Health Center															
Public	University of Connecticut - Storrs	1200	175	34	1190	186	38	1190	195	45	1185	211	49	1185	213	47
Private	University of Dayton	1170	223	168	1170	222	169	1170	231	179	1160	251	195	1145	299	228
Public	University of Delaware	1195	184	37	1170	222	54	1195	186	41	1205	171	36	1190	203	44
Public	University of Florida	1270	95	13	1250	117	18	1250	115	20	1260	109	17	1260	108	14
Public	University of Georgia	1215	154	30	1225	139	25	1230	131	25	1225	143	27	1225	148	26
Public	University of Hawaii - Manoa	1090	446	125	1090	459	125	1100	447	118	1105	441	121	1105	418	108
Public	University of Houston - University Park	1055	600	178	1055	592	170	1070	535	155	1070	554	154	1055	593	182
Public	University of Idaho	1070	526	159	1050	609	179	1070	535	155	1070	554	154	1095	452	121
Public	University of Illinois - Chicago	1090	446	125	1090	459	125	1090	462	125	1070	554	154	1070	515	146
Public	University of Illinois - Urbana-Champaign	1280	88	11	1280	88	10	1280	87	10	1260	109	17	1290	85	8
Public	University of Iowa	1170	223	56	1150	277	68	1150	282	66	1125	344	84	1200	185	39
Public	University of Kansas - Lawrence	1130	317	83	1130	315	80	1130	315	77	1110	403	105	1110	393	96
Public	University of Kansas Medical Center															
Public	University of Kentucky	1110	374	99	1090	459	125	1130	315	77	1110	403	105	1140	311	73
Public	University of Louisville	1110	374	99	1110	383	96	1110	387	98	1090	471	131	1090	464	127
Public	University of Maine - Orono	1080	504	148	1070	524	153	1080	512	142	1075	534	147	1075	504	140
Public	University of Maryland - Baltimore															
Public	University of Maryland - Baltimore County	1190	191	40	1190	186	38	1190	195	45	1215	164	34	1215	158	32
Public	University of Maryland - College Park	1275	92	12	1275	94	11	1280	87	10	1275	95	12	1260	108	14
Public	University of Massachusetts - Amherst	1155	263	68	1135	307	79	1150	282	66	1140	301	70	1135	326	76
Public	University of Massachusetts Medical Sch - Worcester															
Public	University of Medicine & Dentistry of New Jersey															
Private	University of Miami	1285	86	77	1275	94	84	1270	95	83	1260	109	93	1255	117	101
Public	University of Michigan - Ann Arbor	1300	77	8	1300	72	7	1300	73	6	1280	88	11	1305	72	5
Public	University of Minnesota - Twin Cities	1205	162	32	1205	167	34	1170	231	53	1160	251	57	1220	153	29
Public	University of Missouri - Columbia	1170	223	56	1170	222	54	1170	231	53	1160	251	57	1180	220	50
Public	University of Nebraska - Lincoln	1150	269	70	1150	277	68	1150	282	66	1140	301	70	1170	246	55
Public	University of Nebraska Medical Center															
Public	University of Nevada - Las Vegas	1015	814	252	1020	806	250	1010	849	275	1015	854	264	1015	761	254
Public	University of Nevada - Reno	1050	617	184	1045	690	206	1040	705	216	1060	617	178	1050	621	191
Public	University of New Hampshire - Durham	1130	317	83	1115	368	93	1120	356	87	1130	333	78	1120	362	86
Public	University of New Mexico - Albuquerque	1030	717	220	1030	720	219	1030	736	233	1010	875	272	1060	572	169
Public	University of North Carolina - Chapel Hill	1305	73	6	1295	75	8	1300	73	6	1290	84	8	1290	85	8
Public	University of North Dakota	1090	446	125	1050	609	179	1090	462	125	1030	761	237	1070	515	146
Private	University of Notre Dame	1410	24	24	1405	23	23	1395	25	25	1385	30	30	1375	32	32
Public	University of Oklahoma - Norman	1170	223	56	1170	222	54	1170	231	53	1160	251	57	1180	220	50
Public	University of Oklahoma Health Sciences Center															
Public	University of Oregon	1090	446	125	1105	422	108	1120	356	87	1115	391	102	1112.5	391	95
Private	University of Pennsylvania	1425	17	17	1425	17	17	1395	25	25	1430	19	19	1415	19	19
Public	University of Pittsburgh - Pittsburgh	1245	125	23	1225	139	25	1230	131	25	1235	130	24	1235	138	24
Public	University of Rhode Island	1045	687	206	1060	582	166	1065	580	169	1085	517	142	1120	362	86
Private	University of Rochester	1320	63	59	1325	60	58	1325	57	54	1320	68	64	1320	66	62
Public	University of South Carolina - Columbia	1180	215	53	1160	260	64	1165	262	60	1150	281	65	1145	299	72
Public	University of South Florida	1140	304	77	1130	315	80	1080	512	142	1120	381	99	1105	418	108
Private	University of Southern California	1370	40	40	1365	40	40	1370	40	40	1355	44	44	1350	47	47
Public	University of Southern Mississippi	1010	826	257	1010	840	264	990	972	321	970	1100	365	1015	761	254
Public	University of Tennessee - Knoxville	1170	223	56	1190	186	38	1170	231	53	1125	344	84	1115	377	91
Public	University of Texas - Austin	1225	139	28	1220	144	27	1225	139	27	1235	130	24	1225	148	26
Public	University of Texas Health Science Center - Houston															
Public	University of Texas Health Science Ctr - San Antonio															
Public	University of Texas MD Anderson Cancer Center															
Public	University of Texas Medical Branch - Galveston															
Public	University of Texas SW Medical Center - Dallas															
Public	University of Utah	1110	374	99	1110	383	96	1110	387	98	1090	471	131	1110	393	96
Public	University of Vermont	1190	191	40	1175	218	53	1170	231	53	1165	243	54	1155	288	68
Public	University of Virginia	1330	58	2	1310	68	6	1325	57	4	1325	65	4	1330	58	3
Public	University of Washington - Seattle	1195	184	37	1200	179	36	1210	163	32	1200	180	38	1190	203	44
Public	University of Wisconsin - Madison	1260	103	16	1260	103	13	1260	104	15	1260	109	17	1265	101	12
Public	US Air Force Academy	1297.5	81	9	1269.5	98	12	1274	94	12	1320	68	5			
Public	US Naval Postgraduate School															
Public	Utah State University	1090	446	125	1090	459	125	1110	387	98	1110	403	105	1105	418	108
Private	Vanderbilt University	1415	23	23	1390	28	28	1370	40	40	1370	40	40	1355	41	41
Public	Virginia Commonwealth University	1080	504	148	1060	582	166	1060	590	172	1060	617	178	1060	572	169
Public	Virginia Polytechnic Institute and State University	1205	162	32	1200	179	36	1195	186	41	1200	180	38	1195	191	40
Private	Wake Forest University	1320	63	59	1325	60	58	1320	62	58	1325	65	62	1325	60	57
Public	Washington State University - Pullman	1110	374	99	1105	422	108	1090	462	125	1105	441	121	1070	515	146
Private	Washington University in St. Louis	1460	9	9	1450	9	9	1450	10	10	1440	12	12	1435	14	14
Public	Wayne State University	950	1132	408	970	1055	359	950	1170	404	950	1189	412	950	991	368
Public	West Virginia University	1090	446	125	1040	698	211	1045	695	211	1050	649	195	1070	515	146
Private	Woods Hole Oceanographic Institution															
Private	Yale University	1495	3	3	1485	5	5	1490	3	3	1480	5	5	1480	4	4
Private	Yeshiva University	1210	157	127	1230	130	108	1215	157	128	1220	152	124	1210	167	135
