Federal Research
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	University of Massachusetts - Amherst	 79736 	113 	75 	 71974 	116 	77 	 69642 	115 	76 	 66921 	116 	77 	 65452 	115 	77 
Public	University of Massachusetts Medical Sch - Worcester	 145113 	67 	41 	 131226 	69 	42 	 136141 	71 	42 	 130680 	68 	41 	 126162 	67 	42 
Public	University of Medicine & Dentistry of New Jersey	 122061 	77 	48 	 126101 	73 	45 	 140923 	67 	41 	 143239 	64 	38 	 121812 	70 	44 
Private	University of Miami	 165986 	62 	25 	 147535 	66 	26 	 150408 	66 	26 	 156059 	60 	26 	 141943 	63 	25 
Public	University of Michigan - Ann Arbor	 592768 	3 	2 	 577201 	3 	2 	 565739 	3 	2 	 554516 	4 	2 	 521339 	4 	2 
Public	University of Minnesota - Twin Cities	 364137 	18 	9 	 337966 	19 	9 	 326170 	19 	9 	 319771 	20 	10 	 308369 	20 	9 
Public	University of Missouri - Columbia	 108131 	93 	58 	 108328 	87 	56 	 101732 	90 	60 	 96038 	95 	61 	 90304 	97 	62 
Public	University of Nebraska - Lincoln	 81884 	111 	74 	 80379 	111 	72 	 80731 	109 	71 	 74660 	111 	72 	 66933 	112 	74 
Public	University of Nebraska Medical Center	 51300 	141 	98 	 53506 	136 	93 	 53808 	132 	89 	 49282 	137 	94 	 44449 	141 	98 
Public	University of Nevada - Las Vegas	 41505 	158 	112 	 46128 	150 	104 	 42772 	151 	104 	 35942 	164 	112 	 28013 	177 	125 
Public	University of Nevada - Reno	 66165 	124 	84 	 62713 	123 	83 	 64476 	121 	81 	 60329 	123 	83 	 50787 	132 	90 
Public	University of New Hampshire - Durham	 83769 	109 	72 	 81027 	110 	71 	 86416 	104 	68 	 78653 	109 	70 	 67917 	110 	72 
Public	University of New Mexico - Albuquerque	 134783 	70 	43 	 123039 	76 	48 	 127907 	73 	44 	 129557 	69 	42 	 112299 	75 	47 
Public	University of North Carolina - Chapel Hill	 373098 	17 	8 	 346672 	18 	8 	 329215 	18 	8 	 320294 	19 	9 	 304204 	21 	10 
Public	University of North Dakota	 46620 	151 	106 	 44610 	153 	107 	 38848 	158 	110 	 32092 	171 	119 	 36349 	161 	112 
Private	University of Notre Dame	 66812 	123 	40 	 53974 	134 	43 	 55710 	129 	42 	 51072 	135 	43 	 48650 	135 	43 
Public	University of Oklahoma - Norman	 40294 	162 	115 	 37161 	164 	116 	 48649 	136 	93 	 42132 	152 	104 	 38903 	154 	108 
Public	University of Oklahoma Health Sciences Center	 51284 	142 	99 	 49261 	142 	99 	 42231 	152 	105 	 45644 	143 	98 	 42145 	147 	103 
Public	University of Oregon	 55190 	134 	92 	 49467 	139 	96 	 46583 	141 	98 	 43564 	146 	100 	 43634 	143 	100 
Private	University of Pennsylvania	 482321 	7 	4 	 449687 	12 	6 	 478773 	7 	3 	 465284 	7 	3 	 435343 	7 	3 
Public	University of Pittsburgh - Pittsburgh	 456172 	12 	7 	 441357 	13 	7 	 422316 	12 	7 	 420281 	12 	7 	 394444 	13 	7 
Public	University of Rhode Island	 50377 	145 	102 	 52561 	137 	94 	 46898 	140 	97 	 42132 	153 	105 	 48590 	136 	93 
Private	University of Rochester	 276268 	30 	15 	 280132 	25 	13 	 278399 	27 	14 	 257497 	30 	15 	 231193 	33 	15 
Public	University of South Carolina - Columbia	 98576 	100 	65 	 89000 	105 	69 	 89294 	103 	67 	 65095 	117 	78 	 71856 	109 	71 
Public	University of South Florida	 169911 	60 	36 	 158442 	62 	38 	 153737 	63 	38 	 142580 	66 	40 	 126906 	66 	41 
Private	University of Southern California	 348713 	20 	10 	 355084 	16 	9 	 333378 	17 	10 	 330126 	17 	10 	 312589 	19 	11 
Public	University of Southern Mississippi	 42540 	157 	111 	 42645 	154 	108 	 34577 	169 	119 	 34941 	168 	116 	 32075 	167 	118 
Public	University of Tennessee - Knoxville	 116723 	84 	52 	 125248 	75 	47 	 113559 	81 	51 	 121004 	75 	46 	 109357 	77 	48 
Public	University of Texas - Austin	 324287 	23 	12 	 289331 	24 	12 	 273147 	28 	14 	 254529 	31 	16 	 235281 	32 	18 
Public	University of Texas Health Science Center - Houston	 129277 	73 	46 	 131879 	68 	41 	 122870 	74 	45 	 112509 	79 	49 	 106737 	79 	50 
Public	University of Texas Health Science Ctr - San Antonio	 121758 	79 	50 	 95610 	99 	65 	 95110 	98 	64 	 95125 	96 	62 	 89662 	98 	63 
Public	University of Texas MD Anderson Cancer Center	 194889 	54 	31 	 190508 	55 	32 	 182028 	57 	33 	 160953 	57 	33 	 150529 	58 	34 
Public	University of Texas Medical Branch - Galveston	 122009 	78 	49 	 118173 	78 	49 	 120408 	75 	46 	 117235 	78 	48 	 102491 	84 	55 
Public	University of Texas SW Medical Center - Dallas	 201480 	51 	29 	 191687 	54 	31 	 196621 	52 	30 	 202057 	47 	26 	 200888 	44 	25 
Public	University of Utah	 171737 	58 	35 	 174719 	56 	33 	 174888 	58 	34 	 168652 	55 	31 	 161119 	55 	32 
Public	University of Vermont	 89717 	105 	68 	 90049 	103 	67 	 82519 	107 	69 	 79879 	107 	69 	 79015 	104 	67 
Public	University of Virginia	 219429 	48 	26 	 198274 	52 	30 	 203778 	49 	27 	 200726 	48 	27 	 188121 	48 	28 
Public	University of Washington - Seattle	 614069 	2 	1 	 620375 	2 	1 	 650394 	2 	1 	 606317 	2 	1 	 625218 	2 	1 
Public	University of Wisconsin - Madison	 474440 	8 	4 	 469076 	8 	5 	 491810 	5 	3 	 477582 	5 	3 	 434423 	8 	5 
Public	US Air Force Academy	 43787 	153 	108 	 14301 	229 	165 	 9678 	255 	185 	 15165 	224 	160 	 15739 	212 	150 
Public	US Naval Postgraduate School	 82302 	110 	73 	 62434 	124 	84 	 54528 	130 	88 	 43079 	148 	102 	 64667 	116 	78 
Public	Utah State University	 88884 	106 	69 	 89948 	104 	68 	 96242 	96 	63 	 92660 	99 	64 	 107945 	78 	49 
Private	Vanderbilt University	 331296 	22 	11 	 312178 	22 	11 	 300423 	24 	12 	 281694 	27 	12 	 261484 	27 	16 
Public	Virginia Commonwealth University	 95369 	103 	67 	 90137 	102 	66 	 97576 	94 	62 	 97322 	94 	60 	 89066 	99 	64 
Public	Virginia Polytechnic Institute and State University	 135578 	69 	42 	 128796 	71 	44 	 119994 	76 	47 	 109842 	80 	50 	 95669 	90 	58 
Private	Wake Forest University	 146298 	66 	26 	 141467 	67 	27 	 139549 	69 	28 	 141685 	67 	27 	 120075 	71 	27 
Public	Washington State University - Pullman	 97668 	101 	66 	 78505 	113 	74 	 81324 	108 	70 	 80222 	106 	68 	 67674 	111 	73 
Private	Washington University in St. Louis	 393918 	14 	7 	 424451 	14 	7 	 408402 	14 	7 	 400699 	13 	6 	 371043 	14 	7 
Public	Wayne State University	 115904 	85 	53 	 114364 	80 	51 	 118042 	78 	49 	 120581 	76 	47 	 114700 	72 	45 
Public	West Virginia University	 68147 	121 	82 	 65699 	121 	81 	 63764 	123 	83 	 62489 	121 	81 	 60819 	120 	82 
Private	Woods Hole Oceanographic Institution	 117587 	83 	32 	 112754 	82 	30 	 101631 	91 	31 	 100747 	90 	32 	 100456 	86 	31 
Private	Yale University	 374551 	16 	9 	 349027 	17 	10 	 348500 	16 	9 	 332702 	16 	9 	 330837 	16 	9 
Private	Yeshiva University	 143866 	68 	27 	 147941 	65 	25 	 153785 	62 	25 	 160894 	58 	25 	 151520 	56 	24 
