Systematic Name	Type a HCC  normalized	Type b NNL  normalized	Type c Cirr  normalized
109003	1.53	1.08	1.19
130711	0.32	0.85	0.83
153244	1	0.89	1.21
155784	1.97	1.03	1.33
119063	1.77	1.08	1.7
119192	1.06	1.2	1.87
171265	1.48	1	1.66
133356	1.92	0.89	1.36
129646	1.6	0.97	1.65
135285	1.69	0.92	1.31
189366	1.91	1.01	1.89
206676	1.68	1.02	1.51
195726	2.12	0.99	1.62
236348	1.49	1.01	1.45
148420	2.56	0.86	2.17
191565	2.23	0.98	2.06
102465	1.74	0.99	1.53
170017	2.45	1.05	1.98
125210	1.68	1.08	1.49
230054	1.43	0.88	1.1
141898	2.02	1.17	1.8
121231	1.73	0.96	1.52
165005	1.71	1.12	1.54
107290	1.56	1.01	1.23
205347	2.12	1.04	1.5
209815	2	1.04	1.25
103413	1.39	0.99	1.3
228286	1.95	0.96	2
169951	1.97	0.99	1.32
120515	1.52	0.87	1.55
173173	1.39	1.01	1.22
101113	1.79	0.99	1.44
107710	1.72	0.97	1.43
161819	1.43	0.83	1.17
183414	0.69	0.99	1.05
163840	1.73	0.97	1.48
159112	1.71	0.95	0.97
128505	1.49	1.05	1.35
136848	1.33	1.01	1.37
198352	2.1	1	2.26
235229	1.26	1.01	1.25
222346	1.45	0.8	1.2
133352	2.01	0.81	1.62
490209	1.62	0.95	1.32
590611	1.64	1.01	1.33
128174	0.53	0.97	1.02
201746	1.26	0.99	1.78
120955	0.87	0.98	1.41
196081	1.7	1.06	1.41
236125	1.03	0.99	1.16
127770	1.58	1.13	1.37
137559	0.61	0.99	0.61
110046	1.3	0.97	1.13
136522	1.81	1.03	1.49
174605	2.84	1.01	1.02
134984	1.35	1.07	1.14
175816	1.13	0.98	1.09
143873	3.28	1.22	2.95
171202	1.12	0.89	1.07
169857	1.89	1.03	1.54
104945	1.43	1	1.68
121408	0.86	1.1	1.08
126773	2.46	1.1	2.71
194210	1.01	0.84	1.3
168402	1.7	1.07	1.26
117625	1.17	1.03	1.03
205937	1.34	1.14	1.31
180202	0.83	1	0.87
212496	3.16	1.08	3.04
235548	1.84	1	1.25
131844	1.73	1.03	1.34
210049	2.18	1.01	1.92
110884	1	0.94	0.96
200774	2.65	1.24	2.57
226856	1.15	1.04	1.16
105289	1.87	1.04	1.51
107034	1.06	0.99	1.39
178238	1.49	1.06	1.41
207854	1.33	0.88	1.36
153949	2.13	0.93	2.12
234701	2.08	1.12	1.64
169718	2.09	0.94	1
128667	1.49	1.01	1.17
204262	0.56	1.26	1.7
115438	2.01	1.19	1.73
210534	1.82	1.13	2.44
125804	1.71	0.94	0.99
189365	0.44	0.98	0.62
152311	2.42	1.07	1.29
234736	1.8	1	2.49
180479	2.3	0.99	1.62
217443	1.68	1.08	3.11
705174	1.58	0.96	1.84
236741	1.09	1.07	1.7
697295	1.53	1.08	1.69
105431	1.29	0.99	1.09
139014	0.91	1.02	1.05
105959	1.79	0.97	2.24
