GenID;Acc.No;G+ (Genexpression);G-(Genexpression)

ACSL4;NM_004458;10.16;-1.00
CCL2;NM_002982;4.84;4.58
CXCL10;NM_001565;9.04;5.50
GBP1;NM_002053;5.75;3.81
IFITM1;NM_021034;2.20;-1.00
MCP;NM_002389;3.28;3.25
PLA2G2A;NM_000300;1.58;4.12
SEPP1;NM_005410;1.73;-1.00
SERPINA;NM_175739;2.12;2.38
SERPINA3;NM_001085;2.78;2.59
SOD2;NM_000636;-1.00;2.81
TXNIP;NM_006472;0.41;-1.00
UGT;NM_021139;0.40;-1.00
HP;NM_005143;0.41;-1.00

NAN..-1.00
