GenID;Acc.No;G+ (Genexpression);G-(Genexpression)

ACSL4;NM_004458;2.35;2.26
CCL2;NM_002982;3.16;-1
CXCL10;NM_001565;3.72;6.49
GBP1;NM_002053;2.92;4.77
IFITM1;NM_021034;2.69;2.25
IGFBP1;NM_000596;0.5;-1
MCP;NM_002389;2.2;4.09
PLA2G2A;NM_000300;1.89;5.36
SFTPA2;NM_006926;-1;0.43
SOD2;NM_000636;2.08;2.27
SERPINA;NM_175739;2.29;-1

NAN..-1;;;
