Identifier 	 AJ_8w_1	 AJ_8w_2	 AJ_8w_3	 C57_8w_1	 C57_8w_2	 C57_8w_3	
ENSMUSG00000021130	76.68605	46.652893	72.82737	43.28171	58.69263	58.795525	
ENSMUSG00000006649	64.56342	50.93237	47.611317	239.86105	27.753817	45.782894	
ENSMUSG00000049658	39.52079	41.44171	26.677631	40.49579	33.364475	39.18737	
ENSMUSG00000076818	37.17645	22.151052	44.687763	36.442104	51.50158	35.205265	
ENSMUSG00000048204	31.948948	35.912632	19.992369	18.414211	203.97737	110.31592	
ENSMUSG00000079382	46.210262	46.626316	29.582895	45.87079	39.31158	35.970528	
ENSMUSG00000029138	55.824474	35.953552	43.415527	23.24	55.188683	94.44079	
ENSMUSG00000059070	68.321976	64.186844	97.66605	62.667763	89.107895	30.728815	
ENSMUSG00000028436	414.92157	397.22974	526.49945	1749.5674	822.6908	416.02158	
ENSMUSG00000033717	29.243553	40.915264	31.84329	28.912895	15.84079	33.133686	
ENSMUSG00000075701	4051.4688	6138.1997	3798.3833	4512.985	5077.475	4296.772	
ENSMUSG00000016637	392.05936	498.60315	264.0308	508.42105	731.8595	633.02313	
ENSMUSG00000027495	504.06107	745.4713	350.91907	545.9142	597.62103	445.2308	
ENSMUSG00000042254	23.983553	40.377632	37.722107	30.784473	65.50552	38.83421	
ENSMUSG00000022504	35.932762	29.377764	41.286316	70.191055	42.585922	34.820263	
ENSMUSG00000024556	318.00238	249.91974	316.22	407.1492	376.62	335.655	
ENSMUSG00000046330	63.55158	131.62605	134.125	87.38658	39.597897	39.978683	
ENSMUSG00000076798	32.29487	57.97526	46.366314	20.106052	51.164474	38.03776	
ENSMUSG00000081059	4058.7	5455.395	3820.534	2794.1262	3239.957	3182.2544	
ENSMUSG00000001661	80.15961	54.597107	83.92237	35.62816	20.616316	23.277632	
ENSMUSG00000022103	38.580788	66.06342	45.999737	19.998158	209.1425	84.85	
ENSMUSG00000028821	667.21344	767.7179	700.77655	963.99	851.08527	731.8595	
ENSMUSG00000051279	68.42105	60.003685	50.03184	104.032104	107.40211	87.40026	
ENSMUSG00000057946	43.692104	45.875526	69.61605	42.548946	36.692238	59.73434	
ENSMUSG00000036009	98.66263	56.004868	125.96132	33.72329	53.113422	50.33658	
ENSMUSG00000031736	22.187368	33.024475	22.55579	24.939737	23.197895	22.140263	
